Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05351111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2000-09-21
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2000-09-21;null;null;null;null;null;null;null;null;null;null;
2000-09-22;null;1014,9;10,8;21,3;null;null;69,8;37;7,6;1,9;
2000-09-23;0;1006,5;13,2;27,2;17,8;11,8;76,7;46;7,1;1,5;
2000-09-24;51,6;1008,7;11,1;19;14,7;12,8;79,8;46;17;2,6;
2000-09-25;,2;1020,4;3,1;14,9;10,6;6,9;61,1;39;11,9;2,6;
2000-09-26;0;1024,4;4,8;17,4;11,9;7,8;63,9;35;7,9;1,8;
2000-09-27;0;1020,2;9;22,7;14,8;7,4;71,5;38;7,5;1,5;
2000-09-28;0;1016;11,7;26,9;18,7;12,4;67,9;32;8,3;1,4;
2000-09-29;0;1014,1;12,2;26,6;18,9;11,7;67,2;40;6,7;1,4;
2000-09-30;0;1012,8;15,6;25,6;18,3;13,5;85;62;7,1;1,5;
2000-10-01;,2;1011,1;17,6;24;19,8;16,2;87,2;69;6,4;1,3;
2000-10-02;2,6;1010,4;16,7;22,8;18,8;16,8;88;68;7,4;1,8;
2000-10-03;0;1006,4;15,7;20,3;17,5;17,5;89,3;80;17,8;3,6;
2000-10-04;37,4;1004,3;16,8;21,6;18;14,9;93,1;81;9,6;1,4;
2000-10-05;10,4;1007,9;11,7;20,8;17,4;14,6;71,3;46;11,6;2,7;
2000-10-06;,2;1009,9;8,4;20;15,7;12,2;64,4;41;10,5;2,6;
2000-10-07;0;1013,7;9,4;22;16,1;10,9;66,6;42;7,7;1,5;
2000-10-08;0;1014;8,8;23,5;16,8;11,1;62,7;33;10,4;2,3;
2000-10-09;,2;1008,4;14;23,6;17,7;14,2;79,8;55;9,4;1,9;
2000-10-10;20,6;1010,7;13,5;19;17;15,9;80;60;10,7;2,5;
2000-10-11;0;1008,4;14,7;24,3;17,7;13,2;83,1;62;20,1;2,5;
2000-10-12;null;null;null;null;null;null;null;87;12,1;null;
2000-10-13;null;null;null;null;null;null;null;86;6;null;
2000-10-14;null;1016,2;16,8;20,3;18;18,2;92,8;84;11;3,6;
2000-10-15;3,8;1019,3;13,2;19,2;17;15,5;78;70;16;4,2;
2000-10-16;,2;1012,9;16,5;27,5;21,2;16,3;75,7;54;10,4;2,3;
2000-10-17;2;1009,9;20;28,8;23,6;20,4;81,7;58;6,2;1;
2000-10-18;27,6;1012,9;19;26,4;21,7;19,3;85,2;60;9,2;1,9;
2000-10-19;0;1010,6;18,1;26,6;20,8;17,7;84,9;66;11,3;2,9;
2000-10-20;11,2;1007,5;17,6;23,6;20,1;18,4;86,1;69;11,3;1,7;
2000-10-21;0;1008,3;16,2;26,6;20,1;15,8;79,6;54;10,6;2,3;
2000-10-22;0;1003,8;17;32;22,9;16,8;72;42;11,3;1,6;
2000-10-23;0;1007,4;18,6;23,9;21,1;20,2;85,5;67;9;2;
2000-10-24;3,8;1009,6;18,1;21,2;19,8;19,3;89,8;81;9,7;3;
2000-10-25;0;1010,9;18,2;25,9;21,4;19,2;82,6;66;12,8;3,7;
2000-10-26;,2;1006,7;19,1;25,8;22,6;19,9;81,1;69;10,6;1,8;
2000-10-27;2,4;1002,8;18,2;27,6;23,4;21,1;74,6;40;13,2;2,7;
2000-10-28;2,4;1012;12,2;21,8;18,6;16,5;67,8;34;10;2,7;
2000-10-29;,6;1016,7;9,1;19,9;15,2;12,4;68,3;42;9,1;2,1;
2000-10-30;0;1011,8;10,9;27,4;17,9;9,9;65,8;23;8,1;1,7;
2000-10-31;0;1009,8;14,9;29,3;21,5;14,4;69;31;8,9;1,8;
2000-11-01;0;1006,4;16,9;33,5;24,2;18,4;68,2;32;9,7;2,3;
2000-11-02;,2;1003,3;18,5;26;22,3;20,7;79,6;63;15,1;2,3;
2000-11-03;8;1007,4;10,7;23,5;18,2;12,1;65;33;10,2;1,5;
2000-11-04;0;1006,8;10,3;22,1;17,3;11,5;66,6;25;7,1;1,6;
2000-11-05;0;1005,8;11,6;24,2;18,1;12,4;67,7;43;10,8;2,8;
2000-11-06;0;1008;16;26;19,9;16,6;78,5;59;11,1;3,3;
2000-11-07;0;1007,2;17,2;28,8;22,3;18,2;74;53;13;3,8;
2000-11-08;28,6;1004,5;18,3;28,8;22,8;18,5;77,4;51;7,9;1,7;
2000-11-09;0;1004,6;19,1;26,7;22,3;20;82,5;62;10,7;1,9;
2000-11-10;1,2;1007,9;16,6;24,1;20,2;17,9;80,4;57;9,2;2,6;
2000-11-11;0;1005,1;17,3;25;21;18;80,1;66;13,1;3,8;
2000-11-12;2,8;999,4;18,6;23,1;21;20;86,2;76;10,1;1,1;
2000-11-13;20,2;1002;17,3;24,8;20,5;18,4;82,5;59;9,1;1,7;
2000-11-14;0;1006;12,2;20,9;17,5;15,5;72,4;53;12,1;2,2;
2000-11-15;0;1012,8;5,6;20,8;16,2;12,4;50,7;33;7,8;2,1;
2000-11-16;0;1014,5;9,1;24,5;17;10,7;63,2;30;7;1,4;
2000-11-17;0;1014;13,3;26;19,4;12,9;69,2;45;10,1;1,9;
2000-11-18;0;1007,4;17;29,9;23,3;17,2;70,3;45;7,5;1,6;
2000-11-19;0;1002,7;14,5;31,4;24,5;18,4;57,1;22;9,2;1,7;
2000-11-20;0;1009;14,2;24,2;20,5;19,4;67,9;51;12,9;3,3;
