Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2001-11-15
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-11-15;null;null;null;null;null;null;null;null;null;null;
2001-11-16;null;null;null;null;null;null;null;null;null;null;
2001-11-17;null;null;null;null;null;null;null;42;8,3;null;
2001-11-18;null;null;null;null;null;16,2;70,7;56;8,6;null;
2001-11-19;null;null;null;null;null;null;null;null;null;null;
2001-11-20;null;null;null;null;null;null;null;null;null;null;
2001-11-21;null;null;null;null;null;null;null;69;7,2;null;
2001-11-22;null;1011,1;19,4;25,9;22,4;19,2;84;64;6,9;2,5;
2001-11-23;0;1006,5;19,5;26,5;23,1;20,9;80,1;65;10,6;3,6;
2001-11-24;27;1008,4;17,3;24,8;20,4;19,9;82,7;69;17,6;6,1;
2001-11-25;,2;1018,3;10,9;21,1;18,2;15,8;62,9;49;11,6;3,6;
2001-11-26;,4;1014,3;16,8;21,5;19,9;18,2;82,9;64;11,3;4,4;
2001-11-27;3;1011,9;15,3;23,5;20,3;19;74,5;38;12,4;4,7;
2001-11-28;0;1013,6;11,3;21,4;16,8;11,3;71,6;51;7,8;2;
2001-11-29;0;1012,3;12,3;22,1;18,5;13,4;68;50;7,3;1,8;
2001-11-30;0;1007;14,4;21,2;18,7;18,3;76,6;61;8,7;2,6;
2001-12-01;22,2;1005,5;14,7;23,5;19,5;15,5;74,9;50;10;2,9;
2001-12-02;0;1012,2;14,2;23,1;19,4;16;73,3;39;10,1;3,4;
2001-12-03;0;1016,7;12,5;20,9;17,3;12,8;74,3;61;8,5;2,3;
2001-12-04;0;1015,3;16,7;22,1;20,4;17,9;79,8;67;10,5;4;
2001-12-05;17,6;1009,5;18,2;21,2;19,7;19;91,4;83;13,4;5,7;
2001-12-06;67;1005,1;17,9;25;21,3;17,7;81,7;65;11;2,5;
2001-12-07;0;1008,1;17,5;25,6;21,3;17,4;80;56;7,6;2,8;
2001-12-08;0;1011,4;13,6;21,9;19,2;16,8;71,8;40;16,2;5,1;
2001-12-09;0;1015,4;7,7;19,4;15,9;10,4;59;40;11;3,5;
2001-12-10;0;1015,7;10,3;21,5;17,8;11,8;62;46;8,6;2,5;
2001-12-11;0;1014,8;17,9;24,2;21,3;19,1;81,4;66;10,5;4,6;
2001-12-12;0;1011,4;20,2;28,2;23,2;21;84;58;10,9;3,2;
2001-12-13;0;1009,2;20,5;26;23;21,9;85,8;71;8,5;2,9;
2001-12-14;0;1010,8;17,4;24,5;22,2;20,6;74,2;61;8,9;2,8;
2001-12-15;0;1012,1;16,1;24,1;20,9;18;74,3;57;11,1;4,1;
2001-12-16;0;1007,7;17;24,2;20,7;18,4;79,8;64;16,6;6,4;
2001-12-17;4;1004,7;15;25,3;20,1;17,2;73,7;47;13,6;5,3;
2001-12-18;0;1006,2;14,9;23,8;19,6;15,1;74,8;54;9,8;3,6;
2001-12-19;0;1008;17,3;27,7;22,5;17,9;73,9;52;8;2,7;
2001-12-20;0;1007,9;19,6;26,6;23,7;20,9;78,3;64;8,6;3,5;
2001-12-21;0;1007,3;18,2;27,1;21,9;19,5;80,1;47;12,4;3,3;
2001-12-22;2,6;1008,6;16,2;23,2;20,2;18,3;78,2;61;11,7;4,7;
2001-12-23;,2;1017,4;11,6;23,6;19,3;14,4;65,1;30;8,9;2,9;
2001-12-24;0;1022,1;14,8;24,9;21,3;16,2;66,9;51;11;3,3;
2001-12-25;0;1021,5;14,6;25,7;21,9;19,4;63,7;42;12,4;5,5;
2001-12-26;0;1017,1;16;27,1;22,7;19,8;66,3;43;12,8;5,7;
2001-12-27;0;1012,5;17,9;29,2;23,4;20,1;72,1;39;10,6;3,9;
2001-12-28;0;1012,2;20;26,3;23,3;21,5;81,8;69;9,9;3,8;
2001-12-29;0;1012,7;20;26,3;23,4;21,7;81,7;70;8,7;2,6;
2001-12-30;0;1010,7;19,8;26,3;23,4;21,2;80,6;69;9,8;3,3;
2001-12-31;0;1005,6;20,1;27,1;23,8;21,8;80,3;67;13,2;4,9;
2002-01-01;,2;1000,5;19,7;30,1;24,7;22,2;75,3;48;12,7;3;
2002-01-02;0;1004,3;18,9;26,8;23,2;19,9;77,8;59;15,8;4,5;
2002-01-03;2,4;1007,5;18,4;26,3;22,5;18,4;78,5;59;13,1;3,9;
2002-01-04;2,8;1010,1;18,1;26,4;22,3;18;78;58;9,2;3;
2002-01-05;30,6;1011,5;19;23,8;21,8;20;83,9;73;14,3;4,6;
2002-01-06;109,8;1005,5;19,1;26,9;22,1;18,7;83,5;62;18,1;3,7;
2002-01-07;14,2;1006,2;18;26,3;21,1;18,2;82,8;62;11,2;4;
2002-01-08;1,8;1011,5;19;26,1;22,5;19,4;81,3;64;7,5;2,5;
2002-01-09;0;1018,4;18,8;26,3;23;19,2;77,6;61;8,7;2,3;
2002-01-10;0;1020,9;19,6;26,8;24,2;22,2;75,8;68;11,4;3,8;
2002-01-11;0;1017,8;21,1;26,7;24,6;23;81;65;10,9;4,2;
2002-01-12;,2;1013,4;22,1;30,3;26,4;24,2;78;57;11,3;3,3;
2002-01-13;0;1008,5;21,2;29,8;25,6;22,8;77,4;57;9,6;3,6;
2002-01-14;1,2;1009,4;19,4;27,2;23,4;23,1;78,5;60;16,7;5,4;
2002-01-15;,2;1014,8;11,7;23,3;20,6;18,1;56,9;47;13,1;5;
2002-01-16;0;1015,3;14,3;24,3;20,4;16,7;69;47;10;3,7;
2002-01-17;1,6;1016,4;14,5;24,6;21,2;17,7;66,2;48;9,5;2,3;
2002-01-18;1;1017,5;13,1;25,4;22,2;17,5;56,9;41;7,6;2;
2002-01-19;0;1015,1;15,1;26;22,6;19,7;62,8;41;11,7;4,3;
2002-01-20;0;1012,1;18,7;29,3;24;20,8;72,7;49;11;5;
