Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2001-11-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-11-25;null;null;null;null;null;null;null;null;null;null;
2001-11-26;null;null;null;null;null;null;null;62;6,2;null;
2001-11-27;null;999,9;19,6;26,6;23;21;82,2;64;6,4;2;
2001-11-28;0;999,9;12,9;26,2;21;15;61,3;37;9,4;2,8;
2001-11-29;0;998,4;12,9;26,1;20,1;13,7;65,3;43;11,3;2,6;
2001-11-30;0;995;13,9;21,6;18;17,3;77,3;60;9,8;2;
2001-12-01;0;995;13,8;25,9;19,2;14,4;73,5;42;6,5;1,7;
2001-12-02;0;1000,5;13,5;28,1;21;13,6;66,2;37;5,3;1;
2001-12-03;0;1002,1;15,4;24,5;20,8;17,1;71,8;56;10,6;2,9;
2001-12-04;0;1001,5;17,2;21,3;19,4;18,5;87,5;76;7;2,1;
2001-12-05;0;996,9;18,2;25,8;20,9;18;85,3;64;6,6;1,6;
2001-12-06;0;996,3;17,7;24,8;20,8;17,2;83,1;67;7,6;1,9;
2001-12-07;0;997,3;16,7;30,1;22,8;15,7;72,2;35;5,1;,9;
2001-12-08;0;1000,2;15,7;25,5;20,9;17,3;73,6;50;8,6;1,7;
2001-12-09;0;1002,3;12,3;24,6;18,4;13,3;69;46;7;1,9;
2001-12-10;0;1001,4;14,7;26,6;19,3;12,4;75,8;55;7,5;2,3;
2001-12-11;0;1001,2;17,6;30,6;23,3;18,1;73;38;7,8;1,9;
2001-12-12;0;998,6;18,9;32,4;25,7;19,7;68,3;41;6,1;1,6;
2001-12-13;0;995,3;20,3;30,4;25,5;22,3;73,9;55;7,5;1,7;
2001-12-14;0;996,4;19;30,6;24,8;21;71,6;46;11,1;2,8;
2001-12-15;0;999,5;15,3;27,8;22,6;18,7;65,4;36;10,3;2,9;
2001-12-16;0;998;15;28,7;22,1;17,4;66,3;40;6,4;1,2;
2001-12-17;0;995,3;13,7;29,3;22,9;15,2;60,9;23;8,6;1,4;
2001-12-18;0;994,9;14,9;30;23;16,8;62,9;27;9;1,3;
2001-12-19;0;996,6;14,3;33,8;23,9;14,6;59,8;28;5,9;1,1;
2001-12-20;0;996,2;18,6;36,2;27;20,5;64,1;31;14,6;1,2;
2001-12-21;0;993,9;19,8;35,3;24,3;20;78,8;35;16,7;2,4;
2001-12-22;0;997;17,7;25,1;20,6;17,6;84,2;56;8,3;2;
2001-12-23;0;1005,4;14,3;25,6;20,8;15,8;69,5;36;7,3;1,7;
2001-12-24;0;1008,3;14,3;26,5;21,1;15,4;67,3;43;11,2;2,7;
2001-12-25;0;1006,5;14,9;28,9;22,6;16,7;63,8;42;9,1;2,9;
2001-12-26;0;1003;15,9;30,8;24;16,9;63;39;8,3;2,4;
2001-12-27;0;999,3;17,1;33,2;25,6;17,6;62,6;34;7;1,7;
2001-12-28;0;998;18,9;33;26,3;21;66,4;36;9,2;1,9;
