Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Pane
Data Inicial: 2001-11-21
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-11-21;null;null;null;null;null;null;null;null;null;null;
2001-11-22;null;null;null;null;null;null;65,8;48;5,6;null;
2001-11-23;0;967,3;20,3;33,5;25,8;19,6;73,8;46;11;2,9;
2001-11-24;null;null;null;null;null;null;null;70;4;null;
2001-11-25;null;null;null;null;null;null;null;null;null;null;
2001-11-26;null;null;null;null;null;null;null;null;null;null;
2001-11-27;null;null;null;null;null;null;null;null;null;null;
2001-11-28;null;null;null;null;null;null;null;43;7,8;null;
2001-11-29;null;973,6;11;23,8;17,6;11,3;68,3;35;9,4;3,2;
2001-11-30;19,4;970,5;12,1;18,3;14,6;12;85;68;9,3;2,4;
2001-12-01;1;970;12,7;24,8;17,7;12,2;75,2;36;7,4;1,9;
2001-12-02;0;974,7;12,1;25,8;20,5;15,6;60,4;37;6,6;1,4;
2001-12-03;0;976,7;14,7;20,1;17,1;14,6;86,4;67;9;3,4;
2001-12-04;,6;975,6;16,1;24,1;18,5;15,1;86,5;63;6,7;2,5;
2001-12-05;1,2;972,2;17,2;24,8;19,4;16,7;87,7;65;8,6;2,7;
2001-12-06;,6;971,5;16,3;26,2;19,8;15,9;81;58;10,5;2,9;
2001-12-07;0;971,5;15,4;28,9;21,5;15,9;72,1;34;6,5;1,4;
2001-12-08;0;975,5;10,8;24,6;17,4;13,6;67,7;32;10,9;3;
2001-12-09;0;977;6,3;22,2;14,8;7,6;58,9;34;6,4;2,7;
2001-12-10;0;975,6;11,3;25,8;18;10,3;66,9;41;7,3;2,9;
2001-12-11;0;975,7;15;27,8;20,9;14,1;71,1;43;8,1;2,8;
2001-12-12;0;973,3;17,1;30,9;23,3;17,2;70,6;37;5,6;2,1;
2001-12-13;0;970,3;19,6;28,9;23,5;19,9;79,7;57;8,1;2,9;
2001-12-14;2,8;971,7;17,8;27,6;22,5;18,1;76,2;47;10,1;4,4;
2001-12-15;0;975,1;14,5;25,7;20,2;15,3;71,8;45;10,7;4,4;
2001-12-16;0;973,1;14,4;26;19,4;13,9;74,3;47;8,5;2,5;
2001-12-17;0;970;12,7;28,7;22,1;14,4;59,8;26;8,5;1,6;
2001-12-18;0;969,8;13;29,2;21,7;15,5;61,7;27;9,2;2,8;
2001-12-19;0;970,9;16,3;32,4;23,6;16,8;65,8;41;10,6;1,6;
2001-12-20;3,8;971,4;19,1;31,6;25,2;21,7;70,5;45;8;1,6;
2001-12-21;12,8;968,6;17,9;22,1;19,2;18,8;92,1;80;9,6;2,9;
2001-12-22;22;972,8;13,8;24,9;18,9;14,6;75,3;36;9,3;3,5;
2001-12-23;0;979,9;11,5;25,9;19,4;13,7;62,9;33;9,4;2,5;
2001-12-24;0;982,4;12,3;27,4;21;15;58,9;37;9,1;2,8;
2001-12-25;0;980,3;14,2;28,7;21;13,1;67,2;40;8,8;2,6;
2001-12-26;0;976,9;14,7;30;22,5;15,1;64,6;35;7,6;2;
2001-12-27;0;973,8;15,6;31,4;24,5;17,2;59,5;33;7,6;2;
2001-12-28;0;973,4;13,8;32,1;25,5;19,9;51,4;21;9,4;3,2;
2001-12-29;0;973,7;17,8;30,8;24,1;18,1;70,4;43;7,2;2,9;
2001-12-30;0;971,5;18,4;32,6;25;19,3;70,3;37;7,7;2,4;
2001-12-31;21,6;967,1;18,6;28,9;23,5;18,5;75,1;51;7,4;2,2;
2002-01-01;,2;965,8;16,9;29,4;22,8;16,9;71,4;43;8,8;2;
2002-01-02;0;969,8;16,6;28,7;23,3;18,3;67,3;44;9,1;2,4;
2002-01-03;0;972,2;16,2;28,7;22,9;17,6;67,3;43;8,6;2,2;
2002-01-04;0;973,4;15,8;27,8;22,3;17,2;68,6;44;8,8;3;
2002-01-05;0;973;17,8;26,4;20,6;18,5;84,6;58;9,4;2,8;
2002-01-06;2,8;969,9;16,8;26;20,2;16,6;82,3;54;9,5;2,1;
2002-01-07;,8;972,5;12,5;27,8;20,7;13,7;63,4;29;6,8;1,9;
2002-01-08;0;974,3;14,7;29,9;23,2;16,5;60;41;7,1;2,1;
2002-01-09;0;979,2;15,7;28,9;23;16,4;65,6;45;12,1;4,8;
2002-01-10;0;980,4;17,8;32;24,1;17,7;71;41;12,5;4,6;
2002-01-11;0;978,7;18,1;31,8;24,5;17,7;70,3;39;8,4;2,5;
2002-01-12;0;975,2;17,6;32,6;25,8;19,5;62,9;34;7;1,7;
2002-01-13;0;970,8;17,1;33,9;26,9;20,2;57,8;32;6,3;1,6;
2002-01-14;,6;973,7;16,8;27,7;21,1;18,4;77,7;52;16;3,8;
2002-01-15;9;978,3;9,7;24;17,3;10,9;63,1;38;12,5;5,8;
2002-01-16;0;977,8;11,1;25,7;18,3;12;66;36;8,7;3,5;
2002-01-17;0;978,4;11,6;26,8;19,6;13,3;64;31;9,7;3,4;
2002-01-18;0;978,7;12,3;27,2;20,4;13,6;63,5;35;9,7;3,4;
2002-01-19;0;975,4;13;30,9;22;13,4;61,9;30;6,8;2,4;
2002-01-20;0;973,1;15;35,9;25,8;18,6;55,8;21;6,7;1,9;
2002-01-21;6,8;974,6;18,9;31;24,2;19,1;73,9;42;8,3;2,1;
2002-01-22;0;974,9;18,6;33,7;26,2;20,2;66,7;29;6,3;1,5;
2002-01-23;0;974;19;31,3;24;20,8;75;44;7,9;1,4;
2002-01-24;8,4;970,9;19,1;29,1;22,7;19,4;81,1;57;10,6;1,7;
2002-01-25;23,6;968;19,4;31,5;24;19,9;77,9;42;8,2;1,8;
2002-01-26;0;969;19,4;25,7;21,6;18,9;87,8;67;7;2,2;
2002-01-27;0;968,2;19,2;29,5;23,1;19,7;80;55;8,8;1,9;
2002-01-28;0;968,4;16,7;31,2;24,3;18;66,8;33;6,7;1,6;
2002-01-29;0;970,4;14,5;33,6;27,2;21,4;47,3;26;7;1,7;
2002-01-30;0;971;18,4;33,2;26,1;19,2;64;42;8;2,6;
2002-01-31;null;965,9;19,8;29,3;23,7;19,3;79,7;55;14,6;3,7;
2002-02-01;5,4;972,5;12,5;28;22,7;17,5;56,2;28;10,6;3,1;
2002-02-02;0;978,1;11,9;25,3;19,2;13,1;64;43;8,8;3;
2002-02-03;0;978,6;12;25,4;19,1;13;65,8;37;7,8;2,3;
2002-02-04;0;974,6;12,6;28,1;20,8;13,6;62,5;30;9,4;1,5;
2002-02-05;0;975,5;15;28,2;22;16,6;65,5;42;7;2,2;
2002-02-06;4,2;976,7;17;25,9;20,3;17,5;82,7;53;9,5;2,8;
2002-02-07;,2;974,3;16,9;26,7;20,2;17;82,3;50;9,3;3;
2002-02-08;0;970,9;16,8;26;19,8;16,8;84;55;7,5;1,5;
2002-02-09;1;969;16,5;24,7;18,9;16,3;86,1;63;6,7;1,4;
2002-02-10;5;969,4;17,2;27,4;21,2;17,5;79,2;51;7,5;1,9;
2002-02-11;,2;973,8;16,7;29,1;23,6;19,1;66,8;42;5,3;1,3;
2002-02-12;0;977,2;17,9;24,2;20,8;20,2;83,3;67;6,7;2,1;
2002-02-13;6;974,6;17,7;29,2;22;17,5;78,6;46;6,4;1,7;
2002-02-14;0;972,3;17,6;31,4;24,2;18;69,8;36;5,1;1,6;
2002-02-15;0;974,7;18,6;31,6;null;19,9;70,3;43;9,2;1,8;
2002-02-16;null;null;null;null;null;null;null;null;null;null;
2002-02-17;null;null;null;null;null;null;null;null;null;null;
2002-02-18;null;null;null;null;null;null;null;null;null;null;
2002-02-19;null;null;null;null;null;null;null;null;null;null;
2002-02-20;null;null;null;null;null;null;null;null;null;null;
2002-02-21;null;null;null;null;null;null;null;null;null;null;
2002-02-22;null;null;null;null;null;null;null;null;null;null;
2002-02-23;null;null;null;null;null;null;null;null;null;null;
2002-02-24;null;null;null;null;null;null;null;null;null;null;
2002-02-25;null;null;null;null;null;null;null;null;null;null;
2002-02-26;null;null;null;null;null;null;null;21;7,4;null;
2002-02-27;0;971,1;16,3;35,1;27,6;20,4;51,7;32;10,8;3,4;
2002-02-28;0;969,5;20,1;33,6;27,7;23,2;64;46;12,7;3,5;
2002-03-01;61,6;975,8;16,3;28,6;20,8;17,5;78;45;14;5,2;
2002-03-02;,2;978,5;13,7;26,8;19;12,2;72,8;49;9,5;3,3;
