Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2001-12-04
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-12-04;null;null;null;null;null;null;null;null;null;null;
2001-12-05;null;null;null;null;null;null;null;70;9,7;null;
2001-12-06;null;952,7;16,5;26,8;20,7;17,5;78,9;49;9,8;3;
2001-12-07;0;953,1;13,9;30,2;23,4;16,6;59,1;28;8,3;1,6;
2001-12-08;0;954,6;14,5;31,2;24,8;19,9;54;35;14,8;3,5;
2001-12-09;0;954,9;13,9;30,8;22,8;16,3;60,7;32;9,7;3,2;
2001-12-10;0;954,7;15,9;32,5;24,3;17,1;62,2;35;9,4;3,3;
2001-12-11;0;956,3;18,2;31,7;24,8;20;68,3;45;15,7;3,2;
2001-12-12;0;954,4;18;31,8;23,9;18,5;72,7;39;11,1;2,9;
2001-12-13;,8;951;18,6;31,8;23,3;19,5;76,3;42;12,2;3,1;
2001-12-14;0;950,6;17,5;31,1;24,5;18,8;68,2;38;9;3,4;
2001-12-15;0;952,7;16,7;28,6;22,7;18,2;70;46;10,8;4,9;
2001-12-16;0;952,8;13,1;28,1;21,2;15,4;63,2;35;8,1;2,9;
2001-12-17;0;951,2;12,2;29,5;22,8;15,6;54,8;28;10,3;3;
2001-12-18;0;951,1;10,8;32;24,3;17;44,8;28;10,8;2,3;
2001-12-19;0;952,8;13,8;34,5;26,7;20,2;48,1;24;8,1;3;
2001-12-20;0;952,7;14,7;35,4;28,3;23,2;45,2;26;7,6;2,3;
2001-12-21;0;950,2;17,7;34,1;25,4;21,1;66,4;30;23,7;4,6;
2001-12-22;19,2;951,6;18;23,8;20,2;19,2;87,4;73;11,4;3,8;
2001-12-23;1;959;12,6;26;19,8;15;66,9;36;10,5;3,4;
2001-12-24;0;961;11,8;29,2;21,4;13,9;58,6;26;8,9;4;
2001-12-25;0;960,2;12,7;29,3;22,5;17,1;56,8;29;11,9;4,7;
2001-12-26;0;957,7;14;31,2;23,8;18;56,1;31;10,6;4,2;
2001-12-27;0;955,3;14,7;33,2;25,4;19,5;53,3;29;14,3;3,5;
2001-12-28;0;954,4;17,8;30,1;25,2;21,7;64,3;45;10;2,1;
2001-12-29;0;954;17,6;32,9;25,5;19;64,9;36;8,4;2,3;
2001-12-30;0;951,9;17,7;34,8;26,2;20,3;63,4;27;8;3,5;
2001-12-31;1,4;948,9;19,2;32;24,4;21,6;74,1;42;11,3;3,6;
2002-01-01;31,2;949,1;16,8;28,9;23;18,1;71,7;39;15,3;2,9;
2002-01-02;0;951;15,2;29,6;23,9;18,8;59,4;39;10,5;3,2;
2002-01-03;0;952,4;15,1;29,9;24;18,2;59,8;34;8,8;3,1;
2002-01-04;0;953;14,1;30,8;24,1;18;56,3;30;6,9;2,3;
2002-01-05;0;954;16,6;25,4;21,9;19,1;72,3;52;9,3;3,8;
2002-01-06;,6;953,5;16,2;28,3;22,4;18,9;70,5;36;11;2,8;
2002-01-07;0;953,7;14;29,4;22;15,4;62,9;34;7,3;2,1;
2002-01-08;0;954,6;11,4;32,3;24,6;17,4;46,2;28;8,4;3,6;
2002-01-09;0;957,4;15,7;35,8;26,3;19,4;55,5;23;14;4,5;
2002-01-10;0;959,6;16,3;33,4;24,1;19,4;64,8;28;12,7;4,5;
2002-01-11;10;960,1;18,2;30,5;22,6;20;78;45;10,5;4,3;
2002-01-12;9,4;957,7;17,5;25,3;21,7;18,9;77,6;62;9,8;4,2;
2002-01-13;0;952,2;18,8;27,3;22,2;18,5;81,3;59;8,3;3,1;
2002-01-14;,4;952,2;19,4;32,3;24,9;19,3;73,8;39;17;3,7;
2002-01-15;,2;955,2;13,9;26,1;20,2;16,4;68,5;40;14,8;5,1;
2002-01-16;0;956,1;10,6;26,5;19,1;12;61,8;33;11,4;3,2;
2002-01-17;0;956,9;10,8;27,5;20;13,2;59,7;30;8,6;3,5;
2002-01-18;0;957,3;11,9;30,4;21,8;14,6;56,7;31;9,5;3,8;
2002-01-19;0;955,7;12,6;32,1;24,1;17,6;51,6;25;10,3;4,1;
2002-01-20;0;955,7;13,2;34,1;26,7;19,7;45,1;26;7,1;3,2;
2002-01-21;0;956,2;15,5;34,3;27,2;21,6;50,3;27;10,6;2,9;
2002-01-22;0;956,6;19,7;31,8;24,8;21,8;74;50;8,2;2,2;
2002-01-23;1,2;956,1;20;31,4;24,4;19,3;78,1;51;9,5;2,8;
2002-01-24;10,8;953,4;19,5;26,8;22,7;19,5;82,8;66;14,2;3,1;
2002-01-25;0;950,8;20,5;30,9;25;20,1;77,5;53;10;2,2;
2002-01-26;,8;952,3;19,8;26,2;21,4;20,8;90,7;74;12,6;3,2;
2002-01-27;51,6;951,4;18,8;21,6;19,9;18,9;93;88;13,3;3,5;
2002-01-28;24,8;950,9;18,1;29,9;23,6;19;74,4;34;6;1,6;
2002-01-29;0;952,5;18,3;28,3;23,7;18,9;72,3;50;8;3,1;
2002-01-30;0;953,7;19,1;30;24;19,2;75,5;52;10,3;3;
2002-01-31;null;950,9;19,5;26,9;22,2;21,8;84,9;74;36,4;5,1;
2002-02-01;15,2;954,4;18,4;26,6;21,5;18;83,3;60;6,6;2,1;
2002-02-02;0;957,9;11,5;25,3;19,9;13,8;59,6;33;8,1;3,3;
2002-02-03;0;958;11,7;26,3;19,6;13,5;63,5;34;9,8;3,5;
2002-02-04;0;955,2;13,9;29,4;21,6;15,2;64;36;11,3;4,1;
2002-02-05;0;956,2;16;29;23,9;19,7;61,6;45;11,7;2,5;
2002-02-06;1;956,3;17,3;26,4;21,9;19,1;76,1;52;7,8;2,3;
2002-02-07;1,4;954,2;16,2;27,6;21,4;17;74;45;7,4;2,6;
2002-02-08;0;953;15,8;28,3;22,1;17;69,5;41;9,4;2,1;
2002-02-09;0;952,6;14,8;26,9;21,5;16,9;66,1;45;16,7;2,4;
2002-02-10;7,2;952,9;16,1;27,6;22;17,1;70;51;14,5;2,7;
2002-02-11;7;955,4;15,2;30,4;23,8;18,5;60,1;34;7;2,6;
2002-02-12;0;957,7;17,8;28;23,4;20,1;71;51;8,1;2,1;
2002-02-13;,6;955,9;19,4;25,8;22,1;19,6;84,7;70;8,8;2,9;
2002-02-14;1,4;954,5;19,3;29,7;23,5;19,7;79;42;6,7;2,1;
2002-02-15;0;956,2;19;31;24,6;19,5;73,3;42;8;2;
2002-02-16;0;958,7;18,2;29,9;23,6;19,1;73,2;44;10,5;4,1;
2002-02-17;0;958,7;16,8;30,8;22,7;16,8;71,6;38;11,2;4,3;
2002-02-18;0;956,5;17,5;31,1;22,7;18,2;73,6;48;11;4,6;
2002-02-19;0;956;18,1;29,9;22,3;19,5;78,1;53;11,8;4,4;
2002-02-20;21,8;954,8;18,1;28,1;22,3;18,9;78,4;50;9,5;3,5;
2002-02-21;0;951,9;18;29,6;23,9;18,5;70,9;48;7,6;1,7;
2002-02-22;1,2;950;17,4;26,8;22,2;18,3;76,2;48;10,1;2,6;
2002-02-23;0;953,2;16;28,7;21,8;16,3;71,6;44;8,5;2,1;
2002-02-24;,8;958,7;15;28,6;22,1;16,5;66,7;38;9,7;3,2;
2002-02-25;0;957,5;12,3;30,9;22,5;15,6;56,3;25;8;3,5;
2002-02-26;0;954,8;15,6;32,3;25;18,4;57,2;36;10,1;3,8;
2002-02-27;0;954,6;18,3;33,1;25,7;20,6;64,2;42;11,1;4,1;
2002-02-28;1,8;954,3;19,3;31,5;25,3;20,3;70,3;48;11,2;3,9;
2002-03-01;0;956,5;20,1;25,8;22,6;22;86,2;71;8,5;2,4;
2002-03-02;5,6;957,7;19,3;31,2;23,5;19;79,3;46;8,4;2,9;
2002-03-03;0;957;19,9;33,7;25,1;19,6;75;44;10,1;3,9;
2002-03-04;0;957,3;20,1;33,8;27,2;22,2;66,9;42;10;3,6;
2002-03-05;0;957,6;20,4;32;24,3;21,5;80,1;53;13;3,3;
2002-03-06;67,4;955,3;20,3;27,4;22,8;20,6;86,4;67;9,2;2;
2002-03-07;1,2;954,8;20,3;27,8;23,2;20,9;84,3;66;10;3,1;
2002-03-08;0;956,6;20,3;32;26,2;21,8;71,5;46;9,1;3,3;
2002-03-09;0;957,9;20,5;33,8;27,7;22,4;66,4;44;8,4;3,4;
2002-03-10;0;957,8;20,5;35,7;29;23,3;61,8;37;8,6;3,1;
2002-03-11;0;956,7;20,5;34,3;27,5;23,1;67;43;14,8;3,4;
2002-03-12;16;958,2;20,8;32,1;24,4;21,3;81,5;53;16,2;4,5;
2002-03-13;16,6;956,3;20,1;29,7;23,1;19,9;83,6;65;12,3;3,8;
2002-03-14;16,8;954,2;19,9;29,2;22,9;21,2;84,3;52;16;2,3;
2002-03-15;19,4;953,7;20;32,2;25,4;19,6;73;53;9,4;3,9;
2002-03-16;0;953,3;21;33,7;27,5;22,8;68,6;47;9,4;3,8;
2002-03-17;0;953,6;20,7;32,8;26,9;22,4;70;52;12;3;
2002-03-18;0;953,8;19,6;32;25,1;20,9;72,2;54;10,3;4;
2002-03-19;0;951,6;19,8;28,3;23;21,2;82,7;66;16,7;4,7;
2002-03-20;18,4;954,9;19,2;25,5;21,7;19,2;86,2;63;9,8;2,3;
