Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Fechada
Data Inicial: 2006-05-31
Data Final: 2024-10-09
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-05-31;null;null;null;22,4;null;null;null;null;null;null;
2006-06-01;null;null;null;null;null;null;null;57;7,1;null;
2006-06-02;0;1023,4;12,7;19,5;15,3;9,5;84,8;66;10,3;2,7;
2006-06-03;0;1019,2;13,6;20,6;17,5;14,7;78,1;65;11,8;3,4;
2006-06-04;1,6;1012,6;15,2;20,3;18,1;16,2;83,3;72;10,4;2,9;
2006-06-05;1,2;1017;11,6;18,4;16,4;14,9;73,5;60;11,8;4,1;
2006-06-06;0;1018,2;13,1;19,3;16;12,1;83,3;62;8,5;2,6;
2006-06-07;0;1016,4;15,3;21,6;17,2;13,1;88,9;76;4,5;1,6;
2006-06-08;0;1016,1;16,8;21,2;18,5;15,5;89,6;79;9,1;2,4;
2006-06-09;0;1012,8;15,6;26,5;18,9;12,3;82,4;43;10,5;2,7;
2006-06-10;3,4;1013,7;15,5;19,3;17;16;91,5;80;9,5;2,9;
2006-06-11;16,4;1019,3;11,5;17,2;14,9;13,7;80,8;68;14,3;5,4;
2006-06-12;0;1023,9;8,4;16,1;12,2;6,8;78;63;8,6;2;
2006-06-13;0;1020,3;11,7;22,5;14,7;8,3;83,4;49;6,2;1,9;
2006-06-14;0;1017;14,9;22,7;17,1;12,7;87;71;9,2;2,1;
2006-06-15;0;1016,4;15,7;21,5;17,4;15,2;89,6;64;11,5;3,7;
2006-06-16;2,2;1022,4;10,1;17,7;15;13,9;73,7;40;10,5;3,4;
2006-06-17;0;1023,4;10,4;16,4;13,6;10,1;81,6;68;3,8;1;
2006-06-18;0;1022;13,7;19,5;15,8;12,8;87,5;74;7,5;1,9;
2006-06-19;0;1015,9;15;22,9;17,2;12,4;87,1;63;7;2,3;
2006-06-20;0;1013,5;15,1;27,3;19,6;15,4;75,9;39;8,5;2,5;
2006-06-21;10,6;1015,5;15,9;20,8;17,5;17,9;90,5;78;14,1;3,4;
