Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-27;0;1005,9;14,7;22,6;18,9;17,4;77,8;53;14,5;4,6;
2006-09-28;23,4;1010,6;14,7;23,5;19,5;17;76;40;10,4;3,3;
2006-09-29;0;1011,2;10,1;22,7;15,6;9,9;71,7;44;11,1;4,8;
2006-09-30;0;1007,5;13,5;26,6;18,9;12;71,6;57;10,1;4,6;
2006-10-01;0;1003,8;17,9;29,7;22,9;16,9;74,3;54;11,7;4,5;
2006-10-02;0;1003;17,2;29,5;23;17,2;72,4;42;9,7;4,3;
2006-10-03;0;1000,9;17,8;28,8;23,7;18,7;70,9;49;8,6;3,3;
2006-10-04;0;997,5;18,9;27,8;22,9;19,4;78,9;61;15,3;5,2;
2006-10-05;38,4;1004,5;12,3;21,9;17,7;14,4;73,8;34;16,8;4,2;
2006-10-06;0;1008;9,3;22,9;15,8;9,6;66,6;43;10,8;4,2;
2006-10-07;0;1008,6;11,2;24,6;17,7;11,4;69,3;37;8,6;2,3;
2006-10-08;0;1008,9;11,7;25;18;11,9;69;38;9,8;3,4;
2006-10-09;0;1005,6;14,1;28,7;20,3;12,4;68,9;46;7,2;3,3;
2006-10-10;0;1002,6;19,6;32,8;23,8;19,6;78,7;50;19,8;3,7;
2006-10-11;40,2;1003,2;18,8;27;21,9;19,1;83,5;60;15,8;3,1;
2006-10-12;0;1001,7;18,2;27,8;22;17;80,2;58;13,2;3,9;
2006-10-13;0;999,1;18,9;30,4;23,9;18;74,9;45;10,2;5,1;
2006-10-14;0;996,1;19,8;33,9;23,7;20,3;80,1;50;18,7;5,4;
2006-10-15;13,4;1004,8;16,4;24,6;20,4;18,2;79;50;13,3;3,8;
2006-10-16;,2;1010;9,3;24,2;17,3;10,6;63,6;32;11,5;3,9;
2006-10-17;0;1006,5;13,1;27;19;12,1;70,4;49;10,1;4,5;
2006-10-18;0;1004;14,4;26,9;21;15,4;66,6;51;12,9;4,6;
2006-10-19;0;1006,2;13,7;25,5;19,7;14,1;70,5;42;12,7;4,3;
2006-10-20;0;1009,2;12,5;26,5;19,3;12,1;67,8;37;11,4;4,7;
2006-10-21;0;1009,3;11,2;28,4;20,4;12,6;60,9;25;7,3;2,8;
2006-10-22;0;1007,1;10,8;30,4;22,6;12,7;51;23;14,3;3;
2006-10-23;0;1004,6;13,2;31,8;24,3;16,7;51,8;29;10,2;4,4;
2006-10-24;0;1002,8;17,1;33,2;25,9;19;63,3;30;14,2;4;
2006-10-25;0;1002;18,1;35,2;26,7;19;62,1;38;9,5;2,8;
2006-10-26;0;1005,2;16;29,5;23,2;17,3;65,5;44;12,5;4,6;
2006-10-27;0;1000,7;12,9;29;21,4;15,5;58,9;46;13,9;6;
2006-10-28;0;1000,6;15,2;26,9;23,7;19,7;59,2;49;13,7;3,9;
2006-10-29;0;997,5;18,4;28,4;22,9;21,3;77,1;54;18,7;5;
2006-10-30;35,2;998,6;20,6;29,9;24,1;19,5;82,3;60;5,4;1,5;
2006-10-31;46,4;998,7;20,4;27,3;23,7;19,5;82,6;65;13,2;3,9;
2006-11-01;,6;1001,1;18,2;28,8;23,1;19,2;75,8;44;11,6;3,8;
2006-11-02;0;1001,8;15,1;28,6;22,7;17;65,5;27;9,9;3,9;
2006-11-03;0;1003,6;13,8;26,1;21,4;17,7;62,9;41;10,4;3,6;
2006-11-04;0;1003,9;14,1;27,8;21,6;15,3;64,8;40;16,1;6,8;
2006-11-05;0;996,3;19;24,3;21,4;17,6;86,9;65;18,4;5,6;
2006-11-06;73,6;997,8;17,1;26,3;21,7;18,8;77;47;15,8;3,7;
2006-11-07;0;1009,6;10,5;22,3;18,1;13,7;63,5;34;10,1;3;
2006-11-08;0;1009,5;9,2;23,3;17,2;11,2;61,7;32;11,4;4,3;
2006-11-09;0;1008,3;7,2;24,9;18,3;12,4;51,3;25;9,6;3,9;
2006-11-10;0;1009,2;8,7;26,8;20,5;11,8;50,5;25;8,8;2,5;
2006-11-11;0;1008,9;12,7;28,9;21,8;15,4;59,3;30;7,9;2,1;
2006-11-12;0;1008,2;12,5;28,7;22,3;15,5;57;30;12,4;4,8;
2006-11-13;0;1007,7;14,8;31,4;24,1;17,8;58,7;30;12,2;5,6;
2006-11-14;0;1003,3;14,6;32,2;24,5;16,1;57,5;30;15;5,2;
2006-11-15;0;997,8;16,3;33,6;26,1;19,7;57,2;32;14,5;4,9;
2006-11-16;0;997,8;17,1;27,3;22,9;22,5;70;53;18,1;5,9;
2006-11-17;49,6;1000,4;18,2;20,3;19,6;17,9;91,7;76;16,6;4,9;
2006-11-18;19;1004,4;16,2;21,3;19,1;17,3;83,8;73;15,2;6,2;
2006-11-19;0;1008,9;13,7;24,2;19,3;15,4;71;50;11,3;4,6;
2006-11-20;0;1008;13,4;25,8;19;11,8;71,3;49;8,3;3,3;
2006-11-21;0;1003,8;16;29,9;22,6;15,4;68,6;39;8,2;2,7;
