Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Pane
Data Inicial: 2006-11-14
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-14;null;null;null;null;null;null;null;null;null;null;
2006-11-15;null;null;null;null;null;null;null;29;6,1;null;
2006-11-16;null;976,8;14,4;35,6;27,3;17,8;48,9;24;12,8;1,9;
2006-11-17;0;976,9;19,6;29,9;23,4;22,7;80,5;44;8,2;1,5;
2006-11-18;42,2;979,1;19,9;22,7;20,7;20,7;95,5;89;7;1,2;
2006-11-19;56;981,8;16,7;20,6;18,1;16,2;91,7;81;9,9;2,9;
2006-11-20;,6;982,7;14,5;27,4;19,6;12,8;74,3;45;8,8;2,1;
2006-11-21;3;981,3;16,6;29;21,5;14,5;75,5;49;7;1;
2006-11-22;0;980,6;14,8;31,6;23,8;16,6;61,4;30;7,1;1,1;
2006-11-23;0;978,7;15;34,8;26,4;17,2;52,4;22;7,2;1,6;
2006-11-24;0;978,6;19,3;29;22,6;20,6;82,1;46;11,4;1,5;
2006-11-25;31;978,2;20,3;26,9;22;19,7;90,1;69;7,4;1,2;
2006-11-26;3,8;978,7;20,5;31,1;25,1;20,6;77,5;51;12,2;2;
2006-11-27;0;977;19;30,9;23,4;19;77,3;58;12,7;2,2;
2006-11-28;4;975,9;18,9;30,3;23,7;19,7;76,8;48;9,7;1,4;
2006-11-29;0;979,3;16,2;29,1;22,8;17,4;69,9;34;7,4;2,1;
2006-11-30;1,6;980,9;13,7;31,8;24;16,4;58,1;24;7,7;1,8;
2006-12-01;0;979,8;16,6;33,2;25,8;19,2;60;30;6,8;1,6;
2006-12-02;0;979,3;15,8;33,4;26,5;19,4;54,2;29;6,5;,9;
2006-12-03;0;978,7;17,2;33,3;27,1;20,4;57,2;31;4,8;,8;
2006-12-04;0;978,3;17,5;36,2;28,6;20,4;55,4;27;7,5;1,3;
2006-12-05;0;978,4;19,2;36,6;27,4;21,7;64;29;8,8;1,9;
2006-12-06;3,2;977,6;19,7;31,7;25,4;21,5;73,4;40;10,2;2,3;
2006-12-07;0;977,5;15,4;30,7;23,5;16,5;63,5;31;7,2;2,2;
2006-12-08;0;975,3;16,4;34,6;25,7;18,7;58,6;30;7,3;1,5;
2006-12-09;0;977,1;17,6;33,3;26,6;19,8;62,4;26;8,3;1,3;
2006-12-10;0;979,5;11,3;34;26,2;17,5;44,8;14;9,5;2,3;
2006-12-11;0;980,4;13,4;34,9;26,4;18,4;49;20;8,2;1,5;
2006-12-12;0;979,8;16,4;35,8;27,1;18,6;54,8;28;6,9;1,1;
