Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2007-01-23
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-23;null;null;null;null;null;null;null;null;null;null;
2007-01-24;null;null;null;null;null;null;null;47;9,3;null;
2007-01-25;0;959,2;20,3;29,2;23,9;20,8;80,8;61;9,5;4,3;
2007-01-26;1,6;958,3;20,1;27,2;null;20,2;89;63;11,1;4,4;
2007-01-27;null;956,4;19,2;31,8;null;18,9;69,4;39;9;4;
2007-01-28;0;959,1;18,6;26,4;20,6;18,8;88,4;65;12,1;6,5;
2007-01-29;2,4;960,6;17,7;20,7;18,4;17,7;95,8;85;10,9;4,8;
2007-01-30;3,4;961,7;18,2;25,9;20,2;17,4;88,9;66;11,2;4,6;
2007-01-31;,6;961,3;16,3;26,9;21;16,5;77,4;45;10,6;4;
2007-02-01;0;961,7;16,8;29,7;22,7;18,1;72,6;37;9,5;4,2;
2007-02-02;0;962;15,4;32;24,4;20;60,2;27;9,8;4,5;
2007-02-03;0;959,9;14,7;33,1;25,1;20,2;55,2;30;10,4;5,7;
2007-02-04;0;957,1;16,6;30,3;23,5;17,8;68;35;11,6;5,2;
2007-02-05;5,4;954,3;19,3;26,4;21,8;19,2;86,1;68;12;5,1;
2007-02-06;24,2;950,8;18,7;27,1;21;17,7;88,1;57;18,3;7,5;
2007-02-07;7;958,9;16,8;24,7;20;17;83;57;13,5;5,4;
2007-02-08;0;966,5;12,2;26,6;20,1;14;64,3;27;10,7;4,4;
2007-02-09;0;967,2;15,2;26,8;21;16,9;72,5;40;14,5;6,2;
2007-02-10;0;964,3;17,7;26,3;20,5;17,5;84,3;63;14,2;5,6;
2007-02-11;,4;966,6;15,5;23,1;18,5;16,2;83,8;58;15;6;
2007-02-12;,6;965,6;12,8;23,9;18,1;14,2;72,5;52;12;4,9;
2007-02-13;0;961,7;15,5;26,4;19,8;15,6;77,3;55;12,3;5,5;
2007-02-14;0;959,1;17,2;29,4;21,8;17,2;77,3;45;11,5;4,8;
2007-02-15;0;958,1;18,1;29,9;21,9;17,9;81;46;11,1;5,1;
2007-02-16;0;955,2;17,8;32,8;24,6;18,5;69,6;35;12,3;6;
2007-02-17;10,6;951,1;19,3;25,6;22,8;20,1;82,2;61;14,8;6,5;
2007-02-18;1,6;958,8;12,4;21,9;16,8;12,1;77;50;11,7;5,4;
2007-02-19;0;963,3;13,7;24;17,3;12,7;80,2;52;11,6;4,7;
