Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2006-06-21
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-06-21;null;null;null;10,6;null;null;null;null;0;null;
2006-06-22;null;null;null;null;null;null;null;61;8;null;
2006-06-23;null;null;null;17,2;null;10,7;67,9;42;10,6;null;
2006-06-24;0;967,8;13,9;23,1;16,3;12,3;86,5;66;10,6;5,2;
2006-06-25;0;961;14;21,7;16,3;14;87;67;17,3;5,7;
2006-06-26;21,2;961,7;8,3;12,7;8,8;8,1;97;90;20,6;9,3;
2006-06-27;1,6;974,1;6,7;12,3;9,2;6,6;85,5;63;12;3,1;
2006-06-28;0;979;5,1;12,6;8,7;5,1;78,6;54;7,1;2,9;
2006-06-29;0;976,2;7,8;15;10,5;7,8;84,3;66;9,9;4,6;
2006-06-30;0;974,1;9,6;15,2;11,1;8,6;90,9;77;8,7;4,1;
2006-07-01;0;973,2;11,5;18,7;13,4;10,5;88,7;69;5,6;2,3;
2006-07-02;0;974,5;11,8;14,8;11,9;8,3;99,1;86;4,1;1,6;
2006-07-03;,2;973,4;12,3;17,3;12,6;10,3;97,8;88;8;2,9;
2006-07-04;0;971,7;14,8;20,1;15,8;10,7;93,7;82;10,2;2,7;
2006-07-05;,2;971,6;14,9;19,5;16,6;12,9;89,5;77;5,8;2,3;
2006-07-06;0;971,3;null;19;14,9;13,2;null;87;9;3,5;
2006-07-07;,2;966,7;null;21,8;16,9;13,3;null;63;9,3;4,3;
2006-07-08;,2;959,9;15,3;24,2;19,9;15,5;75,3;61;12,7;4,2;
2006-07-09;15,2;961,8;8,5;20,8;13,1;9,4;74,9;46;19,3;6,1;
2006-07-10;0;968,7;4;13,9;9,8;5,9;67,5;56;7,1;3,3;
2006-07-11;0;966,5;11,2;17,7;12,8;9;90,1;77;13;5,4;
