Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-27;null;null;null;null;null;null;null;null;null;null;
2006-09-28;null;null;null;null;null;null;null;null;null;null;
2006-09-29;null;null;null;null;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;null;null;null;null;
2006-10-01;null;null;null;null;null;null;null;null;null;null;
2006-10-02;null;null;null;null;null;null;null;43;8,5;null;
2006-10-03;null;996,5;17,8;30,3;23,5;17,7;72;47;8,6;2,3;
2006-10-04;,4;993,7;18,4;26;23,1;20,6;75,1;61;9,5;3;
2006-10-05;43,6;998;15;22,1;18,1;17,8;83,4;46;15,7;2,2;
2006-10-06;1,6;1002,6;9,5;21,4;15,9;11;67,3;45;10,8;4;
2006-10-07;0;1002,9;12,8;23,8;17,7;12,6;74,5;48;8,9;2,5;
2006-10-08;0;1003,6;10,9;23,5;17,6;12,7;66,9;38;10,1;3,6;
2006-10-09;0;1000,9;13,7;29,6;20,5;12,2;67,3;42;10,1;3,1;
2006-10-10;0;997,8;19,7;32,5;25,3;17,7;72,8;48;18,1;2,7;
2006-10-11;21,8;998,5;18,1;25,5;21,2;18,2;83,3;62;16,3;3,1;
2006-10-12;0;997;17,5;26,7;21,3;17,5;79,9;59;11,7;3,9;
2006-10-13;0;994,9;18,6;30,6;23,5;17,8;76,2;49;10,2;3,5;
2006-10-14;0;991,8;19,8;33,7;25,1;20,4;74,7;43;12,2;4,1;
2006-10-15;45,6;998,9;17,4;22,1;19,4;18,2;88,4;71;16,5;3,8;
2006-10-16;1,8;1004,4;7,5;23;17,1;9,6;55,6;33;12,3;4,4;
2006-10-17;0;1001,4;13,3;25;18,4;11,9;73,4;54;12,3;5,4;
2006-10-18;0;999,1;14,6;24,8;19,5;14,6;73,7;61;17;5,7;
2006-10-19;0;1000,7;13,5;23,8;18,6;15,2;73,2;52;12,4;5,2;
2006-10-20;0;1003,8;13,1;24,5;18,5;13,4;72,4;45;12,4;4,9;
2006-10-21;0;1004,2;11,2;27,1;19,2;11,8;63,7;27;8,6;2,9;
2006-10-22;0;1002,3;11,2;28,3;21,2;11,3;56,7;26;10,2;2;
2006-10-23;0;1000,2;12,5;31,8;23,7;16,1;52,4;23;9,1;2,4;
2006-10-24;0;998,7;16,8;32,2;25,6;17,7;60,9;34;10,5;2;
2006-10-25;0;997,6;17,4;33,8;26,5;19,9;59,1;36;9,2;1,7;
2006-10-26;0;999,4;17,2;27,2;22,6;18,3;72,2;54;12,6;3,3;
2006-10-27;0;996,5;12,2;25,5;19,4;13,7;64,2;48;14,4;5;
2006-10-28;0;996;14,4;29,4;22,8;16,8;60,6;43;10,9;4,1;
2006-10-29;0;993,3;17,8;31,9;22,4;18,3;76,6;52;18,1;3,7;
2006-10-30;18,8;993,1;19,8;30;23,6;18,3;80,8;57;10,5;2,5;
2006-10-31;46;993,4;20,1;26,8;23;19,8;84,3;67;11,6;3,8;
2006-11-01;,4;995,5;18,7;26,6;22,8;20,4;78,8;57;11;3,7;
2006-11-02;0;996,9;14,9;27,2;21,1;15,4;70,4;33;8,2;3,1;
2006-11-03;0;998,2;15,1;26,7;20,9;15,4;71,9;44;10,6;3;
2006-11-04;0;998,9;13,5;26,8;21,3;15,7;62,7;42;15,6;6,5;
2006-11-05;0;992,5;18,8;25,8;21,3;17,1;85,9;67;16,8;4,3;
2006-11-06;38,8;991,3;17,8;25,9;22,2;19,3;78,5;47;17,1;2;
2006-11-07;0;1003,5;10;21,9;17,5;12,9;62,9;42;10,2;2,6;
2006-11-08;0;1004,1;7,7;22,3;16;10,5;61,5;29;10,7;3,3;
2006-11-09;0;1002,7;5,8;23,7;17,1;10,9;50,1;27;10,7;3,8;
2006-11-10;0;1003,5;8,6;26,7;18,9;10;56,2;26;7,2;1,2;
2006-11-11;0;1003,8;12,7;26,5;20,3;14;64,7;35;8,4;2,4;
2006-11-12;0;1003,9;12,6;29;21,1;13,7;60,8;32;10,6;3,5;
2006-11-13;0;1003,6;13,1;30,9;24;15,8;54,5;26;10,2;3,7;
2006-11-14;0;999,4;13;31,8;24,9;17,5;50;29;11,1;2,9;
2006-11-15;0;994;13,6;34;26,4;19;47,3;26;14,5;2,5;
2006-11-16;0;993,6;15,9;34,2;23,4;20,9;65,4;28;16,6;3,7;
