Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2007-01-03
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-03;null;null;null;null;null;null;null;null;null;null;
2007-01-04;null;null;null;null;null;null;null;93;6,4;null;
2007-01-05;null;980,5;21,3;30,7;24,3;null;84,9;51;16,3;3,1;
2007-01-06;0;986,5;16,3;28;21,6;15,9;74,6;41;10;4,2;
2007-01-07;0;990,3;15,4;28,2;21,4;14;70,8;41;11,6;4,8;
2007-01-08;0;989,1;16,4;28,8;22,5;17,5;70,6;44;11,5;4,6;
2007-01-09;0;985,3;17,5;32,1;24,1;16,6;69,5;40;8,8;2,4;
2007-01-10;0;982,9;20,4;34,5;26;20,9;74;37;11,8;2,9;
2007-01-11;4,8;981,6;22,1;32,4;24,7;20,9;86,6;53;11,1;2,3;
2007-01-12;6;981;20,6;30,2;25,1;21,1;78,5;48;11,8;2,6;
2007-01-13;0;979,2;17,6;32,7;26;19,4;64,3;29;12,3;3,2;
2007-01-14;0;985,5;9,6;27,5;18,7;12;57,3;36;15,9;3,8;
2007-01-15;0;987,3;10,1;27,3;20;13,4;57,1;28;8,7;3,2;
2007-01-16;0;990,6;10,2;27,3;19,6;11,6;60,9;25;9,8;2,7;
2007-01-17;0;983,2;14,2;30,1;22;16,3;63,3;33;9,6;3;
2007-01-18;7;979,7;17,2;28,9;22,4;17,7;75;43;7;1,9;
2007-01-19;0;981,8;18,5;30,9;24,4;19;71,2;49;11,7;3,3;
2007-01-20;20,2;987,9;15,7;23,3;19;14,6;82,4;56;17,1;6,5;
2007-01-21;,6;992,3;13,1;26,2;19,1;12,3;72,2;42;14,1;3,8;
2007-01-22;0;988,5;15,3;28,4;20,5;11,8;74;54;10,8;4;
2007-01-23;0;983,6;18,1;33,4;25,2;18,2;68;37;11,5;3,6;
2007-01-24;0;983,6;20,3;33,1;27,3;22,7;67,9;38;8,9;3,1;
2007-01-25;0;984;20,3;33,5;24,2;18,9;80,7;43;10,8;1,9;
2007-01-26;8;982,9;21;30,7;24,5;20,7;82,1;52;10;2,7;
2007-01-27;0;981,9;21,3;32,1;26,2;21;75,9;50;10,2;3,2;
2007-01-28;0;984,6;18,6;27,5;22,8;18,8;78,2;55;12,2;4,8;
2007-01-29;0;986,2;17,9;24,4;20,2;16,9;86,7;72;9,6;2,9;
2007-01-30;5,2;987;18;28,8;22,4;17,6;78,4;49;9,7;2,7;
2007-01-31;0;986,5;15,5;30,8;23,5;16;65,8;32;8,6;2,5;
2007-02-01;0;987,1;16,1;32,5;25,1;18,1;61,7;28;7;2,7;
2007-02-02;0;987;15,6;34;26,8;19,7;55,3;19;7,7;2,3;
2007-02-03;0;984,6;15,3;34,6;27,5;21;50,1;28;9,8;3,8;
2007-02-04;0;981,9;14,5;33,6;25,2;19,3;53,7;33;13,2;4,3;
2007-02-05;6,4;978,7;20;27,9;22,4;20,6;86,8;66;11,9;3,9;
2007-02-06;23,4;976;19,3;29,3;23,5;19,5;78,7;54;16;5,2;
2007-02-07;6,6;985;17;27,3;21,9;18,2;75,7;45;13,7;2,7;
2007-02-08;0;991,8;11,9;30,1;21,5;12,6;60,7;24;9,2;3,2;
2007-02-09;0;991,8;14;30,3;23,2;16;59,1;33;14,1;4,8;
2007-02-10;0;989,6;16,5;29,5;23;17,3;67,9;49;9,2;3,3;
