Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2006-11-24
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-24;null;null;null;null;null;null;null;null;null;null;
2006-11-25;null;null;null;null;null;null;null;null;null;null;
2006-11-26;null;null;null;null;null;null;null;null;null;null;
2006-11-27;null;null;null;null;null;null;80,6;63;18,7;null;
2006-11-28;20,8;920,8;18,3;24,7;20,2;16,9;89,4;72;9,4;2,7;
2006-11-29;0;922,9;16,2;25,7;20,4;16,9;78,8;45;6,9;1,9;
2006-11-30;0;925,5;13,8;28,1;20,7;14,5;69,3;29;7,5;1,7;
2006-12-01;0;926,4;13,7;28,3;21,5;15,6;63,9;34;11,6;3,2;
2006-12-02;0;926;12,6;28,3;21,5;16,5;58,8;37;9,9;3,5;
2006-12-03;0;924,5;15,3;29,9;23,3;17,6;62,8;38;7,2;1,7;
2006-12-04;0;923,7;17,1;31,1;25,2;20,8;62;38;7,6;1,8;
2006-12-05;0;924,7;18,2;30,8;22,5;18,2;77,8;49;9,6;2,7;
2006-12-06;8,4;922,9;18,2;26;20,6;18,4;87,3;59;13,7;2;
2006-12-07;26,2;922,3;15,1;27,4;20,1;14,9;76,2;32;7,2;2;
2006-12-08;0;921,2;15,8;28,6;21;15,4;74,4;42;7,5;2,4;
2006-12-09;0;922,6;17,9;28,5;22;18,3;78,2;54;6,9;2;
2006-12-10;0;924;14,7;29,3;22,8;17,4;65,1;22;8,4;2,2;
2006-12-11;0;925,7;14,5;29,6;22,6;16,3;63,9;32;8,9;2,2;
