Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-20;null;null;null;null;null;null;null;null;null;null;
2007-07-21;null;null;null;null;null;null;null;92;10,4;null;
2007-07-22;null;994,7;13,1;19,6;15,2;14,3;88;64;14,4;4,4;
2007-07-23;,6;1006,2;1,2;15,8;9,7;3,6;59,6;24;6,5;1,5;
2007-07-24;0;1005,4;2;14,7;8,5;3,9;64,6;41;7,8;2,6;
2007-07-25;0;1010,8;2;12,9;7,9;3,8;69,6;34;9,3;2,9;
2007-07-26;0;1013,7;3;17,9;10,3;4,6;62,6;34;6,9;1,8;
2007-07-27;0;1014,9;5,7;18;11,2;5,7;70,5;44;7,8;2,5;
2007-07-28;0;1022,3;0;13,1;8,5;4;57,9;30;12;4,5;
2007-07-29;0;1019,9;-,2;14,3;8,1;2,3;57,5;35;11,7;4;
2007-07-30;0;1013,1;5,7;19,5;11,8;3,9;67,5;45;8,6;2,9;
2007-07-31;0;1008,9;8,2;20,9;12,9;6,7;74,8;50;5,4;2;
2007-08-01;0;1005,5;10,7;24,3;16,1;9,6;72;43;6,6;2,3;
2007-08-02;,2;1008,6;11,2;17,8;13,9;12;84,4;69;11,3;3,8;
2007-08-03;,8;1009,8;10,9;12,9;12,1;11,4;92,7;83;9,3;3,3;
2007-08-04;6,2;1015,2;7;11,4;9;8,3;87,9;74;7,8;2,9;
2007-08-05;2,4;1012,2;4,9;12,7;7,7;3,1;82,7;70;9,1;2,3;
2007-08-06;0;1004,7;9;12,7;10,8;5,3;89,2;78;6,1;1,8;
2007-08-07;1,4;1009,4;5,2;16,8;9,9;4,3;76,1;36;5,8;1,3;
2007-08-08;0;1005,8;5,4;22,8;12,8;5,1;64,6;30;9,5;3,4;
2007-08-09;0;1000,4;13,3;29,8;21,8;8;60,2;36;11,5;4;
2007-08-10;1,2;1007,1;10,7;23;13,3;11,2;84,9;60;13,8;4,8;
2007-08-11;,8;1016,8;3,1;15,3;8,8;2,4;72,4;34;7,7;1,7;
2007-08-12;0;1008,4;8,9;24,1;14,4;5,9;70,2;52;9,7;4;
2007-08-13;0;1002,8;15,9;28,3;21,2;10;73,1;44;12,3;3,8;
2007-08-14;0;999,4;15,1;26,5;22,9;18,4;62,8;45;11,9;4,4;
2007-08-15;0;1001,5;13,4;28,2;23,9;20,7;53;36;13,6;4,4;
