Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.3686111
Longitude: -56.43722221
Altitude: 113.05
Situacao: Operante
Data Inicial: 2007-10-16
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-16;null;null;null;null;null;null;null;null;null;null;
2007-10-17;null;null;null;null;null;null;54,3;36;6,2;null;
2007-10-18;0;1000,1;14;27,5;20;11,7;71,5;37;8,1;2,3;
2007-10-19;0;998,1;13,8;28,8;21,1;13,1;67,9;32;9,1;2,8;
2007-10-20;0;993,7;16,5;28,6;20,2;15,4;80,7;53;14,8;3,5;
2007-10-21;34,6;999,1;13,5;25,1;19,7;15,5;70,1;38;10,6;3;
2007-10-22;0;1002,9;12;27,1;19,7;12,4;63,7;36;12,9;3,9;
2007-10-23;,6;1006;11,3;26,6;20,7;14,6;57;28;12,5;4,7;
2007-10-24;0;1004,2;14;28,6;20,4;13;68,4;45;11,7;4,4;
2007-10-25;0;996,6;17,4;29,4;23,4;18,4;69,8;53;14,1;5;
2007-10-26;0;994,8;20,1;31;25,5;19,5;73,6;53;8;2,3;
2007-10-27;3;996,2;18,1;25,4;21,5;17,7;81,6;71;12,3;2,8;
2007-10-28;,2;994,6;15,9;24,8;18,7;14;84,4;65;13,4;4;
2007-10-29;42,2;995,3;17,5;21,2;19;17,1;90,8;72;13,7;5,1;
2007-10-30;12,4;996,4;17,5;21,8;18,9;17;92;81;9,7;2,9;
2007-10-31;1,2;989,7;18,9;29,1;21,7;15,9;85,1;65;11,3;3,2;
2007-11-01;8,4;993,2;13,5;22,8;18,7;16,7;74,1;41;14,9;3,8;
2007-11-02;0;995,8;10,8;23,8;17,6;12,2;68,3;34;8,1;1,4;
2007-11-03;0;993,6;12,6;27;19,8;13,3;65;38;12,5;3,9;
2007-11-04;,6;1001;7,2;21,8;15,4;10;61,7;32;14,7;4;
2007-11-05;0;1002,4;5,3;23,6;14,3;5,3;61,5;27;7,1;1,8;
2007-11-06;0;1002,4;11;27,6;19,7;11,7;60,3;30;7,7;1,6;
2007-11-07;0;998,9;12,4;30,8;21,9;12,6;60,5;26;7,8;2,2;
2007-11-08;0;993,4;15,4;32,8;24,1;15,5;62,2;27;8,5;2,3;
2007-11-09;0;984,2;19,1;26,6;22,4;20,3;82,3;61;14,9;3,3;
2007-11-10;4,4;988,3;14,4;20,8;18,2;16,3;79,3;55;11,3;4,5;
2007-11-11;0;1000,8;6,6;19,6;14,3;8,7;64;32;13,2;3,5;
2007-11-12;0;1003,4;5,8;23,9;14,7;5,3;61,3;28;8,9;2,5;
2007-11-13;0;996,3;9,9;28,6;19,4;9,6;57,1;28;10,8;2,9;
2007-11-14;0;1000,9;8,9;22,4;17,1;12,1;62;29;13,9;4,9;
2007-11-15;0;1008,9;3,2;21;null;2,3;58,5;33;10,3;2,6;
2007-11-16;null;null;null;null;null;8,9;78;60;11,3;null;
2007-11-17;null;null;null;null;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;null;44;8;null;
2007-11-20;null;999,5;15,1;31,5;24,7;16,9;62,1;24;8,5;2;
2007-11-21;0;1004,2;14;29,7;22,1;14,2;64,1;33;8,2;3;
2007-11-22;0;999,4;15,6;32,4;23,8;14,7;63,7;34;10,3;3,7;
2007-11-23;0;996,5;17,8;29,4;21,3;18;81,2;50;18,2;3,1;
2007-11-24;9,2;998,6;10,8;21,4;17,1;12,5;68,5;38;10,4;3,9;
2007-11-25;0;997,5;8,5;26,1;17,2;8,7;62,1;22;5,7;1,6;
2007-11-26;0;999;10,3;29,7;19,9;8,9;60,3;29;8,1;1,6;
2007-11-27;0;997,4;12,8;31,7;23,5;14,2;54,9;29;8,2;1,9;
2007-11-28;0;998,9;13,5;30,2;23,3;16,2;59,6;14;9,2;3,3;
2007-11-29;0;998,8;11,5;32,2;22,9;14,9;55;21;12,4;4;
2007-11-30;0;998,5;11,3;33,2;23,6;14,4;52,3;15;9,8;3,9;
2007-12-01;0;997,4;13,3;34,4;24,7;15,6;54;23;8,7;3,3;
2007-12-02;0;999;14,5;30,2;23,3;16,3;60,7;29;7,3;2,8;
2007-12-03;0;997,4;14;33,3;25,3;16,4;54,9;21;7,1;2,7;
2007-12-04;0;993,5;16,4;34,4;23,6;18;68;33;23,3;3,3;
2007-12-05;43,2;997,2;15,8;25,1;20,6;17,9;75,5;39;13,3;4,5;
2007-12-06;0;998,2;9,9;27,1;18,9;11;61,3;27;8,4;2,6;
2007-12-07;0;994,7;10,4;28,8;20,4;10,3;59;23;10,7;2,2;
2007-12-08;0;993,6;13;30,7;22,7;13,5;60,3;27;9,3;1,8;
2007-12-09;0;996,4;12,7;31,8;23,9;15,1;53,3;28;8,3;2,2;
2007-12-10;0;993;16,2;36,1;24,8;20;62,3;29;13,4;5;
2007-12-11;12;1000,6;13,5;27;21,5;17,6;65,5;26;11,7;4;
2007-12-12;0;1001,8;9,7;28,6;20,1;11,8;56,8;20;8,5;3,3;
2007-12-13;0;998;13,3;32,5;22,4;12;60,5;25;8,8;2,8;
2007-12-14;0;995,4;18,2;33,4;27,6;21;58,5;36;10,7;3,9;
2007-12-15;0;996,9;18,5;29,6;25,7;21,1;65,2;46;8,3;3,1;
2007-12-16;0;999,8;10,1;29,2;22,4;15,3;49,5;21;12,1;4,1;
2007-12-17;0;1000,1;10,7;30,2;22;13,6;53;22;11,3;3,5;
2007-12-18;0;998,6;12,4;31,8;22,9;15,7;57,5;20;8,2;2;
2007-12-19;0;996,6;9,9;31,9;23,8;14,7;48;15;10,6;2,9;
2007-12-20;0;995,4;12,2;33,8;24,5;14,8;53,3;22;7,2;2;
2007-12-21;0;994,9;13,5;35,5;26,7;16,9;49,5;21;7;1,8;
2007-12-22;0;996,2;13,2;37,6;28,1;18,1;45,1;18;10,3;2,2;
2007-12-23;,2;995,9;16;37,1;27,5;18,4;56,7;17;16,8;4,1;
2007-12-24;0;997,7;18,1;25,9;22,2;20,4;77,9;58;15,2;3,5;
2007-12-25;3,4;995,4;16,8;31;23,6;16,9;70,1;36;8,8;1,9;
2007-12-26;0;994,9;15,5;34,3;25,8;16,5;59,4;26;7,1;1,6;
2007-12-27;0;995;17,7;32,3;26,6;21,1;59,6;40;8,8;2,9;
2007-12-28;1,4;993,7;19,5;34,1;27;22,2;67,8;35;9,4;2,9;
2007-12-29;4,4;993,9;20,5;32,2;24,9;20;77,8;49;17,1;3,2;
2007-12-30;0;992,8;19,2;34,5;26,2;20,1;69,9;32;11,2;2,1;
2007-12-31;0;996;18,8;36,1;25,8;19,3;69,3;26;14,2;1,9;
2008-01-01;0;996,7;15;37;28,6;20,2;51,9;14;9,2;3,1;
2008-01-02;0;995,5;17,6;37,8;28,2;19,6;57,9;24;16,1;3,2;
2008-01-03;0;996,1;20,7;32,9;25,1;22,3;78;40;14,3;2;
2008-01-04;39,6;1000,3;20,1;33,2;26,1;20,4;73,5;37;10,3;3,2;
2008-01-05;0;1001,4;13,4;31,9;24,8;17,5;57,2;13;7,6;3,2;
2008-01-06;0;998,4;16;33,1;25,2;17,4;60,6;31;7,8;2,5;
2008-01-07;0;996;15,9;34,4;27,2;20,2;52,7;29;7,5;2,4;
2008-01-08;0;994,4;15,2;37,4;28,8;18,5;48,3;22;7,7;2,1;
2008-01-09;0;992,4;16,3;37,8;29,7;21,3;49;23;11,5;2,6;
2008-01-10;0;989,1;16,9;37,8;29,7;20,4;50,4;25;11,6;3,1;
2008-01-11;5,4;995,6;15,7;31;24,4;19,4;62;28;14,2;4,5;
2008-01-12;,4;1001,1;11,9;29,2;22,7;15,6;54,7;27;11,6;3,8;
2008-01-13;0;999,6;15,8;33,4;24,6;15,9;59,3;39;9,8;4,3;
2008-01-14;0;999,5;18,9;36,9;28,2;20,6;59,1;33;11,8;3,6;
2008-01-15;1,8;996,3;19,1;37,7;30;23,3;55,5;30;8,5;2,4;
2008-01-16;0;992;20,7;32,1;26,1;25,4;72,9;49;11,5;4,3;
2008-01-17;15,4;993,7;17,6;30,7;24,6;19,1;66,4;46;9,6;3;
2008-01-18;0;993,1;18,8;27,4;21,2;19,8;86,6;59;10,4;3,3;
2008-01-19;16,6;996,4;16,1;28,3;21,9;15,6;72,7;43;11,7;3,2;
2008-01-20;0;1001;9,8;27,6;20,7;12,8;55,8;22;14,6;4,5;
2008-01-21;0;1001,1;9,1;29,6;22,2;13,7;46;24;14,9;5,3;
2008-01-22;0;1000,4;13,8;31,2;22,9;13,9;58,5;32;10,4;4,2;
2008-01-23;0;1001,6;14,6;30,4;24,7;19,5;54,8;30;13,3;4,8;
2008-01-24;0;1001,4;15,8;33,2;25,9;18,3;56,3;31;9,9;4;
2008-01-25;0;1000;16,2;34,2;26,8;18,9;55,2;30;8,9;3,5;
2008-01-26;0;999,8;16,1;32;25,9;19,2;55,6;39;13,7;5,2;
2008-01-27;0;999,7;14,9;32,7;26,2;21;51,7;30;13,2;5,7;
2008-01-28;0;998,7;16,5;33,1;25,4;21,1;60;33;11,1;3,8;
2008-01-29;2;997,1;19,2;28,3;23,5;21,2;78;51;6,2;1,5;
2008-01-30;2;994;18,4;29,9;23,4;18,1;75,7;48;11,9;2,4;
2008-01-31;0;992,7;18;27,5;23;20,2;74,3;54;8,6;3,7;
2008-02-01;0;992,7;17,3;28,9;22,5;18,2;73,7;50;10,9;3,7;
2008-02-02;0;993,6;15,5;31,9;24,2;17,4;64;27;11,8;3,1;
2008-02-03;0;999,3;11,4;29;23,6;18,9;52,5;20;14,4;3,8;
2008-02-04;0;1001,6;9,4;31,8;21,7;10,2;51,5;24;6,6;1,5;
