Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-10;null;null;null;null;null;null;null;null;null;null;
2007-07-11;null;null;null;null;null;null;null;null;null;null;
2007-07-12;null;null;null;null;null;null;null;null;null;null;
2007-07-13;null;null;null;null;null;null;null;null;null;null;
2007-07-14;null;null;null;null;null;null;null;null;null;null;
2007-07-15;null;null;null;null;null;null;null;null;null;null;
2007-07-16;null;null;null;null;null;null;null;null;null;null;
2007-07-17;null;null;null;null;null;null;null;null;null;null;
2007-07-18;null;null;null;null;null;null;null;null;null;null;
2007-07-19;null;null;null;null;null;null;null;null;null;null;
2007-07-20;null;null;null;null;null;null;null;null;null;null;
2007-07-21;null;null;null;null;null;null;null;null;null;null;
2007-07-22;null;null;null;null;null;null;null;null;null;null;
2007-07-23;null;null;null;null;null;null;null;null;null;null;
2007-07-24;null;null;null;null;null;null;null;null;null;null;
2007-07-25;null;null;null;null;null;null;null;null;null;null;
2007-07-26;null;null;null;null;null;null;null;null;null;null;
2007-07-27;null;null;null;null;null;null;null;null;null;null;
2007-07-28;null;null;null;null;null;null;null;null;null;null;
2007-07-29;null;null;null;null;null;null;null;null;null;null;
2007-07-30;null;null;null;null;null;null;null;null;null;null;
2007-07-31;null;null;null;null;null;null;null;null;null;null;
2007-08-01;null;null;null;null;null;null;null;null;null;null;
2007-08-02;null;null;null;null;null;null;null;null;null;null;
2007-08-03;null;null;null;null;null;null;null;null;null;null;
2007-08-04;null;null;null;null;null;null;null;null;null;null;
2007-08-05;null;null;null;null;null;null;null;null;null;null;
2007-08-06;null;null;null;null;null;null;null;null;null;null;
2007-08-07;null;null;null;null;null;null;null;null;null;null;
2007-08-08;null;null;null;null;null;null;null;null;null;null;
2007-08-09;null;null;null;null;null;null;null;null;null;null;
2007-08-10;null;null;null;null;null;null;null;null;null;null;
2007-08-11;null;null;null;null;null;null;null;null;null;null;
2007-08-12;null;null;null;null;null;null;null;null;null;null;
2007-08-13;null;null;null;null;null;null;null;null;null;null;
2007-08-14;null;null;null;null;null;null;null;null;null;null;
2007-08-15;null;null;null;null;null;null;null;null;null;null;
2007-08-16;null;null;null;null;null;null;null;null;null;null;
2007-08-17;null;null;null;null;null;null;null;null;null;null;
2007-08-18;null;null;null;null;null;null;null;null;null;null;
2007-08-19;null;null;null;null;null;null;null;null;null;null;
2007-08-20;null;null;null;null;null;null;null;null;null;null;
2007-08-21;null;null;null;null;null;null;null;null;null;null;
2007-08-22;null;null;null;null;null;null;null;null;null;null;
2007-08-23;null;null;null;null;null;null;null;null;null;null;
2007-08-24;null;null;null;null;null;null;null;null;null;null;
2007-08-25;null;null;null;null;null;null;null;null;null;null;
2007-08-26;null;null;null;null;null;null;null;null;null;null;
2007-08-27;null;null;null;null;null;null;null;null;null;null;
2007-08-28;null;null;null;null;null;null;null;null;null;null;
2007-08-29;null;null;null;null;null;null;null;null;null;null;
2007-08-30;null;null;null;null;null;null;null;null;null;null;
2007-08-31;null;null;null;null;null;null;null;null;null;null;
2007-09-01;null;null;null;null;null;null;null;null;null;null;
2007-09-02;null;null;null;null;null;null;null;null;null;null;
2007-09-03;null;null;null;null;null;null;null;null;null;null;
2007-09-04;null;null;null;null;null;null;null;null;null;null;
2007-09-05;null;null;null;null;null;null;null;null;null;null;
2007-09-06;null;null;null;null;null;null;null;null;null;null;
2007-09-07;null;null;null;null;null;null;null;null;null;null;
2007-09-08;null;null;null;null;null;null;null;null;null;null;
2007-09-09;null;null;null;null;null;null;null;null;null;null;
2007-09-10;null;null;null;null;null;null;null;null;null;null;
2007-09-11;null;null;null;null;null;null;null;null;null;null;
2007-09-12;null;null;null;null;null;null;null;null;null;null;
2007-09-13;null;null;null;null;null;null;null;null;null;null;
2007-09-14;null;null;null;null;null;null;null;null;null;null;
2007-09-15;null;null;null;null;null;null;null;null;null;null;
2007-09-16;null;null;null;null;null;null;null;null;null;null;
2007-09-17;null;null;null;null;null;null;null;null;null;null;
2007-09-18;null;null;null;null;null;null;null;null;null;null;
2007-09-19;null;null;null;null;null;null;null;null;null;null;
2007-09-20;null;null;null;null;null;null;null;null;null;null;
2007-09-21;null;null;null;null;null;null;null;null;null;null;
2007-09-22;null;null;null;null;null;null;null;null;null;null;
2007-09-23;null;null;null;null;null;null;null;null;null;null;
2007-09-24;null;null;null;null;null;null;null;null;null;null;
2007-09-25;null;null;null;null;null;null;null;null;null;null;
2007-09-26;null;null;null;null;null;null;null;null;null;null;
2007-09-27;null;null;null;null;null;null;null;null;null;null;
2007-09-28;null;null;null;null;null;null;null;null;null;null;
2007-09-29;null;null;null;null;null;null;null;null;null;null;
2007-09-30;null;null;null;null;null;null;null;null;null;null;
2007-10-01;null;null;null;null;null;null;null;null;null;null;
2007-10-02;null;null;null;null;null;null;null;null;null;null;
2007-10-03;null;null;null;null;null;null;null;null;null;null;
2007-10-04;null;null;null;null;null;null;null;null;null;null;
2007-10-05;null;null;null;null;null;null;null;null;null;null;
2007-10-06;null;null;null;null;null;null;null;null;null;null;
2007-10-07;null;null;null;null;null;null;null;null;null;null;
2007-10-08;null;null;null;null;null;null;null;null;null;null;
2007-10-09;null;null;null;null;null;null;null;null;null;null;
2007-10-10;null;null;null;null;null;null;null;null;null;null;
2007-10-11;null;null;null;null;null;null;null;75;11,7;null;
2007-10-12;7,4;992,5;16,8;20,6;18,3;16;91;80;12,5;3,4;
2007-10-13;10,8;999,6;11,9;19,9;15,8;12,8;78,5;55;11,1;2,1;
2007-10-14;,6;1004,5;10,6;22,3;16,6;10,7;68,9;47;11,5;3,8;
2007-10-15;,4;1001,8;15;18,9;17,7;16;84,7;70;13,5;5,1;
2007-10-16;8,6;999,6;16,8;22,2;19;17,3;88;69;10,2;2,3;
2007-10-17;,4;1002;13,4;24,9;18;10,4;77,3;49;4,9;,7;
2007-10-18;0;1000,9;14,7;27,2;21,2;15,4;68,8;39;7,3;1,7;
2007-10-19;0;999,6;13,2;28,2;21,3;14,6;63,3;31;7,9;2,3;
2007-10-20;0;995,4;17,3;28,6;21,7;17,8;77,4;45;7,4;1,5;
2007-10-21;6,6;999,4;15,4;24,5;19,5;15,7;79,1;49;5,3;,7;
2007-10-22;0;1004,6;10,2;26,6;19,8;14,3;55,8;34;9,8;3,4;
2007-10-23;0;1008;11;24,4;19,1;15,6;59,9;44;11,8;4;
2007-10-24;0;1006,4;12,6;26,8;20,3;14,4;62,7;40;13;4,4;
2007-10-25;0;999;15,2;30,6;22,7;16,1;64,5;41;11,2;3,5;
2007-10-26;0;995,8;18,7;32;25,3;18,9;69,3;41;9,1;1,8;
2007-10-27;7,6;996,7;18,3;25;21,4;17,9;82,9;68;13,4;1,4;
2007-10-28;,6;996,6;15;22,9;18,9;16,1;78,7;56;12,7;3,2;
2007-10-29;62,4;997,9;17,4;20;18,6;17,6;93;81;17,1;3,2;
2007-10-30;11,2;997,7;17,6;20,9;19;17,3;91,3;87;12,5;1,8;
2007-10-31;,6;991,3;18,8;26,6;20,5;16,3;90,6;71;8,9;1,9;
2007-11-01;89;992,6;15,5;21,7;18,3;17,4;84,8;60;17,9;1,4;
2007-11-02;,2;996,4;10,9;21,6;17,1;13,4;69,7;37;7,1;1,2;
2007-11-03;0;994,5;12;25,7;18,6;11;69,3;40;9,6;1,7;
2007-11-04;9;1000,7;8;21,4;15,6;11;63,3;30;11,3;2,2;
2007-11-05;0;1003,7;5;21,4;13,9;6,2;59,7;25;5;1;
2007-11-06;0;1003,4;11,5;26,4;18,1;9,8;68,4;41;4,8;1,2;
2007-11-07;0;1000,4;13,4;30,6;22,2;14,1;60,3;30;6,7;1,9;
2007-11-08;0;994,8;16;33,3;25,6;18,2;58,6;27;7,6;2;
2007-11-09;0;985,6;18,2;29;24,5;21;68,6;46;14,7;3,2;
2007-11-10;3,8;987,4;15,8;22,5;19,6;18,1;79,3;57;10,9;2,1;
2007-11-11;0;1000,1;6,5;20,5;15,7;12,2;59,6;28;11,5;2,6;
