Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2009-02-03
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-02-03;null;null;null;null;null;null;null;null;null;null;
2009-02-04;null;null;null;null;null;null;53,8;35;0;null;
2009-02-05;0;966,3;16,6;31,2;23,4;16,6;68,3;37;0;null;
2009-02-06;0;964,8;18,9;27,9;24,2;21,2;72,5;51;0;null;
2009-02-07;0;967,5;14;32,6;24,6;18;55;29;0;null;
2009-02-08;0;966,7;14;34,1;25,5;18,8;51,7;26;0;null;
2009-02-09;,6;966,5;16,9;33,2;26,2;20,1;59,7;33;0;null;
2009-02-10;0;964,8;17,9;34;26,4;21,5;60,9;39;0;null;
2009-02-11;24,4;963,4;18,9;29,6;25;21,7;71,7;32;0;null;
2009-02-12;0;967,9;9,9;26,3;20,7;14,9;53,1;28;0;null;
2009-02-13;0;964,7;13,8;29,9;21,2;13,7;64,2;41;0;null;
2009-02-14;0;965;17,8;32,1;24,5;18;68,4;39;0;null;
2009-02-15;0;965;17,2;32,8;25,2;19,7;64,4;32;0;null;
2009-02-16;0;963,7;18,2;26,1;22,4;20,9;77,5;56;0;null;
2009-02-17;12,2;966,5;18;31,6;24,1;17,5;71,5;37;0;null;
2009-02-18;0;966,5;19,7;32,6;25,3;21,1;72,6;47;0;null;
2009-02-19;34,2;966,6;21,8;31,7;25,2;20,8;82,7;52;0;null;
2009-02-20;7,6;964,7;20,4;33;25,2;19,7;76,4;46;0;null;
2009-02-21;14,4;965,1;20,5;26,6;23;20,4;86,2;63;0;null;
2009-02-22;2;964,7;20,5;31,8;25;19,9;78;55;0;null;
2009-02-23;25;966,1;19,6;28,7;20,8;20,6;92,9;62;0;null;
2009-02-24;,2;969,2;16,5;26,6;21,1;16,5;76,6;51;0;null;
2009-02-25;0;970;16,9;21,4;18,9;16,3;88,8;70;0;null;
2009-02-26;1,4;968;18,1;20,1;18,8;18,1;95,3;93;0;null;
2009-02-27;37;967,9;18,5;28,4;21,1;16,8;86,3;61;0;null;
2009-02-28;0;967,3;19,1;30,3;23;17,7;80,1;54;0;null;
2009-03-01;0;965,9;20,4;31,7;26,2;21,3;73,3;41;0;null;
2009-03-02;34,6;967,2;19,6;27,6;20,9;19,9;92,7;60;0;null;
2009-03-03;35,8;968;19,8;31,3;24,1;18,7;78,8;54;0;null;
2009-03-04;0;964,4;20,6;32,5;26,1;22,6;73,5;48;0;null;
2009-03-05;12,2;966;18,9;26,8;22,3;18,8;81,9;61;0;null;
2009-03-06;0;967,9;17,9;27,6;21,8;17,9;79,7;55;0;null;
2009-03-07;0;967,1;17,7;29,8;22,5;16,8;75,9;46;0;null;
2009-03-08;,2;967,5;17,5;28,1;21,8;18;78,4;46;0;null;
2009-03-09;,2;968,6;17,8;26,8;20,2;16,4;87;59;0;null;
2009-03-10;,2;968,2;18,7;26,9;21,8;18,3;83,5;64;0;null;
2009-03-11;3;965,9;18,9;27,7;22,6;19,6;80,8;55;0;null;
2009-03-12;9,2;964,8;19,1;28;23;19,9;79,5;53;0;null;
2009-03-13;,4;964,8;16,6;27,4;21,9;16,8;73,9;50;0;null;
2009-03-14;0;965,7;15,3;29,4;22,3;15,7;66,3;39;0;null;
2009-03-15;0;969,2;14,4;24,7;21;19,5;66,8;45;0;null;
