Nome: TRAMANDAI
Codigo Estacao: A834
Latitude: -30.01027777
Longitude: -50.13583333
Altitude: 4.56
Situacao: Operante
Data Inicial: 2008-03-08
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;1014,3;21;26,9;24,7;null;80,5;52;7,9;2;
2008-03-10;0;1012,1;20,4;24,9;22;20,4;91,3;78;8,8;3,2;
2008-03-11;,2;1011,2;20;25,5;22,6;20,8;85,8;71;9;3,5;
2008-03-12;0;1013,3;18,5;26,7;21,2;17,8;84,6;66;6,5;2,1;
2008-03-13;0;1014,4;18;26;21,5;18,2;81,5;56;11,1;3,3;
2008-03-14;7;1016,2;18;25,6;21,5;18,4;81,3;59;9,6;3,1;
2008-03-15;,4;1018,8;18,4;25,4;22;17,9;80,8;65;6,7;2,6;
2008-03-16;,6;1019,9;19,2;25,7;23,3;20,8;78;68;10,6;5;
2008-03-17;0;1018,7;20;25,9;23,3;21,7;82,3;71;10,7;5,4;
2008-03-18;0;1018,1;20,8;25,9;23,6;22,2;84,5;74;10,4;6,1;
2008-03-19;4,4;1015,4;21,5;25,3;23,3;21,4;89,5;81;11,9;6,9;
2008-03-20;0;1013,5;21,3;26,6;23,8;22,3;86,3;66;12;4;
2008-03-21;,6;1013,8;21;27,2;23,3;19,6;87,5;68;7,4;2,4;
2008-03-22;0;1011,5;21;33,7;24,4;21,5;83,3;39;13,4;3,6;
2008-03-23;9;1016,3;18,4;24,4;22,3;21;78,8;69;11,6;4,9;
2008-03-24;0;1017,3;19;24;22,4;21,1;81,3;74;7,5;3,5;
2008-03-25;0;1018,2;18,3;24,8;22,8;21;75,8;67;12,8;6,7;
2008-03-26;0;1013,3;19;25,5;23;21,5;78,6;70;14,7;7,2;
2008-03-27;0;1009,8;20,9;29,4;23,4;19,6;86,4;60;9,1;2,8;
2008-03-28;42,2;1011,9;19,8;25,8;22;18,6;87,7;73;15,5;3,3;
2008-03-29;4,4;1017,3;17,8;25,1;22,7;20,7;74,2;56;11,8;5,5;
2008-03-30;0;1018,1;14,8;23,9;22,3;21,1;62,7;55;12,2;7,1;
2008-03-31;0;1014,2;17,5;24,1;22,2;20,6;75;62;13,5;8,1;
2008-04-01;7,8;1010,1;19,3;25,1;21,9;20,2;85,1;73;11,1;3,6;
2008-04-02;7,6;1009,1;18,1;26,9;21,9;20;79,8;60;9,3;3,1;
2008-04-03;1,2;1012;15,6;24,2;19,5;16,2;79,5;51;12,9;3,8;
2008-04-04;0;1013,8;14,4;23,9;19,3;16,3;74,8;48;9,9;3,3;
2008-04-05;0;1013,4;13,1;27,3;20,3;14,8;66,5;37;10,7;3;
2008-04-06;0;1011,9;16,2;24,9;21;16,2;74,8;56;8,3;3,4;
2008-04-07;0;1011,3;18,4;27;21,7;16,6;82,5;55;8,3;2,7;
2008-04-08;0;1013,2;19,5;27,1;22,7;18,7;82,6;57;6,9;2,7;
2008-04-09;0;1013;20,3;25,7;22,8;20,4;86,1;72;6,6;3,1;
2008-04-10;,2;1009;19,7;25,6;22,8;21,1;82,9;64;12;3,7;
2008-04-11;,4;1006,5;19,3;30,5;23;18,4;81,8;41;9;2,8;
2008-04-12;,8;1005;18,7;25,9;22,9;20,7;77,6;57;17,3;3,9;
2008-04-13;3;1005,2;19,2;22,2;20,4;20,3;92,9;86;14,8;3,8;
2008-04-14;57,4;1013,7;10,5;18,4;16;13,6;70,6;50;14,9;6,4;
2008-04-15;0;1019,4;7,6;19,4;15,1;10,7;62,8;40;10;3,5;
2008-04-16;0;1018,4;14;22,2;19,2;14,9;72,3;54;11,4;5;
2008-04-17;0;1018,4;17,2;26,5;20,6;15,6;81,6;51;11,6;3,6;
2008-04-18;,2;1019,3;16,2;23,3;19,5;15;82,4;61;6,6;2,4;
2008-04-19;0;1017,3;16,5;23,2;20,3;17,1;79,2;70;9,3;4,6;
2008-04-20;0;1017,2;18,5;24,2;21,4;18,5;84;76;8,4;4,1;
2008-04-21;,2;1017,1;17,6;21,6;20,4;19,6;84,1;70;14;6,5;
2008-04-22;31;1012,7;18,6;24,9;21,1;19;85,6;71;15,8;3,6;
2008-04-23;,2;1010,9;18;23,6;20,3;18;87,3;69;10,5;3,7;
2008-04-24;,2;1009,1;16,3;27,7;20,9;16,2;77,3;44;9,6;2,4;
2008-04-25;0;1006,9;13,8;29;23,3;18,9;56,8;36;12,1;4;
2008-04-26;0;1008,5;17,5;22,1;19,7;16,6;87,8;71;9,5;1,8;
