Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-30;null;null;null;null;null;null;null;null;null;null;
2006-12-01;null;null;null;null;null;null;null;29;5,6;null;
2006-12-02;null;942,6;12,7;29,3;22,8;17,2;54,4;34;15,6;4,1;
2006-12-03;0;941;15,8;30,3;24,3;18,3;60,4;37;11;2,6;
2006-12-04;0;941,1;17,7;28,7;24,1;21,4;67,7;56;11,5;2,8;
2006-12-05;0;942,3;17,4;27,5;21;16,6;80,8;62;10,6;2,4;
2006-12-06;4,8;940,5;17,3;23,6;19;17,5;90,4;70;9,6;2,3;
2006-12-07;,2;940,4;13,4;23,8;18,4;15;74,1;51;9,2;2,7;
2006-12-08;0;938,8;14,3;26,7;19,6;14,6;72,5;52;10,5;3,5;
2006-12-09;0;939,2;17,2;28;21,3;17,5;78,5;51;8,8;2,7;
2006-12-10;0;941,6;16,9;26,6;21;16,4;79,9;34;8,6;1,9;
2006-12-11;0;943,2;15,6;30,3;22,5;16,6;68,4;27;10,3;3;
2006-12-12;0;943;15,5;31;24;18,7;61,5;33;13,5;4,4;
2006-12-13;0;941,9;15,5;29,7;23,4;18,4;62,8;36;11;3,8;
2006-12-14;0;940;17,2;33,7;26,1;20,4;60,9;30;12,6;3,5;
2006-12-15;4,8;940,7;19,9;33,3;26,1;21,1;71,1;37;9,4;2,9;
2006-12-16;0;941;19,1;34,5;26,8;21,8;66,4;23;9;2,8;
2006-12-17;0;939,9;18,8;34,9;27,4;22;64;25;9,5;2,9;
2006-12-18;0;939,5;20;32,1;24,9;22,4;76;43;18,2;3,1;
2006-12-19;24,8;938,6;20;28,6;22,4;19,3;86,9;66;12,1;3,1;
2006-12-20;2,4;935,6;19,8;29;22,5;20,3;85,8;68;17,1;4;
2006-12-21;8,8;939,9;18;25,5;20,7;17,9;85,8;61;7,5;1,4;
2006-12-22;0;942,6;17,6;29,2;23,1;17,6;72,7;50;7;1,8;
2006-12-23;0;null;null;30,3;null;19,7;73,5;54;11,6;null;
2006-12-24;null;937,7;19;24,8;21,2;19,1;87,6;69;14,8;2,3;
2006-12-25;null;null;null;null;null;null;null;84;5,4;null;
2006-12-26;null;null;null;null;null;null;60,7;45;8,9;null;
2006-12-27;,2;943,2;14;27,6;20,9;14,8;68,5;34;7;2,4;
2006-12-28;0;945,6;15,9;30,8;23;17,1;66,9;32;10;2,6;
2006-12-29;0;946;18,4;30,9;24,4;20,4;70,6;45;10,3;3,5;
2006-12-30;0;945,5;17,8;31,7;25,4;19,8;64,6;36;9,1;3;
2006-12-31;0;944,7;18,9;32,4;25,5;20,3;68,7;37;7,1;2;
2007-01-01;,4;942,2;17,6;31,5;25,4;19,3;63,9;36;11,6;3,3;
2007-01-02;0;941,1;18,4;32,5;25,3;20,3;67,2;43;13,8;3,7;
2007-01-03;3;940,3;20,5;27,6;24;21,6;80,9;64;9,1;2,9;
2007-01-04;19,8;937,1;20,7;28,9;23,4;20,8;84,9;63;11;2,9;
2007-01-05;6,6;935,5;20,9;28,1;23,5;21,2;85,7;67;10,9;2,9;
2007-01-06;,4;940,3;18;24,9;21,2;19,4;82,9;64;12,3;3;
2007-01-07;,2;944,2;15,3;26,7;20,6;15,6;73,4;52;12,2;2,8;
2007-01-08;0;943,8;15,8;26,5;21,2;17,9;71,7;54;9,8;3,3;
2007-01-09;0;941,4;17,8;31,5;23,8;18,3;71,2;36;9,6;3;
2007-01-10;0;940,2;19;33,8;25,6;20,4;69;28;9,6;3,1;
2007-01-11;0;939,2;20,5;29,9;23,6;23,1;83,8;58;18,4;2,4;
2007-01-12;37;936,6;20,4;25,3;21,9;20;92;70;11,4;2,6;
2007-01-13;6,4;936,2;15,9;28,4;22,1;17,3;73,3;29;7,2;1,4;
2007-01-14;0;939,2;15,1;24,2;18,8;16,8;79,6;47;12,2;2,6;
2007-01-15;0;941,9;12;24,6;18,3;13;70;28;9,6;2,4;
2007-01-16;0;945;10,6;26,4;19,5;12,8;58,5;34;7,9;2,6;
2007-01-17;0;940,4;16,7;24,9;21,1;19;76,1;66;12,5;3,7;
2007-01-18;7;936,7;18,4;25,6;20,5;17,8;88,2;67;9;2,1;
2007-01-19;8;939,2;18,1;29,5;22,1;17,7;80,8;35;5,5;1,6;
2007-01-20;1;940,5;17;24,2;19,2;18,1;87,5;70;15,6;3,1;
2007-01-21;1,2;946,1;14,7;22,8;17,8;15,5;82,5;65;10,7;2,9;
2007-01-22;0;943,8;15,6;27,6;20,2;14,6;75,9;52;12,3;3,3;
2007-01-23;0;941,5;17,6;29,6;22,9;18,1;73,3;49;12,2;3,6;
2007-01-24;0;941,4;18,3;31,7;24,6;19,1;69,3;42;11,2;3,2;
2007-01-25;0;940,5;19,4;33,4;25,7;21,8;70,8;32;9,8;2,6;
2007-01-26;14,6;939,3;20;24,6;22,6;20,1;85,2;66;14,5;3;
2007-01-27;22,6;938,5;20,6;29,5;23,8;20,3;83,6;60;7,1;2,4;
2007-01-28;0;939,4;20,6;27,5;23,1;20,9;86,3;67;9,3;2;
2007-01-29;4,4;940,3;18,8;26,2;21,7;19,4;84,8;61;10,2;2,3;
2007-01-30;0;941,9;17,7;27,6;21,9;17,1;78,2;52;12,5;2,1;
2007-01-31;0;941,6;18,8;28,1;22,1;18,6;81,7;60;8,9;2,5;
2007-02-01;0;943,1;16,4;27,9;22,3;17,5;74,3;32;8,7;1,7;
2007-02-02;0;943,6;15;29,4;23,3;17,9;62,8;33;8,9;2,2;
2007-02-03;0;941,7;11,7;30,1;23,7;16,8;50,8;21;9,9;2,7;
2007-02-04;0;939,6;15,9;30,6;23,3;18,2;64,5;44;13,5;3,7;
2007-02-05;,6;937,9;18,4;26;21,3;19,8;84;61;19,5;4,4;
2007-02-06;31,8;935,7;18,3;29,8;23,2;17;75,5;50;16,1;4,6;
2007-02-07;0;940,5;17,6;27,2;23,1;19,3;72,6;51;9,1;2,7;
2007-02-08;0;946,5;16,6;28;22,2;17,8;73;38;10,3;2,9;
2007-02-09;0;947;15,1;28,4;22,1;17,3;65,7;43;9,6;3,8;
2007-02-10;0;944,6;18,7;30,2;23,3;19,3;76;56;9,9;3,3;
2007-02-11;,6;945,7;15,9;24;20,1;17,9;78;52;12,1;3,4;
2007-02-12;0;945,1;13,5;26,3;18,8;13,7;73,4;42;9,7;2,6;
2007-02-13;0;942,5;13,5;28,4;20,8;15,6;65,3;33;11,8;3,9;
2007-02-14;0;941,1;16,1;26,3;null;18,7;73,2;54;11,9;2,9;
2007-02-15;null;null;null;null;null;null;56;35;8,8;null;
2007-02-16;null;null;null;null;null;null;52,8;33;9,7;null;
2007-02-17;null;null;null;null;null;null;null;50;13,1;null;
2007-02-18;null;null;null;null;null;null;null;71;6,3;null;
2007-02-19;null;null;null;null;null;null;null;82;7,8;null;
2007-02-20;null;null;null;null;null;null;null;88;6,1;null;
2007-02-21;null;null;null;null;null;null;null;63;9,2;null;
2007-02-22;null;null;null;null;null;null;null;71;13,1;null;
2007-02-23;null;null;null;null;null;null;null;76;19;null;
2007-02-24;null;null;null;null;null;null;null;86;6,5;null;
2007-02-25;null;null;null;null;null;null;78;49;6,6;null;
2007-02-26;null;null;null;null;null;null;60,4;38;11,1;null;
2007-02-27;null;null;null;null;null;null;60,9;43;10,3;null;
2007-02-28;null;null;null;null;null;null;63,7;47;9,7;null;
2007-03-01;0;939,6;19,2;31;24,5;20,2;73,6;52;11,2;4,2;
2007-03-02;,2;943;19,7;28,8;22,3;19;86;63;10,6;3,2;
2007-03-03;36,2;946,5;19,7;26,3;21,6;19,2;88,9;71;8,7;2,3;
2007-03-04;,2;944,5;19,6;29,9;23,9;20,6;78,2;57;10,5;3,4;
2007-03-05;0;944,1;20,1;27,3;22,8;21,8;85;59;9,5;1,9;
2007-03-06;5,4;945,9;19,7;30,8;23,9;19,9;79,2;49;6,5;2,6;
2007-03-07;1;946,9;20,1;30,6;23,3;19,3;83,1;58;17,1;2,7;
2007-03-08;22,2;942,4;18,7;30,5;24,1;19,1;74;45;10;3,5;
2007-03-09;0;940,2;18,4;26,7;21,6;20,2;82,8;59;7,5;2,7;
2007-03-10;2,4;942,1;17,9;19,8;null;17,3;95,5;90;5,9;1,2;
2007-03-11;null;943,7;16,5;25,1;19,6;15,1;83,8;62;5,7;1,3;
2007-03-12;0;943,4;18,2;28,7;21,2;17,2;83,7;56;9,5;2,9;
2007-03-13;1,4;943,9;19,1;27,7;22,3;18,7;82,9;62;8,1;2,4;
2007-03-14;0;942,4;18,1;28,7;22;17,1;80,2;48;7,8;1,8;
2007-03-15;0;939,6;19,9;26,3;22,4;20,4;86;73;9,5;2,6;
2007-03-16;,8;942,5;18,6;25,5;21,3;18,9;85,5;62;11,2;2,1;
2007-03-17;1,4;943,1;16,2;19,7;17,4;16,5;92,8;85;9,6;2,3;
2007-03-18;72,6;939,8;17,1;24,3;19,2;15,3;88,3;64;7;1,6;
2007-03-19;2;941,1;16,2;21,1;16,7;14,5;97,1;80;8,4;1,2;
2007-03-20;11,2;941,7;17,5;22,9;18,5;16,3;93,8;77;6,6;1,6;
2007-03-21;5;942,6;18,2;25,3;19,9;17,6;90,7;69;7,3;1,1;
2007-03-22;1;942,8;18,3;28,7;21,9;17,6;80,8;51;7,6;2,4;
2007-03-23;0;944,1;18,2;29,2;23,5;18,9;73,5;45;8,2;2,5;
2007-03-24;0;945,8;18,8;25,7;22,1;19,9;82,4;57;8,1;2,1;
2007-03-25;0;944,8;19,5;27,5;21,9;18,8;87,2;66;6,2;2;
2007-03-26;,4;943,3;19,7;29,1;22,9;19,8;83,7;50;16,1;2,1;
2007-03-27;13,2;942,9;18,9;31,8;24,1;18,3;74,4;49;10,2;2,8;
2007-03-28;0;944,4;20;32,5;25,4;21,2;73,3;43;14,5;3,2;
2007-03-29;17,4;943,6;19,5;31,9;24,5;19,1;75;52;10,1;1,9;
2007-03-30;0;941,4;20,5;32,1;26,2;21,5;72,1;48;9,7;2,4;
2007-03-31;1,2;941,9;20;27,9;23,5;21,2;81;62;8,4;2,3;
2007-04-01;6;944,3;19,7;25,2;21,4;19,9;90,2;76;7,9;2;
2007-04-02;0;943,3;19,5;29,3;22,8;19,4;82,5;59;11,2;2,6;
2007-04-03;5,2;942,8;19,4;25,5;20,8;19,5;91,6;76;11,6;2,3;
2007-04-04;11,8;944,1;18;24,2;20,1;18,4;88,3;63;7,6;1,5;
2007-04-05;,2;946,2;15,2;24,8;18,7;14,7;81,7;43;8,4;2,4;
2007-04-06;0;946;14,7;25,2;19,6;15,5;74,3;50;9,5;3,2;
2007-04-07;0;943;16,4;24;20,5;18,2;77,9;65;13,2;3,6;
2007-04-08;8,8;940,4;16,7;22,7;18,6;16,7;89,6;60;8,7;3;
2007-04-09;7,4;942,7;15;20,6;16,7;15,1;90,1;70;8,7;2,6;
2007-04-10;,4;943,1;13,8;24,6;17,6;12,1;80,5;51;6,9;2,2;
2007-04-11;0;943,4;15,4;26,7;20,4;14,3;74,6;51;13,9;3,6;
2007-04-12;,2;945,9;16,2;22,7;18,5;16,9;87;62;6,5;1,7;
2007-04-13;5,2;948;14,8;23,6;17,2;13,3;86,5;62;7,5;2,5;
2007-04-14;0;946,2;16,3;23,4;19,1;15,6;83,9;68;13,1;4,3;
2007-04-15;4,4;946,3;18,2;26,7;21,5;18,4;81,8;63;10,9;2,4;
2007-04-16;0;947,4;19;26,7;20,9;18,2;89;64;7,5;1,7;
2007-04-17;,2;945,3;18,4;28,8;21,9;17,1;82,3;45;9,1;2,2;
2007-04-18;0;945,5;18;28,4;22,3;17,2;78;47;8,2;2,8;
2007-04-19;0;946,5;16,5;27,6;22,2;17,2;71,8;49;9,4;3,6;
2007-04-20;0;947,1;16,9;28,7;22,4;17,7;72,5;43;11,3;2,8;
2007-04-21;0;945,9;16,2;29;23;17,9;67,6;37;8,1;2,5;
2007-04-22;0;945;15,6;29,1;23;18;65,1;36;7,8;2,6;
2007-04-23;0;943,5;15,3;27,6;22;16,5;67,3;46;8,6;2,9;
2007-04-24;0;941,7;17,4;25,7;20,6;18,8;82,5;50;11,2;2,6;
2007-04-25;3;939,7;17,5;21,5;19,2;17,8;90,1;81;7,5;2;
2007-04-26;3,2;939,7;14,5;18,8;15,1;13,9;95,8;90;9,5;2,7;
2007-04-27;1,2;950;7,4;14,8;10,6;6,6;81,4;55;8,5;2,6;
2007-04-28;0;953;8,6;20;null;7,2;80,3;53;10,9;2,6;
2007-04-29;null;949,7;10,9;22,3;16;11,5;73,8;38;10,4;3,3;
2007-04-30;0;946,7;11,4;23;16,3;10,2;75,3;37;6,8;2,4;
2007-05-01;0;944,3;13,2;25,5;18,1;11,3;74;53;8,7;3,4;
2007-05-02;25;944,5;16,6;22,2;18;14,1;91,8;67;15,9;1,8;
2007-05-03;16;947,9;16,5;21;17,7;16;92,6;82;8,3;1,6;
2007-05-04;,2;946;15,4;24,9;19,8;15,9;76,3;61;12,1;4,7;
2007-05-05;0;944,1;16;26,3;20,5;16;75,9;56;12,4;3,1;
2007-05-06;0;939,9;16;25,8;21,3;17,8;72,9;51;11,7;3,8;
2007-05-07;36,4;941,9;13,7;19,4;14,3;13,7;96,1;87;9,1;2,2;
2007-05-08;6,2;947,1;5,6;11,2;8,3;6,7;83,6;59;8,2;2,7;
2007-05-09;0;954;4,3;9,9;6,2;2,7;87,6;76;7,5;2,2;
2007-05-10;,2;953,7;8,2;17,7;11,7;4,4;81;51;11,4;2,1;
2007-05-11;0;950;10,3;20,4;15,1;9,9;73,5;52;11,7;2,9;
2007-05-12;0;949,9;11,2;19,5;14;9,9;83,9;62;7,3;2,3;
2007-05-13;0;947,3;9,4;12,9;10;8,5;96,2;90;14,7;2,6;
2007-05-14;34,2;946,3;11,1;14,8;11,8;9,2;95,9;86;6,5;1,5;
2007-05-15;0;945;11,8;20,7;15,5;10,4;79,8;62;12,2;4;
2007-05-16;13,2;940,2;13,9;18,5;15,2;14;92,7;69;12,8;3,3;
2007-05-17;37,2;945;9,1;11,7;10,7;10,3;90;81;7,2;2,1;
2007-05-18;0;947,2;8,7;11,5;9,9;8,9;92,3;86;8,2;2,7;
2007-05-19;0;949;8,3;17,5;10,9;6,5;85,6;61;7,2;1,9;
2007-05-20;0;946,1;12,1;21,2;15,2;9,1;82,5;65;11;4,4;
2007-05-21;,2;940,4;13,8;20,7;16,7;14,7;82,9;72;13,6;4,3;
2007-05-22;0;938,3;14,5;20;16,4;14,9;89;71;9,7;1,8;
2007-05-23;5,8;940,7;9;15,3;10,6;9,3;90;65;13,3;3,2;
2007-05-24;,4;948,5;3,8;10,4;6,2;3,5;84,8;66;8,5;2,4;
2007-05-25;,2;949,1;4,4;16,6;8;1,5;80,5;46;6,9;2;
2007-05-26;0;945,5;7;18,2;11,3;3,5;76;46;7,1;2,5;
2007-05-27;0;944,1;8;17;11,6;7,4;79,6;51;6,1;1,5;
2007-05-28;0;945,9;7;11,5;8,5;8,1;90,6;75;7;1,9;
2007-05-29;,2;950;-,4;8,2;3,2;-,8;78,6;50;10,3;3,3;
2007-05-30;,2;953,3;4,9;10,5;5,6;,6;95,1;80;7,5;1,9;
2007-05-31;,2;948,7;6,1;16,7;10,1;3,5;77,2;55;11,3;3,9;
2007-06-01;0;942,1;10,1;13,9;12,2;6,8;87,2;68;8,3;3;
2007-06-02;7,2;944,3;6,1;12;8,3;5,4;87,4;59;7,9;2,2;
2007-06-03;0;945,5;3,2;14,4;8,7;4,9;69,8;41;11;3,2;
2007-06-04;0;947,6;3,2;16,4;10,2;4,9;62,9;39;5,7;1,9;
2007-06-05;0;947,3;3,9;17,6;11;4,9;64,3;34;6,3;2,3;
2007-06-06;0;944,9;5,2;20,4;12,7;6,9;61,7;35;7,8;2,6;
2007-06-07;0;943,5;9,7;21;15,4;8,7;69,1;53;6,4;2,3;
2007-06-08;,2;945;12,8;20,1;14,9;9,7;87,9;75;7,3;2,4;
2007-06-09;1;942,3;16;21,2;18,6;11,7;85,4;71;11,1;4,1;
2007-06-10;13,4;942,4;15,6;21,7;18,4;15,4;83,9;68;13,7;2,8;
2007-06-11;1;941,8;14,5;23,3;19,7;15,6;72,7;60;12,1;4,5;
2007-06-12;0;942,7;14;21,8;19,6;16,6;70,2;61;8,8;3,2;
2007-06-13;0;939,8;13,9;23,2;19,5;16,6;70,1;56;10,5;3,9;
2007-06-14;0;939,8;13,7;22,4;20,6;17,5;64,8;57;9,9;2,9;
2007-06-15;,2;937,9;13,1;20,7;17,5;17,9;76,7;59;17,3;5,1;
2007-06-16;10,2;948;4,3;10,9;7;3,9;83,6;63;14,3;2,6;
2007-06-17;0;945,4;7,8;14,8;10,3;4,8;84,4;72;8,3;2,3;
2007-06-18;0;947,7;9,8;15,5;11,7;7,6;88,3;65;6,4;1,4;
2007-06-19;null;null;null;null;null;null;69,6;61;11,2;null;
2007-06-20;0;945;14,4;25,5;20,7;15,2;67,8;51;10,3;4,4;
2007-06-21;0;946,2;13,6;25;20,6;17,2;64,6;52;12,3;4,2;
2007-06-22;0;943,3;13,7;22,5;19,4;16,5;69,8;57;9,8;3,8;
2007-06-23;0;940;12,3;21,5;17,6;17,3;72,2;54;14;4,2;
2007-06-24;10,8;949,2;6,5;11,3;8,9;7,8;85,8;61;9,4;1,9;
2007-06-25;0;952,9;-,9;10,1;5,2;1,2;65,3;41;4,4;1,4;
2007-06-26;5,6;948,3;11,1;14,5;12;3,5;94;76;8,6;2,8;
2007-06-27;6,6;946,3;11;14,6;11,3;10,5;97,8;92;8,1;2,5;
2007-06-28;1;null;null;9,3;null;7,3;99,8;100;3;null;
2007-06-29;null;null;null;null;null;null;null;78;3,6;null;
2007-06-30;null;null;null;null;null;null;null;68;4,8;null;
2007-07-01;null;null;null;null;null;null;84,9;65;3,9;null;
2007-07-02;null;null;null;17,9;null;null;79,9;44;5,7;null;
2007-07-03;,2;946,9;10;20,4;13,8;5,8;79,3;57;7,7;2,6;
2007-07-04;0;944,6;10,5;23,9;17,5;10,8;64,4;46;8,6;3,6;
2007-07-05;0;943,5;10,7;24,9;19,4;15,2;58,1;37;11,9;5;
2007-07-06;0;941,2;11,1;22,1;20,3;16,4;56,3;44;14;5,1;
2007-07-07;,2;940,1;13,4;20,2;18,5;17,1;72,8;58;8,4;3,3;
2007-07-08;37;943,1;10,7;20,1;11,7;9,7;94,4;64;10,8;2,8;
2007-07-09;9,4;945,3;10,9;12,8;11,3;9,6;97,8;94;9;2,1;
2007-07-10;84,4;null;null;null;null;11,2;99,8;99;8,1;null;
2007-07-11;null;null;null;null;null;null;81,5;63;5,3;null;
2007-07-12;null;null;null;null;null;null;84,3;73;8,3;null;
2007-07-13;3,4;945,2;10,6;17,6;12;,7;91,5;75;7,5;2;
2007-07-14;8,4;942,4;13,1;18,2;14,4;10,6;92,5;70;13,7;2,6;
2007-07-15;,2;945,7;4,4;12;7,7;3,8;81,4;49;7,9;1,5;
2007-07-16;0;944,6;3,8;16,6;7,7;,4;77,6;50;6,5;1,7;
2007-07-17;0;941,2;10,3;15,8;11,3;3,2;93,7;81;9,2;2,5;
2007-07-18;27,2;942;8,7;10,8;9,4;8,4;95,8;82;8,3;2,3;
2007-07-19;,6;944,9;6,7;15;9,2;5,4;86,6;42;7;1,8;
2007-07-20;0;943,7;7,2;18,4;12,6;6;69,8;54;11,7;3,1;
2007-07-21;0;942,4;8,8;18,3;13,1;7,8;76,3;53;10;2,7;
2007-07-22;44,4;934,6;13,1;14,9;13,6;10,3;96,9;92;11,8;3;
2007-07-23;34,4;940,5;2;14,6;7,5;3,2;70,8;36;13,9;3,9;
2007-07-24;0;943;0;14,9;7,2;1,2;62,7;34;7;2,4;
2007-07-25;,2;942,5;3;11,7;6,9;4,5;77,4;49;11,6;2,5;
2007-07-26;0;948,9;,1;13,1;6,5;2,2;64,8;43;10,3;3,3;
2007-07-27;0;951,4;3,3;15,5;8,4;3,6;71,8;48;10,5;2,7;
2007-07-28;0;957,9;,2;7,7;4,5;2,6;75;47;9,5;2,6;
2007-07-29;0;957,3;1;13,2;4,4;-,8;79,7;52;7;2,1;
2007-07-30;0;951,9;4,2;16,1;9,8;,9;69,2;46;12,7;3,9;
2007-07-31;0;947,6;7,3;18,5;12;7;74,6;51;9,5;2,7;
2007-08-01;0;945,3;9,5;21,1;14,2;8,7;74,2;54;8,5;3;
2007-08-02;8;948,2;10,3;18,9;11,4;9,3;93,3;65;10;2;
2007-08-03;19;946,8;13,3;20,5;15;9,2;90,3;72;9,8;2,8;
2007-08-04;,2;948,6;9,9;17,6;10,4;10,3;96,3;88;8,9;2,6;
2007-08-05;3,8;949,8;4,5;15,6;7,4;2,3;83,3;49;7,2;2;
2007-08-06;,2;943,2;10;20,1;14,1;4,8;77,6;60;12,9;5,1;
2007-08-07;26,2;944,2;6,8;16,3;9,9;6,5;82,5;58;15,2;3,6;
2007-08-08;0;946,4;5,1;20,7;10,9;3;70,8;42;10,6;3,4;
2007-08-09;0;945,1;11,8;25,8;18,4;6,8;67,4;41;15,3;6;
2007-08-10;0;943,5;12,1;22,4;17,9;16,3;70,5;51;15,4;5,5;
2007-08-11;1;952,5;4,3;14,6;7,9;3,2;80,1;43;9,8;1,5;
2007-08-12;0;950,1;9;21,3;12,9;4,6;78;63;11,3;3,8;
2007-08-13;0;947;12;25;17,7;9,2;70,7;50;16,8;5,9;
2007-08-14;0;945,2;13,5;24;19,3;15,2;70,1;54;12,5;5,4;
2007-08-15;0;945,3;12;28,2;22;16,9;55,2;32;13,1;5,2;
2007-08-16;0;950,2;11;23,8;13,4;11;87,3;45;12,4;2,8;
2007-08-17;,2;951,2;9,3;12,8;9,9;9;96,2;86;10;3,1;
2007-08-18;0;949,1;9;10,8;9,6;8,4;95,8;90;8,4;2,3;
2007-08-19;0;946,1;11,4;22,8;14,3;9;84,1;56;12,5;3,9;
2007-08-20;6,4;948,7;6,7;13,2;8,1;5,7;90,9;75;13,9;4,2;
2007-08-21;,2;950,7;4,8;15,7;7,9;3,1;83,1;33;6,5;1,7;
2007-08-22;0;946,8;7,6;22,2;13;3,7;72,1;46;9,6;2,8;
2007-08-23;0;941,8;11,2;28,7;21,3;10,4;54,6;31;11,2;4,4;
2007-08-24;0;939,5;10,6;24,5;16,9;17,5;69,5;40;13,6;4,5;
2007-08-25;1;939,1;10,9;13,8;11,9;10,4;93,2;86;14,7;4,5;
2007-08-26;54;937,8;13;15;13,6;10,9;96,5;89;10,8;4,1;
2007-08-27;3,2;944,8;5,4;12,6;9,1;7,5;79;48;11,3;3,8;
2007-08-28;0;949,4;3,9;16,6;7,5;1,6;81;29;6,8;2;
2007-08-29;,2;953;4,2;13,8;9,2;3,5;73,1;45;11,4;2,5;
2007-08-30;0;954,4;8,5;17,8;12,2;8;79;64;9,7;3,3;
2007-08-31;0;950,1;11,3;16,5;13,6;11,3;86;72;9,7;2,6;
2007-09-01;0;949,3;12,1;18,3;13,8;11,6;90,3;65;6;1,3;
2007-09-02;11,4;948,7;13;20;14,9;11,7;89,2;70;13,4;2,2;
2007-09-03;0;947,1;13,8;28,1;19,8;13,5;71,8;41;8,8;2,9;
2007-09-04;0;947,3;15,1;28,7;22,7;16,7;63,6;44;11,6;4,1;
2007-09-05;0;949,1;15,6;30,6;23,4;18,9;64;33;10,5;3,9;
2007-09-06;0;950;16,8;25,6;20,6;16,5;79,4;57;8;2,3;
2007-09-07;0;948,5;16,4;28,3;21,5;17,2;74,2;41;9,4;2,6;
2007-09-08;0;946,9;14,2;29,7;23,7;19,2;57,1;27;10,3;3,1;
2007-09-09;0;945,9;11,1;30;23,6;17,9;46,3;29;11,2;3,3;
2007-09-10;0;945,4;9,1;29,5;21,9;14,7;45,6;27;10,4;3;
2007-09-11;0;945,7;12,7;29,2;21,3;14,5;60,4;33;11,3;3;
2007-09-12;0;947;14;27,7;21,4;15,6;64,2;41;8,6;2,6;
2007-09-13;0;944,9;11,2;27,3;21,1;15,3;54,9;33;11,9;3,2;
2007-09-14;0;943,7;13,1;30,2;21,2;15,7;61,8;31;11,8;3,9;
2007-09-15;0;944,9;15,7;26,3;19,9;16,3;77,8;53;8,7;2,1;
2007-09-16;0;946,3;15,4;19,3;16,7;15,7;92,7;76;7,7;1,9;
2007-09-17;,4;948,5;12,5;21,2;16,6;14,2;77,6;56;12,2;3,7;
2007-09-18;3,2;943,6;12,9;16,1;14,5;13,4;90,4;72;17;5;
2007-09-19;27,6;943,7;13,1;22,6;17,3;13,6;78,6;45;14,2;3;
2007-09-20;0;942,5;13,3;16,9;14,2;11,8;94,7;83;11;2,3;
2007-09-21;41,4;941,7;15,8;20;17;12,1;92,8;73;12;3,3;
