Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2007-03-01
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-03-01;null;null;null;null;null;null;null;null;null;null;
2007-03-02;null;920,3;18,9;28,4;21,3;null;86,9;59;17,2;2,9;
2007-03-03;46;922,9;18,5;27,3;21,2;17,8;86,2;54;11;3,1;
2007-03-04;0;922,1;18;28,8;23;19,2;75,2;51;10,4;3,5;
2007-03-05;0;921,8;19,1;29;22,7;19,6;81,2;51;10,4;2,7;
2007-03-06;,6;923,3;17,9;30,3;22,9;18,8;75,2;42;22,6;2,8;
2007-03-07;31,6;924,1;18,2;29,8;22,2;17,2;80,1;46;22,6;2,8;
2007-03-08;0;920,4;17,4;29,3;22,8;18,2;73,7;48;12,1;3,3;
2007-03-09;0;917,7;17,6;27,7;21,1;19,4;80,6;62;14,5;3,3;
2007-03-10;11;919;16,8;22,6;18,4;15,9;90,7;75;9,6;2,4;
2007-03-11;9,6;920,2;17,1;26,3;20,1;16,6;84,3;55;6;2,2;
2007-03-12;0;920,4;18;26,9;20,7;16,3;85,3;64;10,7;3,1;
2007-03-13;86,6;921;17,9;26,5;20,6;16,8;85,2;62;15,2;2,7;
2007-03-14;0;919,5;16,2;28,2;20,5;14,4;79;49;6,5;1,9;
2007-03-15;0;917,5;18,8;25;21,1;18,2;86,5;66;9,3;2,6;
2007-03-16;2;919,1;18;25,8;21,2;18,6;83,1;60;9,7;3,1;
2007-03-17;2;919,1;15,8;20,1;16,7;15,5;94,3;79;11,8;4,3;
2007-03-18;34,4;916,7;15,3;23,1;18,6;15,9;82,5;53;11,9;2,8;
2007-03-19;1,8;918;14,1;22,6;16;11,4;88,9;55;10,4;2,2;
2007-03-20;1,6;918,5;16,1;21,7;17,5;13,9;92;71;10;2,6;
2007-03-21;5,2;919,2;16,3;25;19,7;16,4;82,6;55;7,3;2,8;
2007-03-22;0;919,7;16,6;27,6;21,2;16,6;76,9;48;8;2,6;
2007-03-23;0;921,5;15,7;28,2;22,4;17,7;69,4;36;8,9;2,8;
2007-03-24;0;922,6;16,7;28,7;22,1;17,6;72,8;41;7,8;2,4;
2007-03-25;0;921,7;18,2;28;20,9;18;86;56;8,9;3,1;
2007-03-26;15;920,5;17,5;29,8;21,5;16,7;80,1;47;12,3;2,5;
2007-03-27;1,8;920,7;17,7;30,3;23,3;17,4;73,9;39;10;3,2;
2007-03-28;0;921,9;17,7;31,7;25,3;19,9;65,9;35;8,7;2,4;
2007-03-29;0;921,1;17,7;31,6;24,4;19;68;40;9,2;2,8;
2007-03-30;0;919,3;16,9;31,6;24,9;18,5;65,3;33;7,6;2,7;
2007-03-31;4;919,4;17,2;30,2;22,3;18,4;75,2;43;9,8;2,4;
2007-04-01;3,4;921;18;28,1;21,1;17,4;84,2;52;8,4;2,3;
2007-04-02;0;920,8;18,2;29,2;22,1;18,4;80;48;11,5;2,6;
2007-04-03;0;920,2;18,2;28,7;20,8;18,6;86,3;51;14,7;2,7;
2007-04-04;5,4;920,7;16,8;25,1;19,7;15,4;84,5;61;8,1;2,9;
2007-04-05;0;922,3;16,3;24,8;19,1;15,7;84;66;7,9;3,1;
2007-04-06;3;922,7;15;21,3;17,7;14,4;84,6;69;9,8;4;
2007-04-07;0;920,4;15,5;23,7;18,8;16,3;81,3;60;13;3,8;
2007-04-08;13;917,7;14,9;21,3;17,7;15,8;84,5;59;13;3,7;
2007-04-09;1,4;919,1;13,9;20,7;16,6;14,3;85;59;10,2;3,9;
2007-04-10;,2;919,8;12,3;25,3;17;10,7;77,1;41;9,4;2,8;
2007-04-11;0;920,9;13,6;25,6;19,1;14,2;72,7;41;9,5;3,3;
2007-04-12;10;923,2;15,6;19,9;17,2;15,6;90,4;67;10,1;2,4;
2007-04-13;1,2;924,4;15,1;22,4;17,6;14;86;65;9,7;3,6;
2007-04-14;0;923,5;15,3;21,6;17,9;14,3;85;71;11,7;4,3;
2007-04-15;19,8;923,5;17,1;26,5;20,1;16,2;84;56;21;3,4;
2007-04-16;5,2;924;18;27,9;20,5;15,9;87,4;52;7,7;2,4;
