Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2007-12-13
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-12-13;null;null;null;null;null;null;null;null;null;null;
2007-12-14;null;955,6;14,9;30,6;23,6;null;59;35;7,9;1,7;
2007-12-15;0;954,2;15,5;32,2;24,2;16,8;61,7;31;7,6;1,1;
2007-12-16;0;953,9;16,3;31,9;24,6;20,6;61,5;34;11,6;2,9;
2007-12-17;,8;955,2;17,2;31,5;23,7;17,7;69,4;39;10,4;3,1;
2007-12-18;0;955,5;17,8;28,6;22,4;20;75,9;56;12,6;2;
2007-12-19;1,4;954,2;14,8;28,8;21,6;15,4;71,1;23;8,5;1,6;
2007-12-20;0;953,5;12,4;30,3;23,2;17,4;53,2;27;6,9;1,9;
2007-12-21;0;954;12,3;31,7;24,4;17,8;49,2;26;9;2;
2007-12-22;0;955,5;15,7;32;24,1;16,8;63,4;28;14,2;1,3;
2007-12-23;2;954,9;15,2;34;25,5;18,5;56,2;24;7;1,8;
2007-12-24;1,4;955,8;17,2;30,6;24,3;19,8;66,2;32;12,4;2,4;
2007-12-25;11,6;955;18,3;29,3;22,2;18;80,3;52;9;1,9;
2007-12-26;0;954,6;18,3;31,9;24,3;19;71,6;42;19,1;2,4;
2007-12-27;,2;954,8;18,7;30,1;23,7;18,4;75,2;49;19,1;1,7;
2007-12-28;37;954,7;20,5;30,4;23,3;19,7;85,7;56;13,6;2;
2007-12-29;20,6;955;21,1;27;22,7;20,1;91;71;7,4;1,3;
2007-12-30;76,4;954,5;19,3;22,4;20,2;18,7;94,5;88;9,1;1,8;
2007-12-31;10,6;955,1;18,5;29,8;23,1;16,7;77,8;45;6,6;1,3;
2008-01-01;0;955,5;19,1;32,4;25,1;17,5;71,9;40;5,1;1;
2008-01-02;0;955,1;19,4;31,9;25,1;19,3;72,7;43;10,1;2;
2008-01-03;,8;955,8;20,2;30,9;23,5;19,9;82,8;58;9,6;2,1;
2008-01-04;15,4;957,2;20,6;30,2;23,6;19,7;84,8;57;9,6;1,4;
2008-01-05;0;957,6;18,3;28,8;23,5;19,2;75;41;7,7;2,9;
2008-01-06;0;956;16,5;30,1;23,8;18,3;66,7;34;6,1;2,2;
2008-01-07;0;954,7;16,3;31,3;24,1;17,6;64,1;32;6,6;2;
2008-01-08;0;953,8;14,2;31,8;24,6;15,3;56;26;6,6;1,5;
2008-01-09;0;952,4;14,5;32,6;24,7;16,3;58,5;21;5,2;1,2;
2008-01-10;0;950,5;16,9;33,3;25,6;18,5;60;35;9,1;1,5;
2008-01-11;0;952,8;20,2;29;24,1;19,8;79,3;55;10,6;2,2;
2008-01-12;2,2;956,3;18,7;28,7;23,2;19,7;76,6;56;10;4;
2008-01-13;0;957,1;18,5;30,8;24,7;19,2;69,9;45;9,7;2,5;
2008-01-14;0;958,4;18,1;32;25,5;19,6;65,1;41;8,2;2,3;
2008-01-15;0;956;17;31,7;25,6;20,2;61;38;10,2;2;
2008-01-16;0;952,6;18,8;31,3;25,3;19,5;68,5;43;13;2;
2008-01-17;0;951,7;20;32,1;25,8;21,1;73,3;43;8,2;1,1;
2008-01-18;0;951,3;21,2;30,8;25,8;21,1;76,3;56;9,6;2,3;
2008-01-19;9;951,8;19,5;25;21,3;19,9;89,8;72;11,6;2,5;
2008-01-20;,6;955,7;15,3;26,9;21;17,1;71,6;46;10,9;4,3;
2008-01-21;0;956,9;14,9;28;21,7;15,2;66,5;46;10,1;3,9;
2008-01-22;0;957,9;14,8;29,1;22,8;17,3;62,7;36;9,9;2,6;
2008-01-23;0;959,1;14,6;29,5;22,9;16,5;61,1;38;10;2,7;
2008-01-24;0;959,6;15,2;29,4;23,3;17,9;61,7;40;11,8;3;
2008-01-25;0;958,3;16,6;30;23,8;19;65,6;46;7,8;2,4;
2008-01-26;0;957,7;16,9;27,4;22,8;18,3;70,7;53;8;2,7;
2008-01-27;0;957,8;15,2;27,2;22,3;18,8;64,7;47;9,4;3,2;
2008-01-28;0;957,2;15;28,9;22,5;18,5;62,9;43;9,5;2,8;
2008-01-29;0;954,7;16,1;30,7;24,1;19;62;39;8,5;2,1;
2008-01-30;,6;951,6;18,1;26;21,5;19,7;81,7;55;14,7;2,1;
2008-01-31;7;949,6;17;29,4;21;15,7;80,3;41;12,5;1,8;
2008-02-01;,2;949,5;17,3;29,9;21,8;16,7;77,9;44;8,5;1,3;
2008-02-02;0;950,8;17,7;28;21;15,6;82,7;53;10,5;1,4;
2008-02-03;9,4;955,5;16,4;28,7;21,9;15,4;73,5;47;9,8;2,1;
2008-02-04;0;958,3;11,2;27,3;20,2;13,4;60;30;8,8;3,2;
2008-02-05;0;958,2;12,7;31,8;22,6;14,7;56,4;29;7;2,2;
2008-02-06;0;958,1;11,2;33,5;25,3;18,3;46,1;13;9,1;2,5;
2008-02-07;0;957,4;13,2;32,8;25,5;19,5;48,9;25;7,9;2;
2008-02-08;0;956,6;15,3;33,9;25,5;19,8;55,1;28;8,2;1,5;
2008-02-09;0;953,9;18,3;27,2;23,1;21,1;74,8;51;9,9;2,2;
2008-02-10;7,6;952,6;20,3;25,2;22;20,3;90,2;74;7,4;1,3;
2008-02-11;9;954,9;18,9;27,7;21,6;19,7;86,3;52;10,8;2,2;
2008-02-12;4,2;956,3;15,8;28;20,6;14,8;77;33;8,4;1,8;
2008-02-13;0;956,8;14,9;29,5;21,9;14,1;68,2;34;7,3;1,2;
2008-02-14;0;957,2;13,5;31,3;24;17,8;55,6;29;9,9;1,7;
2008-02-15;0;956,9;16,8;31,9;24,4;18,3;63,9;43;9,5;1,4;
2008-02-16;,4;956,1;18,8;29;23,3;18;77,8;49;7,8;1,7;
2008-02-17;0;956,2;18,5;33,5;24,9;18,3;70,8;34;7,2;,9;
2008-02-18;0;957,7;17,8;32,7;25,2;17,9;66,8;38;6,6;1,9;
