Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2008-02-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-25;null;null;null;null;null;null;null;null;null;null;
2008-02-26;null;null;null;null;null;null;null;null;null;null;
2008-02-27;null;null;null;null;null;null;null;null;null;null;
2008-02-28;null;null;null;null;null;null;67;56;12,2;null;
2008-02-29;28,8;934,5;19;26,2;21;17,9;89,3;64;11,8;3,2;
2008-03-01;null;null;null;null;null;17,9;null;51;null;null;
2008-03-02;null;null;null;null;null;17;null;71;null;null;
2008-03-03;null;null;null;25,1;null;18,7;null;65;10;null;
2008-03-04;0;940,4;16,9;23,9;19,3;16,5;86,7;67;11,5;2,5;
2008-03-05;,2;941;14,9;26,1;20,5;16,2;73,1;42;8,7;1,5;
2008-03-06;0;941,1;13,7;27,5;21,9;17,2;60,6;41;7,5;1,3;
2008-03-07;0;942,8;14,7;29,7;23,2;18,4;60,5;31;5,8;1,6;
2008-03-08;0;943,4;15,3;31,7;24,2;18,1;59,8;32;8,9;2,2;
2008-03-09;0;944,4;18,3;30,2;24;19,5;72,2;43;14,3;1,9;
2008-03-10;22,2;943,1;19,1;25,6;21,1;18,2;88,2;70;7,9;2;
2008-03-11;,2;941,2;19,1;25,6;21,1;18,1;88,6;72;7,8;2,1;
2008-03-12;0;942,1;17,5;26,5;20,3;16,9;85;64;8,6;2,3;
2008-03-13;0;943,8;14,8;25,4;18,9;14,4;79,5;46;10,1;2,4;
2008-03-14;0;945,4;13,2;24,5;17,8;12,8;76;46;9;2,2;
2008-03-15;0;946,4;13,5;24,3;18,6;13,4;73,6;51;8,9;1,7;
2008-03-16;0;947,6;13,6;27,5;20,3;13,8;68,2;39;9,3;1,7;
2008-03-17;0;947,3;13,3;28,6;21,2;15,2;63,2;33;8,3;2,1;
2008-03-18;0;946,8;14,3;29,8;21,8;15,5;63,4;40;7,8;1,9;
2008-03-19;0;944,6;17,1;28,6;22,8;18,2;72,4;43;10,1;3,9;
2008-03-20;0;945;17,2;28,4;23,2;19,9;70,1;46;10,7;3,3;
2008-03-21;0;944,1;16,9;29,7;23,6;18,1;68,2;40;7,1;1,8;
2008-03-22;0;943,1;17,4;28,6;22,9;18,5;72,4;53;11,3;3;
2008-03-23;0;944,6;17;27,7;21;16,4;79,8;50;9;2,3;
2008-03-24;,2;945,3;16,6;29,5;21,4;15,9;76,5;41;9,2;2,3;
2008-03-25;0;945,6;16,3;29,7;22,5;17;71,4;37;10,8;2,9;
2008-03-26;0;943,9;16,7;30,4;23,2;18,6;68,5;40;12,5;3,3;
2008-03-27;6,8;941,5;16,3;29,9;22,9;19,1;68,4;38;10,9;2,9;
2008-03-28;,8;941,8;16,6;28,4;21,1;17,6;76,6;47;8,5;2,2;
2008-03-29;3,8;944,7;15;27,3;20,4;15,5;73,6;41;9,5;2,4;
2008-03-30;0;944,1;14,9;28,4;20,4;13,7;73;46;8,6;2,3;
2008-03-31;2,4;943;16,3;23,5;18,3;16,9;88,4;64;9,5;3,3;
2008-04-01;8,2;941,3;16;27,1;20,7;16,8;76,4;47;9,9;3,1;
2008-04-02;0;941,3;14,3;27,1;20,8;17,6;68,8;33;10,5;1,8;
2008-04-03;0;943,4;10,5;22,2;16;10,9;71,6;44;7;2,1;
2008-04-04;0;944;9,5;23,8;16,4;11,4;68,2;32;6;1,8;
2008-04-05;0;944;6,5;25,3;17,6;11,1;54,4;20;5,9;1,7;
2008-04-06;0;941,9;10,3;28;20;13,3;56,1;30;9,9;2,6;
2008-04-07;0;942,2;10,6;28,9;23,3;17,9;45,5;30;7,8;1,3;
2008-04-08;0;944,3;10,3;30;24,1;18,6;43,1;25;11,9;1,1;
