Nome: MOSTARDAS
Codigo Estacao: A878
Latitude: -31.24833333
Longitude: -50.90638888
Altitude: 3.82
Situacao: Pane
Data Inicial: 2008-03-10
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-10;null;null;null;null;null;null;null;null;null;null;
2008-03-11;null;null;null;null;null;null;null;null;null;null;
2008-03-12;null;null;null;null;null;null;72,8;64;7,4;null;
2008-03-13;0;1015;17,3;25,2;22,8;21,4;71,3;57;11;6,5;
2008-03-14;1;1016,7;17,3;25,4;21,9;17,1;75,8;53;13,1;6,1;
2008-03-15;2;1019,5;17,7;24,7;22,6;19,4;73,8;63;13;7,1;
2008-03-16;0;1020,4;18,8;27,1;23,7;19,4;75,1;56;14,4;5,5;
2008-03-17;,4;1018,9;20,3;26,1;23,6;22;81,7;70;11,5;5,2;
2008-03-18;0;1018,5;20,2;26,3;23,2;20,9;83,6;70;9,5;4,1;
2008-03-19;,4;1015,4;20,5;26,4;23,5;21,8;83,8;74;15,8;6,8;
2008-03-20;0;1013;21;27,6;24,5;23;81,6;54;13,9;4,3;
2008-03-21;2,2;1014;21,3;26,3;22,9;19,7;90,5;80;5,6;2,5;
2008-03-22;0;1012;21,3;29,5;23,7;21,9;87;62;12,1;4,6;
2008-03-23;0;1017,2;15,8;24,8;22,7;22,1;65,3;53;11,6;6,7;
2008-03-24;0;1017,9;14,1;25,1;20,5;14,8;67,9;48;6,1;2,7;
2008-03-25;0;1018,4;16,1;25,9;23,5;22,1;63,1;51;12,5;6,6;
2008-03-26;0;1012,6;18,2;30,7;23,9;21,2;71;45;17,3;6,5;
2008-03-27;0;1010,2;20,8;25,7;22,7;19;89,1;80;9,2;3,1;
2008-03-28;0;1013,1;20,4;26;23,8;22,9;81,6;70;10,7;6;
2008-03-29;0;1018,2;16;24,9;23;21,8;65;51;12,7;6,6;
2008-03-30;0;1018,5;13,5;24,9;22,4;21;57,5;44;11,4;6,8;
2008-03-31;0;1014,2;16,8;26,2;23;21,2;68,1;55;15,4;8,3;
2008-04-01;,8;1009,4;19,3;26,3;22,1;20,5;84,3;66;11,5;3,9;
2008-04-02;1,4;1008,9;17,5;25,5;21,4;18,5;79,6;47;10,6;4,5;
2008-04-03;2,6;1011,9;15,7;23,5;19,7;15,5;78,3;57;13,8;4,9;
2008-04-04;,2;1013,8;12,5;23;19,4;15,8;65,8;37;11,6;4,8;
2008-04-05;0;1012,7;13,7;27,4;20,5;14,7;68;40;10,3;3,6;
2008-04-06;0;1011,3;17,1;27,7;21,4;17,4;78;42;9,3;3,5;
2008-04-07;,2;1011,1;18;29,3;21,5;15,5;82,1;33;6,1;2,3;
2008-04-08;,2;1013;19;26,1;21,8;16,1;84,5;70;5,7;2,5;
2008-04-09;0;1012,8;19,7;28,2;22,5;17,7;84,5;56;7,2;3,2;
2008-04-10;,2;1008,6;19,4;26,5;23;21,2;81;59;10,8;3;
2008-04-11;null;1006;19,3;29,6;null;18,7;80,7;47;8,6;3,3;
2008-04-12;2;1005,2;18,5;23,7;21,7;21,1;82,4;71;11,7;6;
2008-04-13;null;null;null;null;null;null;null;71;11,1;null;
2008-04-14;null;null;null;null;null;null;56,8;46;15,1;null;
2008-04-15;0;1019,3;5,4;19,2;14,8;10,3;56;29;8,5;3,5;
2008-04-16;0;1018,6;10,1;24;16;9,2;68,8;51;8,2;2,3;
2008-04-17;,2;1018,6;14,9;23,1;18,6;13,1;80,5;56;6,9;2,8;
2008-04-18;,2;1019,3;13,8;23,5;18,2;13,1;77,4;48;6,9;2,7;
2008-04-19;,2;1017,5;16,4;23,8;19,1;14,8;84,8;68;7,8;3,5;
2008-04-20;,2;1017,9;17,8;24,1;20,2;14,4;86,3;73;7,9;3,7;
2008-04-21;0;1018,3;18,3;22,7;null;21,2;81,2;75;9,6;5,5;
2008-04-22;null;null;null;null;null;null;85,4;78;4,6;null;
2008-04-23;null;1010,9;17,6;23,5;null;16,4;86,6;75;11,2;4;
2008-04-24;,2;1008,2;14,8;28,7;20,9;13,4;73;30;10,2;3,9;
2008-04-25;0;1006,3;15,1;27,3;21,2;16,7;69,7;39;15,5;5,2;
2008-04-26;null;null;null;null;null;15,5;75,7;59;6,4;null;
2008-04-27;null;null;null;null;null;null;71,9;55;7,6;null;
2008-04-28;null;null;null;null;null;16,9;null;83;9,3;null;
2008-04-29;null;null;null;null;null;null;50,4;33;17,6;null;
2008-04-30;null;1020,1;7,2;17,7;null;11;62,2;43;14,4;6;
2008-05-01;null;1021,7;12;19,7;null;10,7;77,4;65;11,4;4,8;
2008-05-02;null;null;null;null;null;null;null;76;10,5;null;
2008-05-03;null;null;null;null;null;null;67,3;57;21,3;null;
2008-05-04;null;null;null;null;null;null;null;82;13,4;null;
2008-05-05;null;null;null;null;null;null;null;69;14,7;null;
2008-05-06;null;null;null;null;null;null;74,9;64;11,8;null;
2008-05-07;0;1016;11,2;21,1;15,8;11,4;76,3;47;6,7;2,8;
2008-05-08;,2;1016,9;11,4;17,4;15,3;12,4;78,3;61;11,8;5,1;
2008-05-09;null;null;null;18,4;null;12;73,6;64;9,1;null;
2008-05-10;0;1022,1;13,4;20;17,1;13,2;79,3;66;7,7;2,8;
