Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.51361111
Longitude: -50.88277777
Altitude: 969.89
Situacao: Operante
Data Inicial: 2008-04-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-25;null;null;null;null;null;null;null;null;null;null;
2008-04-26;null;null;null;null;null;null;null;59;14,1;null;
2008-04-27;4;902,2;12,1;23,9;16,3;10,1;79;45;12,1;2,9;
2008-04-28;1,8;900,4;14,2;17,1;14,8;13,2;95,8;78;11,2;3,9;
2008-04-29;53,4;901,6;12,8;16,6;13,2;13,2;97;88;10,5;3;
2008-04-30;3,2;908,6;1,8;13,1;5,8;,1;74,6;46;8;2,4;
2008-05-01;0;909,6;5,5;16,4;8;1,6;85,3;61;12,4;4,1;
2008-05-02;9,4;904,5;11,1;15,8;12;6,2;94,3;83;18,5;4,2;
2008-05-03;16;902,9;10,6;13,6;11,1;9,5;96,3;86;13,8;2,7;
2008-05-04;5;905,8;10,9;16;11,6;10,2;96;75;8,9;2,8;
2008-05-05;2,2;904,8;8,5;16,1;10,7;8,4;87,4;54;11,6;2,9;
2008-05-06;,2;905,8;6;14,6;9,4;5,9;81,2;48;10;2,5;
2008-05-07;0;906,8;4,2;18,3;9,4;1,2;73,7;35;7,1;2,1;
2008-05-08;0;906,7;5,4;15,7;9,9;4,2;75,5;47;6,4;1,7;
2008-05-09;0;908,6;5;15,3;8,6;4,9;81,4;28;6;1,8;
2008-05-10;0;910,1;3,5;18,6;9,3;2,4;71,9;26;8,1;3,6;
2008-05-11;0;911,7;6,6;18;9,9;4,6;81,9;50;9,8;4;
2008-05-12;0;912,4;8,7;18,1;11,8;7,1;82,4;52;9;3,7;
2008-05-13;0;912;9,2;19,4;12,6;8,2;81,4;47;9;4;
2008-05-14;0;910,4;8,7;20;13,3;9,5;76,3;36;7,8;3,2;
2008-05-15;0;908,7;7,8;20,5;12,3;7;77,1;39;11,3;3,7;
2008-05-16;,2;909,4;4,7;19,5;11,2;4,3;68;32;5,6;2,1;
2008-05-17;0;909,8;5,3;21,5;12,1;6,2;69;22;12,8;5;
2008-05-18;0;908,1;9,4;23,2;13,7;6,2;77,2;50;10,9;4,2;
2008-05-19;0;907,2;11,9;25,3;16,5;9,9;76,8;47;9,6;3,8;
