Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2010-04-22
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-04-22;null;null;null;null;null;null;null;null;null;null;
2010-04-23;null;null;null;null;null;null;null;null;null;null;
2010-04-24;null;null;null;null;null;null;null;null;null;null;
2010-04-25;null;null;null;null;null;null;null;null;null;null;
2010-04-26;null;null;null;null;null;null;null;null;null;null;
2010-04-27;null;null;null;null;null;null;null;35;4,8;null;
2010-04-28;null;1001,4;6,8;21,9;14;7,8;64,1;34;5;2,1;
2010-04-29;0;1002,7;7,6;22,4;14,5;6,5;66,2;32;6,3;1,7;
2010-04-30;0;1000,3;8,9;23,1;14,8;7,4;71,2;34;6,8;1,4;
2010-05-01;0;997,8;8,4;24,9;16,1;7,1;64,5;28;7,7;2,2;
2010-05-02;0;996,4;8,4;24,6;17,4;10,1;58;30;7,8;2,1;
2010-05-03;0;994,7;12,5;22,9;16,8;11,9;76,2;47;5,4;1,8;
2010-05-04;9,4;991,9;15,2;20;17,1;14,4;88,7;71;8,3;2,6;
2010-05-05;,2;994,8;13;20,5;14,4;10,3;92;75;4,8;1,4;
2010-05-06;0;995,2;14;22,6;17;12,2;83,5;60;11,7;2,9;
