Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Pane
Data Inicial: 2012-10-03
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-10-03;null;null;null;null;null;null;null;null;null;null;
2012-10-04;null;null;null;null;null;null;null;null;null;null;
2012-10-05;null;null;null;null;null;null;null;null;null;null;
2012-10-06;null;null;null;null;null;null;null;null;null;null;
2012-10-07;null;null;null;null;null;null;null;null;null;null;
2012-10-08;null;null;null;null;null;null;79,5;46;8,6;null;
2012-10-09;1,2;1001,5;19,3;23,2;20,8;19,7;91,3;79;13,3;1,5;
2012-10-10;11,4;1002,3;17,6;21,4;18,8;19,4;93;83;10,7;2,4;
2012-10-11;11,6;1010,6;13;20,8;16,5;13,9;80,6;61;11,6;3,1;
2012-10-12;0;1013,4;12,5;23,8;17,5;12,6;74;50;9,8;2,7;
2012-10-13;0;1012,9;11,7;25,5;17,7;10;71,2;41;8,4;2,1;
2012-10-14;0;1009;12;28,1;19,5;11,8;65,1;33;6,6;1,9;
2012-10-15;0;1003,2;12,1;29,1;21,2;14,5;58,5;31;6,5;1,4;
2012-10-16;0;997,6;15,8;29,9;24;17,6;61,6;42;11,1;2,3;
2012-10-17;0;999,7;13,2;26,7;21,7;17,2;61;35;13,4;3,3;
2012-10-18;0;1005;11,1;25,4;18,8;12,1;65,3;31;5,7;1,5;
2012-10-19;0;1003,4;13,2;29,4;19,1;9,4;71,8;43;7,8;1,6;
2012-10-20;0;999,8;16,7;32,3;22,9;14,8;71,2;38;6,5;1,4;
2012-10-21;null;998,3;20;28,9;null;19,4;82,3;58;7,4;1,2;
2012-10-22;null;null;null;null;null;17,1;null;61;15,8;null;
2012-10-23;null;null;null;null;null;null;53;25;17,8;null;
2012-10-24;null;null;null;24,9;null;11,9;57,1;35;7,6;null;
2012-10-25;null;null;null;null;null;null;53,9;32;6,7;null;
2012-10-26;null;1003,3;16,9;29,8;null;12,6;76;51;6,7;1,2;
2012-10-27;,2;1001,4;20,4;30,3;23,9;20,2;82,1;54;9,4;1,2;
2012-10-28;1,2;1003,4;19,7;26,2;22,5;19,3;85,3;65;5,4;1,5;
2012-10-29;0;1001,4;19,7;28;22,1;17,4;87,6;64;21,4;1,5;
2012-10-30;28;997,2;20,4;29;23,6;19,4;83,8;55;10,7;2,4;
2012-10-31;0;1001,2;16,4;24,4;20,9;18,3;75,8;58;6,5;1,6;
2012-11-01;0;1002,7;14,8;26,7;20,5;14,9;72,3;43;7,8;2,1;
2012-11-02;0;1004,2;13,9;28,1;19,6;11,9;73,5;33;7,2;2;
2012-11-03;0;1003,3;14,6;29,3;19,8;12;75,7;40;6,5;1,7;
2012-11-04;,2;1002,6;15,9;28,9;20,6;14,8;77,7;32;7,4;1,5;
2012-11-05;,2;1003,1;14,5;30,9;21,6;13,8;70;25;6,9;1,8;
2012-11-06;0;1003,4;11,6;32,2;22,6;12,3;56,1;20;8,7;1,7;
2012-11-07;0;1002,3;14,4;33,5;23,1;12,6;61;32;7;1,5;
2012-11-08;0;999,4;16,4;34,2;26;18,4;58,4;27;7,9;1,5;
2012-11-09;0;996,6;17,5;34,7;27,9;20,9;55,5;29;8,8;1,7;
2012-11-10;0;997,6;18,9;34,5;28,3;23,9;57,8;37;10,1;2,4;
2012-11-11;0;1001,4;20,4;29,6;24,6;22,6;78,6;56;10,7;2,1;
2012-11-12;,6;1005,9;17,4;25,3;20;19,6;85,3;68;12,6;2,4;
2012-11-13;2,8;1008,8;14,1;24,6;17,8;14,5;81;46;11,1;2,3;
2012-11-14;1,2;1006,9;13,2;26,3;19,1;11,8;72;45;10,4;2,7;
2012-11-15;0;1003,9;13,7;28,8;20,9;14,1;66,5;35;9,7;2,2;
2012-11-16;0;1004,7;13,6;29,9;21,2;12,5;65,9;36;9,5;2,2;
2012-11-17;0;1007,4;14,2;30;21,8;13,8;66,9;30;9,6;2,1;
2012-11-18;0;1005;13,8;34,4;23,7;14,1;60,4;23;6,8;1,4;
2012-11-19;,6;1001,8;16,2;29,7;23,7;18,8;64,8;39;14,9;1,9;
2012-11-20;1,2;1002;17,1;32,3;24,5;19,2;68,5;30;9,5;2;
2012-11-21;0;1003,7;14,8;31,9;23,2;14,1;62,8;32;9;2,4;
2012-11-22;0;999,9;17,2;38,1;25,1;15,7;67,4;27;12;1,7;
2012-11-23;17,8;998,9;20,7;28,6;23,9;21,1;82,5;62;10,6;1,8;
2012-11-24;48;1001,6;17,6;26,2;21,7;18,8;79,7;49;10,5;2,1;
2012-11-25;1;1007,1;10,2;26,7;19,4;11;61,1;26;9,5;1,9;
2012-11-26;0;1005,7;12,5;29,8;20,9;11,6;62,7;31;6,1;1,6;
2012-11-27;0;999,7;14,9;32,4;23,8;15;61,4;27;6,7;1,5;
2012-11-28;0;997,2;12,8;34,4;25,8;18,2;50,2;13;8,9;1,9;
2012-11-29;0;1002,4;16,8;28,4;23;16,6;69,2;49;9,7;2,5;
2012-11-30;0;1002,6;17,6;31,8;25,3;19,9;64,8;42;8;1,9;
2012-12-01;,4;1002;18,7;27,7;24,3;21,9;73;49;16,3;2,4;
2012-12-02;8,4;1002;17,9;30,5;24,2;19,7;71,8;35;7,4;1,8;
2012-12-03;0;1000,6;16;35,1;25,1;15,5;61;30;5,9;1,6;
2012-12-04;0;1002,2;19,9;32,6;24,3;20,1;77,8;49;22,3;1,8;
2012-12-05;5;1000,5;20,6;32;25,5;20,7;76;52;7,9;1,9;
2012-12-06;,2;995,7;20,9;36,8;29,3;21,7;62,8;37;6,3;1,6;
2012-12-07;0;995,3;21,2;33;28,1;25,6;67,1;48;19,3;2,4;
2012-12-08;1,6;1002,5;17,8;29,5;24;20,2;70,5;43;9,2;2;
2012-12-09;0;1002,9;14,3;32,7;23,8;15,6;63,1;21;5,7;1,4;
2012-12-10;0;994,9;16,5;38,8;26,4;15,4;59,8;25;12,6;1,6;
2012-12-11;null;null;null;null;null;20,7;null;52;22;null;
2012-12-12;null;null;null;null;null;null;null;null;null;null;
2012-12-13;null;null;null;null;null;null;null;null;null;null;
2012-12-14;null;null;null;null;null;null;null;null;null;null;
2012-12-15;null;null;null;null;null;null;null;null;null;null;
2012-12-16;null;null;null;null;null;null;null;null;null;null;
2012-12-17;null;null;null;null;null;null;null;null;null;null;
2012-12-18;null;null;null;null;null;null;null;48;9,2;null;
2012-12-19;null;997;21;29,9;24,8;21,7;80,2;62;11,4;1,3;
2012-12-20;8,8;995;21,7;36,2;27,6;23,3;73,2;41;21,4;3,6;
2012-12-21;48,4;1003;20,7;24;22,1;21,2;91,8;80;6,1;1,6;
2012-12-22;17,8;1007,3;17,8;28,7;23;17,9;74,6;52;10,8;2,9;
2012-12-23;0;1003,6;19;34,3;26,8;19,3;63,6;43;5,8;1,6;
2012-12-24;0;998,8;21,7;38,4;30,9;24;60,9;31;6,3;1,7;
2012-12-25;0;993,6;21,5;38;32,3;25,6;56,2;32;13,5;3,5;
2012-12-26;0;999,7;21,2;34,6;23,7;24,4;86,5;40;10,8;1,8;
2012-12-27;31,8;1005,1;17,4;20,1;18,8;17,7;91,3;83;10;2,1;
2012-12-28;65,2;1002,6;17,5;23,8;19,4;16,8;89,1;72;8,5;2,3;
2012-12-29;0;1002,9;18,9;29;22,9;18,4;79,4;52;6;1,3;
2012-12-30;0;1002,1;21;34;26,5;20,6;74,2;47;6,5;1,4;
2012-12-31;0;999,3;22;35;29;22,8;68,3;42;8,5;1,9;
2013-01-01;27,8;1001,1;19,1;30,8;23;19,6;79,6;59;17,2;2,8;
2013-01-02;0;1009,3;13,5;25,6;20,3;15;66,3;46;10,9;2,1;
2013-01-03;0;1009;16;29,8;22,1;15,8;70,1;47;7,1;1,9;
2013-01-04;0;1007;17,5;34,7;25,7;17,7;63,3;33;7;1,4;
2013-01-05;0;1003,2;20,3;30,2;24,9;21,3;76,8;52;13;1,7;
2013-01-06;18,2;999,2;21,5;29,3;25,5;20,8;79,3;63;14,6;2,1;
2013-01-07;0;996,7;21,2;30,8;25,9;21,9;76,3;54;18,2;1,5;
2013-01-08;20,2;997,6;22,2;29;24,2;22,2;89,1;63;7,4;1,5;
2013-01-09;2;1005;20,5;30,1;24,3;19,8;80,8;55;9,5;1,8;
2013-01-10;0;1008,4;17,8;29,3;23,5;17,8;72,7;41;10,1;2,6;
2013-01-11;0;1007;14,9;27,4;21;14;71;45;10,6;2,5;
2013-01-12;0;1004,1;15,1;28,6;21,4;13,6;69,9;45;6,9;1,7;
2013-01-13;0;1004,6;17,2;30,9;23;15,5;72,3;46;7,9;2;
2013-01-14;0;1004,4;18,3;31,1;24;17,3;72,5;47;10;2,1;
2013-01-15;0;1001,7;18,5;31,3;24,1;17,7;73,1;49;11;2,1;
2013-01-16;0;999,5;18,7;32,3;24,5;17,1;72,4;44;8,1;1,7;
2013-01-17;,2;999,8;19;33,5;25,2;17,8;71,7;38;6,6;1,8;
2013-01-18;2,6;1001,4;20,6;27,6;23,1;20,4;86,2;66;8,2;1,7;
2013-01-19;3,4;1004,4;18,3;28;22,3;18,2;80,1;50;10,6;1,6;
2013-01-20;,2;1007,7;16,9;28,1;22,5;19,2;72,4;46;11,5;2,9;
