Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Pane
Data Inicial: 2012-12-12
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-12-12;null;null;null;null;null;null;null;null;null;null;
2012-12-13;null;null;null;null;null;null;null;72;3,6;null;
2012-12-14;null;958;17,1;29,7;22,9;17,6;72,8;40;9,3;2,8;
2012-12-15;0;956,8;18,4;31,2;24,5;19,5;70,1;45;8;1,9;
2012-12-16;0;954,6;19,6;33;26,1;19,5;70;39;6;1,8;
2012-12-17;2,4;955,2;16,2;31,7;24,4;18,2;63,3;34;17,9;2,1;
2012-12-18;0;955,5;17,6;33,5;26;18,6;61;42;8,2;2,4;
2012-12-19;11,8;955,4;19,2;27,8;22,7;19,4;81,6;61;12;2,8;
2012-12-20;,6;954,4;19,7;32;23,4;21,1;80,9;51;19,4;4,2;
2012-12-21;42,2;959,7;18,2;23;20,3;18,6;87,9;71;10,4;2,6;
2012-12-22;2,8;963;16,9;29,3;22,3;16,7;73,2;51;10,4;3,8;
2012-12-23;0;961,1;18;33;24,7;18,4;67,8;42;10,2;3,2;
2012-12-24;,2;957,9;20,5;34,6;28,2;22;65,6;41;7,5;2,3;
2012-12-25;0;953,8;19,9;34,9;29,3;23,9;59,6;33;15,9;4,4;
2012-12-26;0;957,5;19,6;30,1;24,3;25,3;76;51;12,7;2,8;
2012-12-27;9,4;960,3;15,9;19,3;17,5;16,9;90,3;83;11,2;3,6;
2012-12-28;56,8;959;15,6;22,7;17,8;14,7;87;68;9,6;2,2;
2012-12-29;0;959,8;17,7;27,6;21,6;16,7;79,5;55;7,1;1,6;
2012-12-30;0;960,1;19,3;30,7;24,1;19,1;76,4;47;6,2;1,9;
2012-12-31;0;958,3;20,8;30,9;25,6;20,8;76,8;54;9,6;2,6;
2013-01-01;18,8;959,7;17,3;26,2;20,2;17,2;84,1;66;19,6;2,4;
2013-01-02;0;965,2;12,2;24,5;18,2;12,7;69,2;46;6,9;1,9;
2013-01-03;0;964,9;14,6;29,4;20,7;13,7;70,3;43;8,4;3,2;
2013-01-04;0;964,2;16,4;30,6;23,4;16,3;66,6;38;8;2,6;
2013-01-05;0;961,1;18,4;25,5;21,5;20,5;83;57;11,3;2,8;
2013-01-06;22,8;957,7;19,2;24,7;21;18,5;89,9;79;9,3;2;
2013-01-07;0;955,3;18,7;25,5;21;18;86,9;73;13,1;2,4;
2013-01-08;28;955,6;20;28,5;23,1;19,6;83,5;58;6,7;1,8;
2013-01-09;0;962;18;27,9;22,8;17,8;76;51;9,4;3,2;
2013-01-10;0;964,5;14,7;29,3;22,5;16,8;66,3;28;8;3,3;
2013-01-11;0;962,8;13,3;26,4;19,7;12,9;69,4;37;9,8;3,9;
2013-01-12;0;960,2;13,5;28,3;20,4;13,1;67,2;38;8;2,9;
2013-01-13;0;961,4;14,9;29,7;22,1;14,8;67,1;35;7,2;2,4;
2013-01-14;0;961,1;17,1;30,2;23,2;16,8;70,6;38;9,6;2,9;
2013-01-15;0;958,5;17,5;29,7;21,7;17,4;78,3;48;13,8;3,1;
2013-01-16;1,8;956,9;17;30;22,7;16;73;42;5,8;2,2;
2013-01-17;0;957,7;17,3;32;23,2;17,8;72,6;32;9,5;2,1;
2013-01-18;,8;958,7;17,6;28,9;22,5;17,8;76;48;10,8;2;
2013-01-19;0;961,4;15,1;28,2;21,4;16,1;70,6;37;9;2;
2013-01-20;0;964;14,6;25,5;19,9;15,7;73,5;49;10,3;3,2;
2013-01-21;0;965,4;14,7;28,8;21,3;14,8;68,5;40;11,2;4,2;
2013-01-22;0;965,4;14,1;29,5;22,4;16,3;62,5;33;9,9;3,2;
2013-01-23;0;962,2;15,8;31,2;23,7;18,3;63,6;36;8,8;2,4;
2013-01-24;0;956,6;17;33,2;24,6;17,8;66,2;32;12,5;2,5;
2013-01-25;2,4;955,7;17,9;26,4;21,9;19,4;78,5;60;13,6;2,2;
2013-01-26;0;961,2;10,5;24,1;18,6;14,2;62,2;29;8,8;2,1;
2013-01-27;0;962,5;11,6;28,9;20;11,3;60,3;38;6,4;2;
2013-01-28;0;963,1;14,7;32,5;22,9;14,5;64,4;25;7,8;2,6;
2013-01-29;0;962,9;16,3;33,7;25,4;17,9;61,8;24;7,3;2,7;
2013-01-30;,4;961,2;15,6;34,5;26;18,5;56,7;28;7,6;2,4;
2013-01-31;0;958,9;16,7;35;26,7;20,2;57,1;29;8,9;2,2;
2013-02-01;0;958,1;17,4;35,5;27,8;19,7;55,9;31;8,6;2,5;
2013-02-02;1,4;959,4;18,7;29,7;23,7;21,1;74,4;46;11;2,2;
2013-02-03;2,6;960,3;17,1;25,9;20,4;18,1;82,8;55;15,4;2;
2013-02-04;8,2;960,9;12,5;26,3;19,5;13,5;67,6;33;8,3;2,3;
2013-02-05;0;960,6;14;29,5;20,5;13,6;68,8;34;9,3;2,8;
2013-02-06;0;960,8;16,3;30,2;20,7;16,4;77,4;49;14;3,4;
2013-02-07;1;962,1;16,4;29,4;21;16,3;77,5;37;12,7;3,3;
