Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.08944444
Longitude: -53.82666666
Altitude: 462
Situacao: Operante
Data Inicial: 2016-08-10
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-08-10;null;null;null;null;null;null;null;null;null;null;
2016-08-11;null;null;null;null;null;null;null;48;7,9;null;
2016-08-12;1,2;967,1;7,5;20,9;13;7,7;72,8;37;7,1;1,7;
2016-08-13;0;962,1;7,9;23,5;14,5;7,5;67,2;35;7,1;1,5;
2016-08-14;0;960,3;10,3;25,3;17,2;10,5;66;37;4,6;1,3;
2016-08-15;0;956,6;14,2;23,2;17,9;14,3;79,8;63;11,1;2,1;
2016-08-16;0;957;15,3;25,3;19;14,8;81,3;54;8,5;2,2;
2016-08-17;9,4;958,4;12,8;20,1;16,1;14,2;81,3;52;21,9;2,2;
2016-08-18;2,4;965,7;1,6;19;12,5;5,4;50,2;27;9,6;2,5;
2016-08-19;0;961,1;5,3;17,1;13,4;11;61;36;11,2;3,5;
2016-08-20;,6;959,1;11,7;14,5;12,9;12,5;92,3;82;11,3;2,4;
2016-08-21;1,6;970,9;4,7;12,7;9;6,7;75,5;46;10,5;2,5;
2016-08-22;,2;972,1;,9;16;8,1;2;65,9;24;6,1;1,3;
2016-08-23;0;969,7;2,5;19,2;11,4;4,5;57,2;24;6,8;1,3;
2016-08-24;0;966,4;7,3;23,4;15;7,8;62,1;36;8,3;2,2;
2016-08-25;0;964,4;11;26,6;17,8;10,9;66,3;38;6,3;2;
2016-08-26;0;961,6;14,9;30,5;21,6;14;67,2;42;7,7;2,3;
2016-08-27;0;960,2;null;30,1;23,5;18;71;37;10,9;2,7;
2016-08-28;0;959,5;14,1;23;17,8;16,7;82,9;51;12,7;2,4;
2016-08-29;36,8;961,4;16,6;18,3;17,2;14,9;96,1;95;6,4;1,7;
2016-08-30;27,8;959,9;14,4;17,9;15,3;15,1;94,7;89;6,9;1,8;
2016-08-31;6,4;961;12,6;19,5;14,6;12,3;88,7;65;8,4;2,4;
2016-09-01;1;967,3;11,1;20,5;14;8,2;84;54;5,1;1,1;
2016-09-02;0;969;11,1;17,4;13,4;11,9;85,6;72;10,5;2,5;
2016-09-03;0;970,6;9,8;12,1;10,8;9,8;93,7;87;9;2,6;
2016-09-04;16,2;969;11,2;15,1;12,3;10,1;93;82;8,8;1,9;
2016-09-05;1;966,4;12,7;15,3;13,5;10,8;95,1;89;7,4;1,6;
2016-09-06;24,6;965;6,6;11,7;9,3;7,1;83,9;64;13,5;3,9;
2016-09-07;0;965,4;6;15,1;10,6;7,7;73,4;59;13,1;3,8;
2016-09-08;0;967,1;9,1;18;13,2;8,7;76,8;58;7,8;1,5;
2016-09-09;0;967,8;9;22,8;14,9;8,4;71,4;36;6,3;1,5;
2016-09-10;0;968,1;11,4;27;18,4;11,9;66,7;32;6,6;1,8;
2016-09-11;0;964,6;12,7;28,1;20,4;14,3;64,3;33;6,2;1,7;
2016-09-12;0;954,7;14,9;28,7;21,5;14,9;67,3;46;10,1;2,7;
2016-09-13;14,6;952,7;11,8;25;18,5;15,3;66,5;42;13,5;3,7;
2016-09-14;0;961,3;6,2;17,8;12,4;8,9;66,8;47;14,3;4,2;
2016-09-15;0;965,7;5,1;18,8;10,9;4,5;71,3;36;6,3;1,5;
2016-09-16;0;965;7;23,1;14,5;7,8;63,1;35;6,7;1,7;
2016-09-17;0;960,6;11,3;28;18,7;11;65,3;33;8;2,1;
2016-09-18;,4;961,9;14,5;23,8;18,3;14,4;79,8;53;7,5;1,7;
2016-09-19;0;967,5;7,5;17;13;9,9;72,3;40;9,1;2,1;
2016-09-20;0;969,1;7,2;19,2;12,3;6,3;72,7;45;7,8;2,1;
2016-09-21;0;967,7;8,8;24,3;15,9;9,2;65,9;36;10;2,6;
2016-09-22;0;965,5;9,6;25,3;17,8;11,4;60,6;34;8,1;2;
2016-09-23;0;967;11,3;24,6;18;11,1;66;46;10,2;1,7;
2016-09-24;0;968,5;6,6;16,6;10,6;7;77,3;53;9,3;2,2;
