Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-17;null;null;null;null;null;null;null;null;null;null;
2019-07-18;null;null;null;null;null;null;null;52;8,1;null;
2019-07-19;null;1019,3;11,2;23,4;14;8,1;85,8;51;5;1,2;
2019-07-20;0;1016,2;14,2;26,3;17,8;9,8;81,3;40;6,2;2;
2019-07-21;0;1010,7;14,7;26,5;18,8;13,2;79,3;52;9,3;3,2;
2019-07-22;0;1011;15,2;20,1;17,3;16,5;87,8;68;10,4;3,1;
2019-07-23;42,2;1016,3;14,8;17,2;15,1;14,1;97,9;93;6,6;2;
2019-07-24;19,8;1020,9;13;15,8;13,7;12,2;95,8;83;12,1;2,9;
2019-07-25;25,4;1022,1;13,3;16;14,3;12,2;93,7;86;13,3;4,1;
2019-07-26;34,2;1017,5;12,7;18,1;15,4;13,9;84,8;60;13;3,7;
2019-07-27;,6;1024,5;8,8;15,1;12,2;10,2;79,8;66;9,5;3,4;
2019-07-28;0;1025,3;8,2;15,6;10,2;4,8;88,6;63;10;2,1;
2019-07-29;0;1018,3;12,9;17,2;14,3;7,7;91,6;76;6;1,8;
2019-07-30;2,6;1015,7;12;17,4;14,8;14,1;84,3;64;10;3;
2019-07-31;0;1013,8;9,6;23,1;13,4;6,4;80,2;44;7,4;2,3;
2019-08-01;0;1007,8;11;22,3;13,8;10,8;90,5;66;16,5;3,3;
2019-08-02;21,8;1017,8;null;14,6;11,3;8,5;61,5;46;14,9;4,7;
2019-08-03;0;1023,9;3,6;14,4;10;7,4;65,6;45;13,8;5,1;
2019-08-04;0;1030,1;3,3;14,3;8,1;3,6;73,8;40;6,1;2,1;
2019-08-05;0;1028,2;6,6;18,5;9,8;3,4;82,4;47;9,6;2,5;
2019-08-06;0;1020,9;11;25;14,4;6,5;82,8;52;7,8;2,6;
2019-08-07;0;1017,6;14,3;27;18,3;12;80,5;47;8,5;1,8;
2019-08-08;0;1020,7;13,7;19;14,6;13,5;94,6;81;11;3,1;
2019-08-09;26,8;1015,1;15,3;18,2;15,8;13,1;96,8;92;8,8;2,6;
2019-08-10;18,4;1014,3;11,8;18,7;14,2;12,8;85,4;69;12,8;3,8;
2019-08-11;0;1019,5;8,5;16,3;11,2;5,6;84,4;63;9,3;2,7;
2019-08-12;null;null;null;null;null;null;89;76;9,8;null;
