Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-04-05;null;null;null;null;null;null;null;null;null;null;
2016-04-06;null;null;null;null;null;null;77,2;50;16,9;null;
2016-04-07;18,8;996,1;21,5;28,4;23,6;19,6;88,4;73;6,1;2;
2016-04-08;0;995,6;21;25,6;22;21,7;94,6;86;13;3,6;
2016-04-09;28,6;995,9;20,4;27;21,7;19,2;92,6;74;8,1;2,4;
2016-04-10;,2;998,3;20,7;26,5;22,6;20,3;89,5;71;10,9;3,9;
2016-04-11;42,8;1000,4;20;26,7;22,3;20,3;87,2;64;11,4;4,1;
2016-04-12;,2;1002,4;19,3;24,7;21,9;20,3;85,4;73;14,8;5,5;
2016-04-13;0;998,2;18,8;24,8;20,7;19,7;88,8;77;13,5;3,7;
2016-04-14;3;997,9;18,9;27,3;21,3;17,1;86,9;65;7,4;1,7;
2016-04-15;,8;994,8;20,6;33,9;26,4;19,7;73,5;47;11,1;3;
2016-04-16;0;994,6;20,4;34,5;29,4;25,9;59,4;38;13,8;3,6;
2016-04-17;0;996,8;20;35;29,2;24,3;59,3;36;12,1;2,7;
2016-04-18;1,2;997,3;20,1;28,6;25;24,1;75,6;57;11,7;3;
2016-04-19;2,2;994,1;20;33,8;26,1;21,6;72;37;19;4;
2016-04-20;0;996,2;19;25,5;21,7;18,7;85,1;67;6,8;2,7;
2016-04-21;6,4;994,7;18,6;24,8;21,2;19,2;85,5;71;13,6;3;
2016-04-22;2,8;999,8;15,2;22,4;18;13,6;84,2;70;13,5;5,2;
2016-04-23;2;992,9;19,4;28,1;22,6;16,9;83,2;61;10,9;2,4;
2016-04-24;,8;989,4;20;26,5;22;22,5;88,6;69;20;3,8;
2016-04-25;121;987,9;17,7;20,7;18,9;18,5;92,7;85;14,1;4;
2016-04-26;10;998,5;9,4;15,1;12,8;10,6;80,4;54;13,1;4,7;
2016-04-27;2,6;1005,3;5;14,4;10,1;6,4;72,9;41;11,4;3;
2016-04-28;0;1007,9;4,3;14,8;10,3;5,5;68;43;6,4;1,6;
2016-04-29;0;1007,3;5,9;15,2;10,1;6;77,2;47;6,6;1,3;
2016-04-30;0;1007,7;5,9;15,4;10,5;7;75,3;45;8,4;2,4;
2016-05-01;0;1006;6,2;19,3;10,6;3,2;77,2;40;5,1;1,3;
2016-05-02;0;1004,1;8,4;23,1;13,7;6,7;74,5;29;5,6;1,9;
2016-05-03;0;1004,9;10,4;21,3;15,4;9,7;73,8;47;9,4;3,1;
2016-05-04;0;1004,4;10,6;19,1;13,2;8,7;85,1;60;7,5;2,1;
2016-05-05;0;1004;10,9;16,3;12,2;8;92,5;78;9,3;3,2;
2016-05-06;0;1003,1;11,7;17,4;14,1;11,4;85,5;70;13,9;5,8;
2016-05-07;0;1003,7;14;21;16,5;12,9;85,4;69;10,2;4,3;
2016-05-08;0;1001;15,1;18,4;16,7;15,2;90,6;82;10,6;4,9;
2016-05-09;19,6;999,3;16,5;20,8;17,8;16,2;91,9;78;7;2,4;
2016-05-10;0;1000,7;16,2;22,1;18,3;16;88,2;69;9,4;3;
2016-05-11;,2;1004,5;14,1;19,5;16,7;14,6;84,8;69;9,3;4,4;
2016-05-12;0;1007,8;10;16,4;13,2;11,2;81,1;64;10,5;4,7;
2016-05-13;0;1008,1;9,1;14,8;10,9;6,5;89,3;75;8,5;3,3;
2016-05-14;0;1003,2;13,9;21,6;15,9;9,5;88,8;72;6,2;2,6;
2016-05-15;12,6;993,1;16,4;21,2;18,5;14,8;88,1;71;13,2;4,1;
2016-05-16;29;1001,8;9,7;16,5;13,1;10,6;80,2;61;10,6;2,5;
2016-05-17;0;1004,7;5,8;14,7;10,1;5,8;76,5;49;5,5;1,9;
2016-05-18;0;1005,9;5,8;15,4;10,3;5,9;75,5;49;7;1,6;
2016-05-19;0;1006,6;6,7;15,6;9,6;4,1;83,8;58;9,8;3,5;
2016-05-20;0;1004,3;9,1;12,7;10,2;7,4;92,9;79;8,8;3,7;
2016-05-21;4,4;1003,9;10,7;15,3;12,6;9,1;88,4;72;7,5;2,7;
2016-05-22;1;1003,9;10,9;15,9;13;11;87,5;70;7,9;2,4;
2016-05-23;,2;1011;6,6;14,3;9,5;5;82,9;60;6,2;1,8;
2016-05-24;,2;1012;7,5;16,7;9,4;3,9;89,3;62;8,7;3;
2016-05-25;0;1006,9;10,8;21,1;13,6;5,9;84,8;56;7,2;3;
2016-05-26;0;1003,9;13,3;20,1;16;10,3;84,2;64;7,4;2,5;
2016-05-27;0;1005,8;11,1;15,8;12,9;10,9;89,1;73;7,2;3,4;
2016-05-28;0;1005,5;12,5;18,2;14,3;10,7;89;76;11,4;4,5;
2016-05-29;25,8;999,2;14,8;17,8;15,7;13,3;94,6;86;7,5;2,3;
2016-05-30;6,8;996,7;12,6;18,1;15,4;13,9;84;68;9,6;3,2;
2016-05-31;,2;998,2;11,1;17,9;14,1;12,9;83;61;7,8;2,6;
2016-06-01;0;999,2;9,2;18;12,5;8,3;82;53;5,2;1,5;
2016-06-02;0;999,2;8;18,2;11,6;7,2;80,3;49;8,7;2,3;
2016-06-03;0;999,6;7,2;13,8;10;6,8;83,4;62;5,8;1,7;
2016-06-04;0;1000;null;14,3;8,7;3,9;79,7;61;6;1,7;
2016-06-05;0;1000,8;6,6;13,7;8,9;4,9;84,7;60;6,7;2,1;
2016-06-06;0;1002,3;5,6;11,4;6,9;1,9;89,4;71;7;1,4;
2016-06-07;0;1003,6;5,9;16,5;9,4;3,6;81;52;10,7;3,2;
2016-06-08;0;1006,9;2,5;14,8;9,4;4,1;66,3;30;10,2;2,6;
2016-06-09;0;1008,6;,9;15,5;8;1,4;65,5;29;6,5;1,6;
2016-06-10;0;1009,3;2;12,8;7,9;3,6;68,8;34;8,8;2,6;
2016-06-11;0;1012,3;1,2;12,2;5,9;,4;74,1;42;8,5;2,6;
2016-06-12;0;1013,6;1,2;14,9;6,9;,6;70,1;36;4,9;1,8;
2016-06-13;0;1011,9;3;16,7;7,6;-,2;75,5;43;8;2,4;
2016-06-14;0;1008,6;6,1;19,6;11,2;3,6;73,8;40;6,9;2,1;
2016-06-15;0;1007,4;8,5;21,1;12,9;7,1;76,9;40;4,6;1,3;
2016-06-16;0;1005,7;10;18,5;13,2;9;81,8;60;4,9;1,4;
2016-06-17;0;1006,7;6,8;14,6;9;5,1;86,9;65;5,9;1,8;
2016-06-18;0;1008,7;null;15,7;8,1;1,6;80,3;49;5,5;1,2;
2016-06-19;,2;1009,8;null;15,8;8,4;1,9;78,7;51;6,4;1,3;
2016-06-20;0;1010,5;5,2;13,1;8,1;2,8;79,1;52;10,8;3,9;
2016-06-21;0;1010;6,5;14,9;9,1;4,9;84,2;66;14,6;6,2;
2016-06-22;0;1006,9;10,4;16,4;13,3;6,8;83,3;71;9,3;3,3;
2016-06-23;0;1006,3;null;17,6;11,4;6,1;83,3;64;5;1,3;
2016-06-24;,2;1005,1;null;13,9;10,5;7,3;91,6;82;9,2;3,1;
2016-06-25;0;1004,8;null;13,7;11,7;9,2;96;93;9,2;3,5;
2016-06-26;58,2;1006;13,8;17,3;14,8;10,6;92,9;87;12,9;4,3;
2016-06-27;7,4;1007,6;14,1;19,7;15,8;13,2;89,5;77;10,1;3,1;
2016-06-28;,6;1007,7;14,3;18,5;15,1;13,2;95,2;82;4,6;1,5;
2016-06-29;0;1005,3;15,4;21,5;16,2;13,4;93,7;75;6,5;2,7;
2016-06-30;0;1005,2;null;21,8;16,1;13;88,9;73;6,2;2,7;
2016-07-01;,2;1004,4;null;27,3;17,9;11,8;72,6;47;6,4;2,1;
2016-07-02;0;1003,5;14,6;27,2;19,3;12,6;77,2;41;6,6;1,6;
2016-07-03;0;1001,3;14,3;28,5;20,4;14,6;70,8;41;10,7;2,2;
2016-07-04;0;999,6;13,8;26,1;22,5;17,5;58,5;45;9,7;3;
2016-07-05;0;996,9;14,9;23,9;20;20;73,3;58;11,8;3,1;
2016-07-06;17,8;999,4;9,4;13,5;11,7;10,1;86,3;69;13,5;4,6;
2016-07-07;,4;1004,3;7,3;18,2;12,1;8,1;74,9;44;9;2,8;
2016-07-08;0;1006,6;8,1;18,8;11,9;5,4;78;48;6,1;1,7;
2016-07-09;17;1000,7;10,9;15,3;12,5;8;89,9;79;9,3;2,6;
2016-07-10;3,8;997,3;null;15,2;12,1;9,9;null;88;9,5;3,2;
2016-07-11;3,2;991,9;14,5;22,1;15,9;10,8;91,6;77;10;3,6;
2016-07-12;1,2;997,6;12,4;17,4;14,7;12,9;86,9;61;8,8;2,5;
2016-07-13;,2;999,2;null;15,9;10,3;6,5;89,7;75;10,6;3,8;
2016-07-14;0;994,1;11,9;14,2;12,9;8;94,9;90;9,1;3,5;
2016-07-15;25;997;10,9;14,7;13,6;11,9;84,7;70;6,9;2,3;
2016-07-16;0;1003,8;6,7;12,9;10;8,2;80,6;56;10,9;3,3;
2016-07-17;0;1008,8;1,3;11,5;6,5;2,9;73,1;33;8,2;2,3;
2016-07-18;0;1009,5;4,8;14,2;8,6;4,4;78,3;50;7,8;2,2;
2016-07-19;0;1009,5;4,1;13,6;8,1;3,7;78;45;9,3;2,8;
2016-07-20;0;1008,8;3,2;12,9;6,6;1;81,1;47;8,8;2,7;
2016-07-21;0;1007,7;4;13,5;6,6;-,7;84,1;58;9,9;3;
2016-07-22;0;1005,8;null;15,2;7,5;2,9;83,5;60;7;3,1;
2016-07-23;,2;1000,7;null;23,8;12,3;4,1;81,2;52;6,8;2,3;
2016-07-24;0;1001,2;14,3;22,7;16,3;7,6;81,7;62;7,2;2,1;
2016-07-25;0;997,8;13,5;28,8;17,7;10,7;75;42;11,2;4,6;
2016-07-26;6,2;996,4;12;25;15,4;11,8;81;55;16,2;4,3;
2016-07-27;2,6;1007,1;6;13,4;10,3;8,9;75,5;55;12,8;3;
2016-07-28;0;1009,1;5,2;13,9;8,4;3,5;81,8;57;10;3,7;
2016-07-29;0;1005,8;7,7;17,2;10,4;5,6;84;64;10,6;5;
2016-07-30;0;1002,2;11,7;19,9;14,6;7,9;82,9;70;9,8;4,3;
2016-07-31;0;999,1;13,6;29,4;21,1;11,7;66,1;33;10,2;3,2;
2016-08-01;0;1001,7;12,9;24,2;17,8;17,6;73,5;53;11,1;3,3;
2016-08-02;0;1009;7,8;15,5;10,6;5,9;83,7;63;12,9;4,8;
2016-08-03;0;1005,5;10,4;17,3;12,5;8,8;87,1;75;10,9;6,3;
2016-08-04;0;1000,9;14,5;25,2;17,5;11,2;84;60;9,7;3;
2016-08-05;0;997,5;15,1;29,1;20,8;13,8;70;39;9,2;2,2;
2016-08-06;0;998,1;14,6;24,6;18,2;16,9;81,1;57;11,6;3,9;
2016-08-07;14,4;1004,1;null;17,2;12,8;9,8;78,2;56;8,7;1,8;
2016-08-08;,2;1003,8;7,6;18,2;12,3;7,9;75,6;40;11;3,4;
2016-08-09;0;1006,2;8;19,7;12,4;5,9;76,5;50;4,5;1,2;
2016-08-10;0;1009,1;8,2;17,5;11,9;5,7;77,9;53;7;2,2;
2016-08-11;0;1007,8;8,2;18,8;11,4;6,4;78,4;44;8,7;3,1;
2016-08-12;0;1004,7;null;20,7;12,3;7,1;76,4;48;6,9;2,5;
2016-08-13;,2;998,5;9,5;25,4;15,4;6,5;69,5;33;5,9;1,5;
2016-08-14;0;996,5;11,5;26;17,4;9,1;71,8;35;5;1,6;
2016-08-15;0;992,2;15;26,2;19;12,4;78,8;55;9,3;2,2;
2016-08-16;0;992,6;14,5;27,8;20,3;12,4;71,1;45;8,9;2,3;
2016-08-17;17,6;995,2;10,4;22,9;17,6;14,5;65,5;28;23,6;3,4;
2016-08-18;,6;1003,7;5,6;19,2;12,5;5,3;66;35;10,4;3,5;
2016-08-19;0;998,7;7,8;20,3;13,9;8;68;52;12,9;5,8;
2016-08-20;7,4;998;11;17,4;14,4;11,6;80,9;58;13,1;5,7;
2016-08-21;0;1010,8;5,4;13,5;10,1;7,5;73,4;48;11,4;3,8;
2016-08-22;0;1010,2;2,9;17,9;10;2,9;67,2;28;8,9;1,6;
2016-08-23;0;1007,4;4,9;20,2;11,8;3,5;66,9;28;6,5;1,8;
2016-08-24;0;1003,1;9;25,8;15;6,6;70,9;34;5,3;2,3;
2016-08-25;0;1000,5;12,3;28;18,3;9,9;71,5;40;5,8;1,9;
2016-08-26;0;996,9;16,3;32,2;21,9;14,1;73,6;40;7,5;2,6;
2016-08-27;0;994,5;16,4;32;25,9;17,6;58,6;31;13,4;3,2;
2016-08-28;6;996,1;16;25,1;17,8;14,7;89,8;59;12,8;2,9;
2016-08-29;21,4;999,2;15,2;17,5;16;14,6;95,4;92;10;4,1;
2016-08-30;18,2;996,6;null;16,8;15,7;15,1;94,5;92;8,3;2;
2016-08-31;8,4;998,2;13,5;19,6;16,2;14,3;82,1;63;9,2;3;
2016-09-01;0;1004,8;12,2;22;15,3;9,2;75,2;49;6,2;1,6;
2016-09-02;0;1007,6;11,1;16;13,6;12,2;84,9;72;12,1;5,7;
2016-09-03;0;1010,1;9,3;12,7;11,3;10,2;87,6;81;11;5,3;
2016-09-04;4,8;1008,1;11,6;15,6;12,8;10,2;92,5;84;9,1;4;
2016-09-05;1,8;1004;13,8;16,5;14,5;11,3;95,7;89;9,1;2;
2016-09-06;14,8;1002,6;7,4;13,1;10,8;8,4;80;60;15,7;5,4;
2016-09-07;,2;1002,7;7,7;17,3;12,7;8,7;71,9;62;13,7;4,8;
2016-09-08;0;1004,9;10,2;19,9;13,5;8,4;77,8;53;7,8;1,6;
2016-09-09;0;1005;null;23,5;15,1;7,1;70,1;46;5,3;1,7;
2016-09-10;,2;1004,8;13,3;27,7;18,1;10,5;69,2;36;4,9;1,9;
2016-09-11;0;1000,7;15;29;20,2;12,7;72,3;36;8,4;2,7;
2016-09-12;0;989,3;16,1;29,8;21,4;14,3;74,3;41;9,1;3;
2016-09-13;18,6;989;11,9;29,6;20,3;15,7;61,7;37;18,9;5,3;
2016-09-14;,2;998,9;7,3;18,6;13,9;11,3;64,8;45;15,3;5,1;
2016-09-15;0;1003,8;7;18,8;12,4;6,8;71,9;40;5,7;1,6;
2016-09-16;0;1002,6;9;21,7;13,4;5,8;74;44;8,8;2,7;
2016-09-17;0;997,2;12,7;26,6;16,7;9,5;75,3;40;6,3;2,7;
2016-09-18;0;999,6;13,4;23,4;18,1;12,3;75,4;51;9,2;2,6;
2016-09-19;0;1006,3;8,4;18,5;14,6;10,6;68,4;39;12,6;3,4;
2016-09-20;0;1007,4;9,4;20,1;13,8;6,7;74,6;53;9,3;3;
