Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-14;null;null;null;null;null;null;null;null;null;null;
2018-03-15;null;null;null;null;null;null;null;46;9,5;null;
2018-03-16;null;965,4;11;25,7;18,6;12,1;63,3;42;9,7;2,3;
2018-03-17;0;964,1;16,1;27,4;21,3;16,5;73,5;53;8;2,1;
2018-03-18;0;958,8;19,3;33,6;24,7;20,5;72,8;51;13,6;3,3;
2018-03-19;27;961,7;13,2;24,5;19,6;15,5;69,8;38;20,8;3,5;
2018-03-20;0;965,2;13,6;22,5;17,6;15,7;77,7;55;6,9;1,8;
2018-03-21;0;967,6;11,9;22,5;17,6;14;71,9;40;10,1;2,5;
2018-03-22;0;965,9;11,5;24,9;18;13;68,7;40;6,7;1,8;
2018-03-23;0;963,2;15,6;29,7;21,9;15,7;68,9;48;6,1;1,9;
2018-03-24;0;962,9;18,6;25,1;20,4;21;89,9;72;13,2;3,2;
2018-03-25;49,4;963,3;15,9;21,5;18,3;16,6;86,6;57;12,6;4;
2018-03-26;,2;971,6;10,9;21,5;15,2;10,5;76,1;56;12,3;4,4;
2018-03-27;0;970,7;16,8;21,2;18,3;14,4;91;78;9,4;2,7;
2018-03-28;,6;969,1;18,2;26,7;20,8;17,8;86,1;62;8,5;1,8;
2018-03-29;0;968,4;18,9;26,3;20,7;17,5;89,8;65;5,6;1,8;
2018-03-30;3,6;967,1;18,6;27,1;21,8;18,5;83,5;57;9,1;2,4;
2018-03-31;0;964,7;19,2;21,8;20,4;19,6;92,9;87;7,4;2;
2018-04-01;2,8;961,4;18,5;24,5;19,9;18,6;92,3;69;10,3;2;
2018-04-02;104,4;962,2;17,4;22,3;18,6;16,9;93;73;13,5;4,7;
2018-04-03;1,4;963,9;17;25,1;19,5;16,6;87,1;58;7,6;1,4;
2018-04-04;64,2;964,3;17;24,8;19,2;15,9;88;60;7,3;1;
2018-04-05;7,4;964,8;16,1;24,6;19,6;15,1;81,7;56;5,9;1;
2018-04-06;0;966,1;15,1;26,3;19,9;15,6;76;42;6,3;1,2;
2018-04-07;0;966,2;16,4;29,1;21,7;16,6;74,1;41;5,9;1,8;
2018-04-08;0;969,2;15,9;28,7;23,2;19,7;64,9;44;6,2;1,5;
2018-04-09;0;969,3;17,2;28,1;22,4;16;74,2;52;7,7;1,8;
2018-04-10;0;967,4;17,5;28;22,3;19;75,3;51;8,2;2,4;
2018-04-11;0;966,1;18,2;30;24,1;19,8;70,5;54;8,4;3,2;
2018-04-12;0;966,6;18,8;31,1;25;20,8;70,1;47;13,3;3,1;
2018-04-13;6,2;973,3;14,7;22,4;16,8;15,7;87,7;73;14,9;4,9;
2018-04-14;0;977,4;12;19,9;16,8;14,7;73,6;62;9,1;2,7;
2018-04-15;0;978,1;14,5;24,4;18,5;14,9;78,4;55;9,4;2,4;
2018-04-16;0;976,9;14,7;24,4;18,7;15,1;78,4;51;9,1;2,6;
2018-04-17;0;974,6;12,9;25,6;19,3;15,7;68,4;41;8,4;2,7;
2018-04-18;0;972,9;14,8;28,2;21,3;15,5;68,4;41;5,9;1,8;
2018-04-19;0;970,7;15,6;29;23,2;18,3;63,7;41;7,5;2;
2018-04-20;0;969;16,4;29,4;24;20,7;62,9;50;6,3;1,9;
2018-04-21;3,8;967,9;17,6;24,9;18,4;17,2;95,4;62;11,7;2,6;
2018-04-22;18,2;966,7;18,1;28;21,2;16,9;84,2;58;5,7;1,8;
2018-04-23;0;967,4;19,1;24,4;21,7;19,1;85,1;75;9,8;2,2;
2018-04-24;,2;970,7;19,2;23,2;20,7;17,7;90,8;82;6,7;2;
2018-04-25;,2;971;19,5;25,6;21,2;18,6;90,2;73;6,2;1,1;
2018-04-26;,2;970,2;19;26,2;21,4;18,3;86,8;63;5,8;1,5;
2018-04-27;0;968,6;18,5;25,8;21,4;18,1;84;67;6,5;1,8;
2018-04-28;0;969,9;18,3;29,6;24;20,3;71,6;45;5,1;,9;
2018-04-29;0;967,8;18,8;28,8;23,7;20,3;74,8;54;6;1,9;
2018-04-30;38;967,3;18,5;24,6;20,4;18,7;89,3;70;11;2,5;
2018-05-01;5,4;971,3;15,5;19,2;16,6;16;92,8;83;11,1;2,9;
2018-05-02;1,2;970,5;15,7;19,8;17,4;15,4;89,7;79;8,8;2,6;
