Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;null;null;null;null;
2016-04-01;null;null;null;null;null;null;null;null;null;null;
2016-04-02;null;null;null;null;null;null;null;null;null;null;
2016-04-03;null;null;null;null;null;null;null;null;null;null;
2016-04-04;null;null;null;null;null;null;null;null;null;null;
2016-04-05;null;null;null;null;null;null;null;null;null;null;
2016-04-06;null;null;null;null;null;null;null;null;null;null;
2016-04-07;null;null;null;null;null;null;null;null;null;null;
2016-04-08;null;null;null;null;null;null;null;47;12,1;null;
2016-04-09;7,4;956,9;19,1;27,3;21,6;17,3;86,4;62;10,8;,9;
2016-04-10;2,8;958,2;20,1;25,7;21,8;19,8;90,3;74;4,7;1,1;
2016-04-11;20,6;960;19,5;22,7;20,7;19,6;92,5;81;3,8;,7;
2016-04-12;5,6;961,3;19,1;25,1;21,1;19,2;88,4;72;6,6;1,1;
2016-04-13;0;959,2;19;28,2;21,4;18,1;87,2;59;16,9;1,3;
2016-04-14;17,2;958,8;18,3;28,3;21,3;16,3;84,4;57;5,5;1,3;
2016-04-15;,2;957,8;18,1;32,2;23,3;16,8;76,3;36;7,8;1,1;
2016-04-16;0;958;19,5;33;25,3;19,7;73;40;10,5;1,4;
2016-04-17;0;959,7;19,6;33,4;25,2;19,7;75,1;36;8,6;1,1;
2016-04-18;0;959,4;19,4;32,6;23,9;18,6;79,2;37;7;,9;
2016-04-19;0;957,1;17,4;32,1;23,9;17,8;71,5;34;13,4;1,8;
2016-04-20;0;956,5;17,5;33,2;24,2;17,4;71,1;31;9,6;1,4;
2016-04-21;0;955,6;18,5;30,9;22,1;18,8;82,1;42;11,7;1,6;
2016-04-22;1,8;959,1;18;21,8;19,7;18,2;90,3;76;5,6;,9;
2016-04-23;2,4;955;19,7;27,2;21,6;18,1;89,1;65;7,9;1,1;
2016-04-24;1,8;952,3;18,7;30,3;23;18,8;79,3;45;10,2;1,4;
2016-04-25;53,8;948,8;18;22,2;20,3;17,9;87,2;74;11,5;2;
2016-04-26;26,4;953,6;11,1;20,8;12,4;13,5;92,1;81;9,4;1,5;
2016-04-27;19,6;961,4;4,9;12,9;8,7;5,7;79,2;43;10;1,6;
2016-04-28;0;964,8;2,5;13,4;7,2;1,8;75,3;40;6;1;
2016-04-29;,2;964,2;3,9;13,9;6,2;2;87;48;5,5;,9;
2016-04-30;0;964,1;3,8;14,9;7,8;2,8;79,2;39;7,8;1;
2016-05-01;0;964,2;4,5;20,4;7,8;,9;83,9;37;4,9;,7;
2016-05-02;0;963,4;6,9;22,5;10,5;3,1;85,5;30;8,7;,8;
2016-05-03;0;963;10,7;20,8;13,7;6;84;58;5,4;,9;
2016-05-04;0;962,5;10,2;22,3;13,3;9;84;43;3,7;,9;
2016-05-05;0;962,6;10,8;21,1;12,7;8,5;89,4;57;5,4;,9;
2016-05-06;0;961,8;11,5;15,7;12,9;10,3;91,8;83;4,1;1,1;
2016-05-07;0;962,7;13,2;19,2;15;11,4;89,3;75;4,2;1;
2016-05-08;0;960,2;14,7;24;17,4;14,3;85;53;6,6;,9;
2016-05-09;,6;958,5;15,5;22,3;17,7;14,6;87,7;65;4,2;,7;
2016-05-10;0;959,2;15,6;20;17,6;16,6;88,5;74;6,1;,9;
2016-05-11;,4;962,4;13,8;19,1;16,3;15,1;85,8;66;5,8;1,2;
2016-05-12;0;964,9;10,7;14,9;12,2;11,5;90,8;83;6,3;1,3;
2016-05-13;0;965,7;10,7;14,6;11,9;10,2;92,2;83;4,9;1,1;
2016-05-14;0;963,3;12,5;24,9;15,7;8,2;83,5;53;6,2;,8;
2016-05-15;0;955,2;13,6;21;17,1;13,2;80,2;61;17,2;2,7;
2016-05-16;23,2;957,9;10;17,6;13,6;12,4;79,2;62;7,9;2,3;
2016-05-17;,2;961,3;4,9;13,8;8,9;6,1;78;49;6,4;1,3;
2016-05-18;0;963;3,7;13,3;6,1;1,8;86,7;54;6;,9;
2016-05-19;0;964,6;4,1;16,1;6,6;,9;86,3;54;5,7;,8;
2016-05-20;0;962,5;8,6;15,2;9,3;3,1;95,8;86;3,5;,7;
2016-05-21;5;961;10,9;13,8;12,2;6,8;92,1;83;4,9;1,1;
2016-05-22;2,4;960,4;10,9;13;11,8;11,3;94,4;89;5,4;,8;
2016-05-23;3,6;967,1;6,4;13,9;9,8;4,2;80,4;54;7,4;1,3;
2016-05-24;,2;970,4;6;17,8;8,7;1,8;85;51;4,4;,8;
2016-05-25;0;966,5;8,3;21,1;11,5;4,3;83,4;51;8,4;1,1;
2016-05-26;1,2;962,8;12,8;19;14,7;9,6;88,8;70;3,4;,6;
2016-05-27;0;963,2;12,9;16,8;14,2;12,9;91,8;81;5,4;1,2;
2016-05-28;0;964,7;13,2;21,3;15,4;11,8;87,6;62;6,3;1;
2016-05-29;1,2;958,9;14,6;18,2;16,3;12,9;90;75;4,4;1;
2016-05-30;8,4;956,3;12,5;17;14,7;13,4;86,9;71;6,4;1,5;
2016-05-31;0;957,2;10,1;16;12,8;10,7;84,3;64;7,1;1,2;
