Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-23;null;null;null;null;null;null;null;null;null;null;
2016-11-24;null;null;null;null;null;null;null;null;null;null;
2016-11-25;null;null;null;null;null;null;70,2;48;9,4;null;
2016-11-26;0;901,2;16,7;27,7;20,1;14;82,5;43;8,2;2,6;
2016-11-27;0;899,8;17,2;28;20,7;17;81,8;54;14,2;3,1;
2016-11-28;18,4;899,6;17,1;23,3;19,3;17,4;87,6;71;9,5;3,7;
2016-11-29;0;903,2;10,9;21,2;16,1;11,6;73,6;37;9,3;2,7;
2016-11-30;0;906,4;8,7;18,7;13,1;7,4;75,7;52;10,1;3,5;
2016-12-01;0;905,6;10;21,9;15,2;9,4;73,6;42;10;3,3;
2016-12-02;0;903;13,5;26,2;18;11,1;77,6;40;9,7;2,8;
2016-12-03;0;897,1;15;20,9;16,5;14,3;91;75;8,6;2,4;
2016-12-04;46,2;895,3;11,4;16;13,9;12,5;85,8;64;12,3;4,4;
2016-12-05;0;896,6;9,4;21,9;14,5;8,1;75;40;9,6;2,2;
2016-12-06;0;898,1;9,6;26,4;18,3;9,6;63,5;24;8,9;2,3;
2016-12-07;0;898,2;13,5;27,1;19,2;14,8;71,7;41;9,4;2,2;
2016-12-08;7;897,9;14,3;25,7;18,5;14,5;78,1;46;12;2,4;
2016-12-09;1,6;898,7;12,8;17,7;14,3;13,1;91;61;7,1;2,8;
2016-12-10;3,2;895,7;15,7;24,9;18,4;12,4;85,3;62;10;2,9;
2016-12-11;0;894,6;15,1;25,9;21;16,7;72,7;41;11,1;3,2;
2016-12-12;0;895,1;12,2;26,7;19,2;12,3;65;40;7,5;2,4;
2016-12-13;0;895,8;16;25,3;19,8;15,9;79,9;54;15;3;
2016-12-14;7,8;901,3;10,1;19,6;14,5;11,3;77,5;45;11,1;3,3;
2016-12-15;0;907,6;6,8;18,1;12;6,2;72,4;45;10,2;2,8;
2016-12-16;0;908,2;10,4;19,4;14,1;10,2;79,2;61;11,7;4,4;
2016-12-17;0;905,2;14,2;25,3;17,6;11,6;81,7;48;10,3;2,8;
2016-12-18;1,4;902,1;14,6;26,4;20,2;14;72,5;44;10,9;3,2;
2016-12-19;1,6;898,7;15;26,2;20,4;16,1;71,4;53;13,6;4,1;
2016-12-20;2;899,5;16,1;23,2;18,6;16,6;85,9;65;7,5;2,3;
2016-12-21;2,6;899,9;16,2;26,2;19,7;15,1;81,9;47;9,7;2,2;
2016-12-22;0;901,6;16,8;28,6;20,4;16,2;81,1;45;9,5;2,7;
2016-12-23;1,2;900,5;17,5;25,6;20,3;17,2;84,4;61;14;3,6;
2016-12-24;4,8;900,3;18,1;26,8;20,9;18,3;85,2;54;9,5;3,1;
2016-12-25;0;899,2;17,2;29,7;20,5;14,9;83,3;44;9,8;2,6;
2016-12-26;6,4;896,8;17,8;30,5;24,2;18,6;70,1;45;16,6;4,3;
2016-12-27;6,6;899,1;19,3;27,9;22,4;19,6;83,7;57;13;3,4;
2016-12-28;7;901,6;18,8;27,2;20,6;17,8;90,1;61;9,8;2,5;
2016-12-29;6;901,2;18,4;27,2;20,3;17,5;89,6;56;8;2;
2016-12-30;31,6;899,5;18,6;26,1;20,4;18,2;90,3;66;11,2;2,1;
2016-12-31;17;899,1;17,6;24,2;20,1;17;85,9;70;8,3;2,9;
2017-01-01;4;898,5;17,8;27,9;21,9;17;78,4;54;12,2;3,8;
2017-01-02;,2;900,5;19,3;26,4;21;19;90,2;64;7,5;1,9;
2017-01-03;10,4;899,8;18,4;28,1;22;17,7;81,6;54;8,1;2,8;
2017-01-04;14,8;898,3;18,2;29,2;21,7;17;81,7;55;13,8;4;
2017-01-05;10,8;899,3;18,6;25,6;20,1;17,6;91,1;73;12,7;3,5;
2017-01-06;30,2;902,9;15,6;21,2;17,9;16,3;86,8;69;10,3;3,3;
2017-01-07;,2;902,2;14,5;23,1;18,8;15,2;77,1;50;9,7;2,7;
2017-01-08;1;899,4;18,8;27,7;21,1;18,6;87;57;9,2;2,3;
2017-01-09;20,4;896,7;18,1;25,6;21,1;19;83,5;61;11,6;3,5;
2017-01-10;15,2;897;17,3;25,5;20,5;17,7;83,1;61;10,9;3,3;
2017-01-11;3;900,3;17,8;24,4;19,3;18,1;91,5;68;8,5;2,2;
2017-01-12;4;902,9;15;24,6;19;14,9;79,2;49;8,4;2,6;
2017-01-13;0;900,5;13,7;28,3;19,8;12,7;72;34;8,6;2,8;
2017-01-14;0;898,6;16,8;28,6;21,3;15,8;77,5;43;7,8;2,2;
2017-01-15;0;898,6;18,4;28,1;21,6;18,6;83;50;9,5;2,6;
2017-01-16;5,2;897,7;17;27,5;21,7;18,1;76,8;46;9,8;2,6;
2017-01-17;,8;893,8;17,7;27;22;18;77,5;53;13,6;3,4;
2017-01-18;,2;897,1;16,6;26,8;20,7;17,8;79,1;51;10;3,4;
2017-01-19;0;903,9;13,4;23,7;18,4;14,5;74,9;38;9,1;3,2;
2017-01-20;0;905,7;13,1;24,6;17,9;12,5;75,7;43;9,2;2,7;
2017-01-21;0;905;13,7;23,2;17,7;12,1;78,6;51;9,5;2,9;
2017-01-22;0;902,2;14,6;25,5;18,7;12,8;78,3;52;11;2,7;
2017-01-23;0;901,3;15,9;25,4;19,3;15,1;81,8;55;11;2,5;
2017-01-24;1,2;899,6;16,7;26,6;19,7;14,5;83,9;51;10;2,3;
2017-01-25;10,6;898;16,8;24,5;19,6;17,2;84,8;56;10,2;3;
2017-01-26;,2;900;14,5;21,9;16,7;14,3;87,8;53;9,5;2,2;
2017-01-27;9;903,9;12,1;21,6;15;10,2;84,4;51;7,1;1,8;
2017-01-28;0;906,3;14,5;23,9;17,1;13,1;85;57;9,3;2,8;
2017-01-29;0;906,7;16,5;25,3;18,7;15,9;87,2;65;10,2;3,2;
2017-01-30;0;905,9;16,9;25,5;20,3;17,2;81,5;62;9,5;2,6;
2017-01-31;0;904,2;17;25,4;19,9;17,6;83,8;63;8,1;2,8;
2017-02-01;,8;900,2;16,1;23,6;19,2;15,7;82,6;65;9,8;2,7;
2017-02-02;,6;897;17;26;19,6;16,3;85,6;58;13,5;2,6;
2017-02-03;3,2;897,5;17,7;27,1;20,2;17,3;86,5;49;16,4;2,8;
2017-02-04;15,6;898,8;17,3;29,3;20,9;15,5;81,7;44;10;2,5;
2017-02-05;,2;898,6;16,7;26,6;21,5;16,9;75,2;54;9,7;2,9;
2017-02-06;0;898,6;15,5;26,8;20,4;16,8;76,3;38;10,4;2,9;
2017-02-07;0;900,1;12;23,8;16,3;10,2;77,8;43;7,5;2,2;
2017-02-08;0;901,7;14,7;23;16,9;14,1;87,3;70;8;2,8;
2017-02-09;0;902,3;16,2;25,5;18,8;14,2;85,9;61;9,9;2,7;
2017-02-10;0;901,7;16,4;25,1;20,1;15,9;80,5;55;8,2;2,9;
2017-02-11;,2;899,7;16,8;22,6;18,9;16,3;88;73;6,2;1,8;
2017-02-12;8;897;18,1;26;null;17,6;86,1;64;11,8;3,1;
2017-02-13;null;null;null;24,7;null;18,6;83,5;65;14,1;null;
2017-02-14;null;902,7;17,9;22,9;20,4;19,3;85,7;70;11,3;3,1;
2017-02-15;1,2;906,1;18,1;26,9;22,1;18,3;78,9;58;10,8;3,3;
2017-02-16;0;904,7;17,8;29,5;22,4;18,2;76,9;47;11,2;2,6;
2017-02-17;16,8;901,7;17,5;29,5;22,9;17,3;73,7;47;11,3;3,3;
2017-02-18;0;901,8;17;30,1;22,8;17,6;71,9;42;13,3;2,4;
2017-02-19;0;904,3;17,5;29,3;21,7;17,1;77,7;52;9,6;2,2;
2017-02-20;,2;905,8;18,6;30,4;23,1;17,5;77,7;40;9,1;2;
