Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2008-03-07
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-07;null;null;null;null;null;null;null;null;null;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;null;null;null;null;
2008-03-11;null;null;null;null;null;null;null;null;null;null;
2008-03-12;null;null;null;null;null;null;null;null;null;null;
2008-03-13;null;null;null;null;null;null;null;null;null;null;
2008-03-14;null;null;null;null;null;null;null;null;null;null;
2008-03-15;null;null;null;null;null;null;null;null;null;null;
2008-03-16;null;null;null;null;null;null;null;76;10,8;null;
2008-03-17;null;1017,3;19,2;28,8;22,5;18,6;83,1;43;9,3;4,2;
2008-03-18;0;1017,6;20,2;26,7;22,3;19;88,6;73;8,6;3,2;
2008-03-19;0;1014;20;24,8;22,3;20,2;87,2;74;11,9;5,1;
2008-03-20;,6;1011;19,7;28,2;23,2;19;82,1;57;11,9;2,9;
2008-03-21;0;1012,7;19,2;27,2;21,8;16,3;86;69;9,4;3,1;
2008-03-22;17;1012,7;17,5;23;20,6;18,1;83;67;18,4;7,5;
2008-03-23;0;1017,8;13,1;25,3;21,2;19,5;60,3;44;14,6;5,9;
2008-03-24;0;1017,7;13,3;26,3;20,2;14,2;66,6;39;7;2,9;
2008-03-25;0;1017,3;15,2;25,8;21,1;16,8;69,7;46;10,4;4,5;
2008-03-26;0;1011;18,7;29;22,4;18,5;80,3;58;10,3;3,2;
2008-03-27;0;1010,5;18,8;24,5;20,6;15,8;89,4;77;15,1;3,6;
2008-03-28;,2;1015,2;18,7;26,3;22,1;20,7;81,6;65;13,5;6,4;
2008-03-29;0;1019,3;13,3;24,9;21;13,6;62,2;46;9,9;5,4;
2008-03-30;0;1018,5;13,9;24,7;20;12,1;68,9;52;10;4,6;
2008-03-31;2,8;1013,3;17,6;24,7;21,5;19;78,4;64;12;5,2;
2008-04-01;24,2;1007,8;18,7;22,6;20,7;18,3;88,4;78;13,1;5;
2008-04-02;,4;1008,5;16;22,2;18,8;14,9;84,7;69;15,2;6;
2008-04-03;3,6;1013;12,7;20,4;17,6;11,5;74,1;54;15,3;7,7;
2008-04-04;0;1012,6;11,9;26,2;17,2;9,9;73,8;43;10,6;4,3;
2008-04-05;0;1010,6;14,2;28,5;19,6;13,5;73,7;34;10,9;4,6;
2008-04-06;0;1008,4;14,9;28,5;21,6;16,3;70,1;34;10,6;3,7;
2008-04-07;,2;1009,3;17,6;25,2;20,4;15,4;84,5;62;6,2;3,1;
2008-04-08;,2;1011,1;17,6;27,4;21,2;16,5;81,4;49;8;3,1;
2008-04-09;,2;1011,1;17,7;27,4;19,8;13,3;88,4;52;5,5;2,4;
2008-04-10;0;1006,5;18,2;27,7;22,2;17,3;79;58;9,5;3,8;
2008-04-11;,2;1003,7;17,7;28,3;21,6;16,6;81;51;13,4;3,6;
2008-04-12;1,8;1006,2;12,6;21,8;17,5;13,4;74,3;53;20,9;6,5;
2008-04-13;0;1008,3;8,9;17,8;14,7;11,5;69,1;43;10,6;3,9;
2008-04-14;0;1014,3;6,9;16,8;12;7,6;72,4;47;15,1;5,3;
2008-04-15;0;1017,7;5,1;19,3;12;6,3;64,7;36;10,4;4;
2008-04-16;0;1017,4;4,4;20,4;13,5;6,7;56,9;34;9,3;3,3;
2008-04-17;0;1017;6,5;25,5;15,3;6,6;60,9;27;8,9;3,6;
2008-04-18;0;1017;9,8;26,4;17,7;10,3;63,8;28;6,5;3,1;
2008-04-19;0;1015,5;13,2;28,5;19,3;12,6;69,8;30;7,6;3,5;
2008-04-20;0;1017,3;15,5;21,4;17,1;11,2;90,3;79;7,4;2,7;
