Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-12-07;null;null;null;null;null;null;null;null;null;null;
2022-12-08;null;null;null;null;null;null;null;47;null;null;
2022-12-09;null;1007,2;19,5;32,3;24,5;17,4;76,5;46;9,4;2,4;
2022-12-10;0;1007,9;20,9;30,1;24,4;18,3;81,3;55;9,5;2,2;
2022-12-11;0;1008;21,2;31,8;26,4;22,7;74,2;54;9,4;2,8;
2022-12-12;0;1002,3;19,7;37,3;24,6;19,9;77;36;16,9;2,9;
2022-12-13;6,8;1009,2;14,3;25,3;21,2;17,6;66,9;43;10,1;3,7;
2022-12-14;0;1012,2;13,4;28,3;21,3;14,1;64,2;33;9,8;2,7;
2022-12-15;0;1009,6;16,2;32,6;23,4;15,4;66;40;8,4;2,2;
2022-12-16;0;1010,8;15,8;25,3;22,5;19,9;67;43;13;5;
2022-12-17;0;1011,6;13,8;25,9;20,8;14,4;65,9;40;13,6;3,2;
2022-12-18;0;1014;16;23,5;21;18,5;73,1;67;12,8;4,5;
2022-12-19;4,8;1015,4;16,7;24,9;20,4;18,1;79,7;67;16,7;4,7;
2022-12-20;,2;1014,3;17,5;27,9;22,9;18,8;72,1;56;16;4,4;
2022-12-21;0;1015,4;16,7;28,8;23;18,6;69,5;44;11,5;4,3;
2022-12-22;0;1014,7;15,6;28,9;23,1;19,4;64,4;43;11,4;4,4;
2022-12-23;0;1011,9;16,7;32,1;23,8;18,2;66,2;37;11;3,3;
2022-12-24;0;1010,9;16,5;32,6;25;17,1;63,3;31;9,1;2,2;
2022-12-25;0;1012,4;19,2;28,2;23,1;17,3;79;57;12,1;3;
2022-12-26;0;1013,2;18;23,6;21,9;21,3;79,5;62;8,4;3,6;
2022-12-27;3,8;1012,4;14,8;27;21,7;15,7;67,5;39;8,9;2,6;
2022-12-28;16,8;1008,5;17,3;25,7;21,2;16,5;79,9;56;12,7;2,9;
2022-12-29;0;1011,7;15;27,4;22,4;18,7;64,7;35;9,3;3,1;
2022-12-30;0;1013,5;13,8;31,6;23;15;59,9;25;7,7;2;
2022-12-31;0;1011,8;17,1;35,2;26,4;17,6;61,1;24;8;2,3;
2023-01-01;0;1010,2;19,1;36;27,1;18,7;64;39;10,6;2,5;
2023-01-02;0;1005,8;21,6;33,7;27,4;23,4;71,8;48;9,3;1,8;
2023-01-03;0;1007,6;18,6;28,4;24,4;20,9;71;47;9,8;3,8;
2023-01-04;0;1010;16,7;31,6;24,4;19;66;22;8,1;2,2;
2023-01-05;0;1013,4;16,6;31,3;24,1;16,6;66;36;10,3;2,9;
2023-01-06;1,6;1017,9;16,3;29,6;24,2;18,7;63,1;40;15;4,1;
2023-01-07;0;1020,5;16,4;29,3;23,6;17,4;65;45;12,6;4,1;
2023-01-08;0;1018,6;17,1;28,9;23,5;18,5;68,3;45;11,5;3,9;
